"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US09007","Middlesex County, Connecticut","162436","*****","*****","null",
"0500000US09009","New Haven County, Connecticut","854757","*****","*****","null",
"0500000US09011","New London County, Connecticut","265206","*****","*****","null",
"0500000US09013","Tolland County, Connecticut","150721","*****","*****","null",
"0500000US09015","Windham County, Connecticut","116782","*****","*****","null",
"0500000US10001","Kent County, Delaware","180786","*****","*****","null",
"0500000US10003","New Castle County, Delaware","558753","*****","*****","null",
"0500000US10005","Sussex County, Delaware","234225","*****","*****","null",
"0500000US11001","District of Columbia, District of Columbia","705749","*****","*****","null",
"0500000US12001","Alachua County, Florida","269043","*****","*****","null",
"0500000US12005","Bay County, Florida","174705","*****","*****","null",
"0500000US12009","Brevard County, Florida","601942","*****","*****","null",
"0500000US12011","Broward County, Florida","1952778","*****","*****","null",
"0500000US12015","Charlotte County, Florida","188910","*****","*****","null",
"0500000US12017","Citrus County, Florida","149657","*****","*****","null",
"0500000US12019","Clay County, Florida","219252","*****","*****","null",
"0500000US12021","Collier County, Florida","384902","*****","*****","null",
"0500000US12023","Columbia County, Florida","71686","*****","*****","null",
"0500000US12031","Duval County, Florida","957755","*****","*****","null",
"0500000US12033","Escambia County, Florida","318316","*****","*****","null",
"0500000US12035","Flagler County, Florida","115081","*****","*****","null",
"0500000US12053","Hernando County, Florida","193920","*****","*****","null",
"0500000US12055","Highlands County, Florida","106221","*****","*****","null",
"0500000US12057","Hillsborough County, Florida","1471968","*****","*****","null",
"0500000US12061","Indian River County, Florida","159923","*****","*****","null",
"0500000US12069","Lake County, Florida","367118","*****","*****","null",
"0500000US12071","Lee County, Florida","770577","*****","*****","null",
"0500000US12073","Leon County, Florida","293582","*****","*****","null",
"0500000US12081","Manatee County, Florida","403253","*****","*****","null",
"0500000US12083","Marion County, Florida","365579","*****","*****","null",
"0500000US12085","Martin County, Florida","161000","*****","*****","null",
"0500000US12086","Miami-Dade County, Florida","2716940","*****","*****","null",
"0500000US12087","Monroe County, Florida","74228","*****","*****","null",
"0500000US12089","Nassau County, Florida","88625","*****","*****","null",
"0500000US12091","Okaloosa County, Florida","210738","*****","*****","null",
"0500000US12095","Orange County, Florida","1393452","*****","*****","null",
"0500000US12097","Osceola County, Florida","375751","*****","*****","null",
