ACSSF,2010m1,al,000,0016,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,78,907,221,512,273,273,587,119,619,0
ACSSF,2010m1,al,000,0016,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,135,428,238,343,273,135,358,273,358,0
ACSSF,2010m1,al,000,0016,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,554,244,44,273,74,305,339,0,0,23,725,242,112,273,23,726,273,726,0
ACSSF,2010m1,al,000,0016,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,142,651,573,743,273,142,1194,233,1208,0,3593,351,273,584,273,3770,722,215,694,0,0,0,,,,,,,,,,,0,0,142,651,573,743,273,142,1194,233,1208,0
ACSSF,2010m1,al,000,0016,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,20,669,524,113,273,273,511,20,510,0
ACSSF,2010m1,al,000,0016,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,825,546,18,273,594,411,193,0,0,273,488,119,362,132,95,607,273,607,0
ACSSF,2010m1,al,000,0016,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,273,155,302,167,273,273,360,273,360,0
ACSSF,2010m1,al,000,0016,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,180,1869,508,763,146,219,1853,167,1860,0,1179,488,87,273,273,1078,319,319,273,0,0,0,0,0,0,1485,873,204,150,1368,681,753,0,0,180,1869,508,763,146,219,1853,167,1860,0
ACSSF,2010m1,al,000,0016,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,273,505,465,53,273,273,675,273,675,0
ACSSF,2010m1,al,000,0016,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,92,926,699,561,273,92,1338,273,1338,0,1607,187,1145,273,91,1123,252,252,273,0,0,0,0,0,0,1301,1067,361,273,1152,1016,533,0,0,92,926,699,561,273,92,1338,273,1338,0
ACSSF,2010m1,al,000,0016,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1636,770,178,156,1249,144,386,0,0,264,1579,425,326,150,273,1670,264,1662,0
ACSSF,2010m1,al,000,0016,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,273,737,363,95,273,273,862,130,832,0
ACSSF,2010m1,al,000,0016,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,82,82,,,,,,,,,,,0,82,635,731,244,247,273,31,388,273,388,82
ACSSF,2010m1,al,000,0016,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,135,728,296,630,273,273,1002,135,996,0
ACSSF,2010m1,al,000,0016,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0016,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1063,515,273,273,346,880,450,0,0,516,535,76,701,273,609,749,273,749,0
ACSSF,2010m1,al,000,0016,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1600,1600,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0016,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,3018,2931,,,,,,,,,,,604,3018,4066,4684,447,858,273,142,523,202,480,2931
ACSSF,2010m1,al,000,0016,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,1036,588,,,,,,,,,,,787,1036,1456,1147,143,161,273,23,502,273,502,588
ACSSF,2010m1,al,000,0016,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2905,4308,3263,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0016,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,2033,3680,3973,301,1348,145,113,1894,97,1892,1607,1619,294,273,273,273,1081,325,325,273,1122,2033,1607,1122,2033,1607,1707,468,204,150,1384,592,277,1122,2033,3680,3973,301,1348,145,113,1894,97,1892,1607
ACSSF,2010m1,al,000,0016,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1264,1269,35,1264,1269,990,862,375,273,403,974,412,35,1264,4033,3987,500,1305,273,92,864,273,864,1269
ACSSF,2010m1,al,000,0016,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,4107,281,4096,4107,281,1631,770,178,273,1249,144,355,4096,4107,2458,3575,425,895,150,273,1592,264,1584,281
ACSSF,2010m1,al,000,0016,0000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1260,1262,,,,,,,,,,,32,1260,3614,3608,273,665,273,355,654,273,654,1262
ACSSF,2010m1,al,000,0016,0000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,3018,2931,,,,,,,,,,,604,3018,4066,4684,447,858,273,142,523,202,480,2931
ACSSF,2010m1,al,000,0016,0000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2905,4308,3263,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0016,0000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,592,588,,,,,,,,,,,30,592,1169,1147,143,161,273,23,502,273,502,588
ACSSF,2010m1,al,000,0016,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,2033,3680,3973,301,1348,145,113,1894,97,1892,1607,1619,294,273,273,273,1081,325,325,273,1122,2033,1607,1122,2033,1607,1707,468,204,150,1384,592,277,1122,2033,3680,3973,301,1348,145,113,1894,97,1892,1607
ACSSF,2010m1,al,000,0016,0000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1264,1269,35,1264,1269,990,862,375,273,403,974,412,35,1264,4033,3987,500,1305,273,92,864,273,864,1269
ACSSF,2010m1,al,000,0016,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,4107,281,4096,4107,281,1631,770,178,273,1249,144,355,4096,4107,2458,3575,425,895,150,273,1592,264,1584,281
ACSSF,2010m1,al,000,0016,0000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1260,1262,,,,,,,,,,,32,1260,3614,3608,273,665,273,355,654,273,654,1262
ACSSF,2010m1,al,000,0016,0000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4741,4537,3057,3846,808,1308,273,495,1656,68,1668,1235,1881,513,1145,273,91,1954,300,300,273,4741,4537,1235,4741,4537,1235,2343,1036,516,99,1718,1369,768,4741,4537,3057,3846,808,1308,273,495,1656,68,1668,1235
