ACSSF,2010m1,al,000,0118,0000011,817,8390,6203,3097,2255,1907,6238,2080,6942,7787,18170,14506,5630,8423,9269,5866,13894,.,7467,2545,12081,2204,2028,7937,2777,4375,3195,1500,6657,10825,4783,2169,2304,12119,3214,8316,9618,12909,17269,20753,45579,35699,7650,26054,.,8449,10064,13383,13682,6165,13885,7585,4237,6718,952,9542,7191,16819,27444,2750,3009,3431,18198,16941,39678,8948,2197,1627,9238,7326,4975,.,14320,3188,4493,1558,2874,17856,5145,5149,6110,5812,4084,1500,1326,536,1840,2433,768,1563,1501,1434,596,270,722,506,451,1405,758,273,1199,1288,1057,766,1101,519,944,1168,993,3364,621,585,259,454,1724,479,1758,1051,754,714,396,1028,923,468,752,491,273,553,2563,1650,2343,1467,436,1379,717,1099
ACSSF,2010m1,al,000,0118,0000012,506,4652,2101,4541,1313,1878,4214,1726,2203,5348,11186,5132,3370,5074,3309,3850,5951,43271,2259,2779,3399,1519,992,2602,1138,2493,2359,795,5422,1617,5516,1284,2489,5595,3408,4404,4772,14143,9273,13060,17358,6504,7893,5589,.,2920,4395,4762,8253,964,4909,1131,3719,3259,457,7026,10803,8604,13339,1655,4029,1775,4947,5575,28551,6108,1759,1768,3997,3126,2445,43271,5529,1523,3636,1360,1261,3830,1209,4647,2080,9376,6064,2325,2064,830,2724,3609,1601,2676,2704,2312,1024,757,1518,1112,1141,2487,1469,273,2029,2469,1800,1527,2135,968,1824,2184,2569,5596,762,726,268,974,3208,778,2880,1201,898,756,946,2048,1729,1061,1763,1181,124,1267,4005,3166,3550,2523,796,2304,1525,1707
ACSSF,2010m1,al,000,0118,0000013,2669,19858,19690,80564,2576,7682,36418,4509,12633,11979,24868,12084,11278,18015,18660,8041,24358,.,9536,6878,7297,10709,5329,31224,5120,4397,5628,3647,9627,12445,80564,2498,19690,21874,10522,14111,15443,42608,73653,41899,22069,55764,17649,37632,.,19680,15411,12273,96649,12793,36657,11662,17391,10029,1722,9004,9004,.,14940,14816,23780,3457,17137,13273,39947,28141,8579,8960,21808,5658,6578,.,10092,9150,8546,3037,5943,.,5754,11628,6285,3321,1966,701,623,367,1423,1183,665,1168,905,816,302,285,933,539,830,1564,822,273,1439,790,582,580,1063,561,884,845,1539,2351,318,318,273,296,688,246,999,252,235,129,397,1135,795,764,898,700,273,655,1870,1263,1509,1186,116,1188,743,701
ACSSF,2010m1,al,000,0118,0000014,3021,266448,266448,.,7179,7824,18184,6615,16442,22568,53537,72506,1890,3169,13665,7260,17667,.,4515,7473,6609,8482,4254,37631,4287,7935,6164,5017,266448,266448,.,7228,8059,12121,10025,19792,23929,53537,165251,23081,11322,42158,7985,28760,.,7168,6041,9482,9050,13814,39462,10837,13500,4291,2187,.,.,.,.,5684,8250,7092,100981,100981,.,5222,3023,3183,2023,12923,24914,.,19318,9163,12213,8760,4623,.,4761,11882,6498,2574,1741,381,381,273,530,1421,317,860,631,566,413,368,415,366,188,920,400,273,869,526,414,401,683,159,648,638,865,1825,273,273,273,67,656,242,1124,128,128,273,395,656,494,478,564,351,273,508,1332,639,1186,920,172,949,638,506
ACSSF,2010m1,al,000,0118,0000015,3319,19522,24042,6905,10975,5079,27554,9809,10568,6628,2047,8355,13230,23944,26112,45673,8405,.,13571,8391,15009,9697,3236,3313,3638,12531,13536,3219,46938,49677,6905,10970,6251,1943,2600,11707,11323,2047,18300,28193,.,26112,27748,19817,.,13710,4824,10721,6268,.,9033,.,11332,38335,2708,32755,32755,.,71110,4295,22835,13138,49405,49405,.,1122,10708,10708,.,61577,42853,.,99878,7381,15100,7782,4624,.,4682,9516,7434,2714,1725,318,315,89,537,1023,278,678,559,540,81,293,532,379,405,416,249,273,332,497,395,319,474,185,451,547,482,1490,158,158,273,288,773,148,957,233,233,273,267,506,506,273,138,86,273,110,1220,719,1000,557,111,541,421,470
ACSSF,2010m1,al,000,0118,0000016,3673,87987,143728,.,4809,4817,8396,5162,27413,29542,47198,29795,4207,2924,2468,12398,3626,.,11894,8620,14988,6929,5252,5241,4362,9092,8480,3469,133055,114062,.,4509,6505,22443,2827,40414,48244,47198,39757,22250,.,11045,16828,2246,.,10343,10304,4439,65546,3870,.,3559,15023,102325,1996,48586,48586,.,.,1796,4163,7263,9656,9656,.,.,3013,3467,5139,12932,10653,.,.,6291,17380,4587,1649,2644,3303,10050,17682,1833,1317,374,356,163,698,1122,410,631,533,485,192,189,227,130,182,535,441,273,276,350,298,215,646,320,546,615,281,1332,211,211,273,91,1141,314,534,101,101,273,165,549,529,195,212,211,273,28,1021,772,697,784,298,599,582,202
ACSSF,2010m1,al,000,0118,0000017,1569,46909,39104,1833,9214,12715,12102,2066,4257,16205,16349,15359,5761,10473,14556,6707,27695,.,14139,7266,7867,8965,5857,11911,3391,11826,2921,5316,50635,50575,1833,9041,4842,49091,8053,4527,18505,16349,50009,119171,133033,36033,42691,35853,.,12261,12235,27855,28533,11821,3559,19774,21701,11447,3838,.,.,.,.,8009,31707,3922,6989,6989,.,.,3010,2670,10028,17233,4492,.,17729,4414,4878,7538,5447,.,4281,18177,13284,2396,1483,430,421,128,678,907,441,715,473,335,372,188,327,317,68,605,416,273,450,743,499,565,430,349,227,255,593,2489,76,76,273,234,705,572,796,114,114,273,69,745,673,242,510,282,273,435,1303,792,947,436,146,411,390,595
ACSSF,2010m1,al,000,0118,0000018,3966,7176,7176,.,9552,10247,34948,2970,5318,6291,34091,5743,40492,44578,85851,5075,15465,.,7856,5466,2670,6111,3707,6883,3191,7220,7679,2444,11843,11843,.,12629,12210,35073,14441,5332,4843,36720,62947,45851,47651,85851,7649,33587,.,5468,16085,2662,27269,6860,32783,3252,9729,9140,1642,.,.,.,2823,12271,10078,1387,18051,.,.,17088,56513,56513,.,15516,21241,.,15838,6772,7613,8123,9025,4036,12945,7459,18292,2993,1729,299,299,273,978,1255,417,765,855,857,139,198,352,295,217,567,471,273,343,692,525,486,722,372,643,1099,519,1835,254,254,273,222,453,115,672,181,127,127,121,315,315,273,953,888,273,304,1223,613,1099,341,82,333,675,518
ACSSF,2010m1,al,000,0118,0000019,1385,41536,36084,29430,4219,3261,6393,3062,8051,11223,42242,19464,5539,9153,13314,4401,2949,.,5842,3733,4120,2766,1255,2914,1409,4877,4242,4411,38696,41493,13260,4229,5640,14285,4122,8102,11494,36652,30335,8225,17656,14192,12444,15548,.,9235,8538,8682,11799,2265,4494,2873,13667,10939,1377,2848,6250,.,20183,6839,2820,3041,8329,15826,15680,26946,1773,1060,6189,7196,6156,.,5679,3027,12014,4058,1547,13053,1602,11313,4076,1528,984,323,307,127,663,533,361,447,464,465,166,226,319,207,229,378,220,273,327,423,244,316,446,164,405,357,328,1045,51,44,24,133,257,367,677,196,157,132,112,303,245,164,406,303,273,306,829,443,653,625,104,624,430,323
ACSSF,2010m1,al,000,0118,0000020,610,19771,53549,13254,4391,3816,8127,2824,6352,8918,5247,8956,3733,3523,9106,4663,6502,36792,2427,2656,3427,1362,2054,13113,1152,2259,5074,1421,19475,41199,11723,4483,4896,8594,4279,7473,11893,5447,15771,10605,10732,9108,9999,2755,29317,4606,4875,8569,6029,3612,10580,2460,7035,6953,1131,29242,.,14480,25189,5983,11466,2547,9818,11248,16178,10553,3299,3378,10456,5729,2067,.,3138,1361,3211,3213,1797,16072,1682,3814,5957,5724,3674,594,268,483,2135,1884,1209,2235,1922,1576,1008,1055,1593,1466,652,2160,1700,275,1593,1927,1116,1766,2090,1033,1867,1521,1465,4432,200,91,177,972,1215,750,2360,1024,735,613,850,2009,1822,856,1913,1484,78,1220,3472,2429,2828,1954,408,1961,1557,1297
