ACSSF,2010m1,al,000,0034,0000011,6125,1800,2928,2555,2825,1938,1038,2121,1231,1267,1867,2176,1366,4254,920,2047,1792,1992,1392,807,1589,839,943,1411,1599,1189,3524,1422,1789,1523,1956,1314,638,1388,910,854,1108,1174,717,251913,213873,118493,6102,1054,3546,4336,3791,2392,1659,4253,676,2232,3099,2209,1559,948,3430,716,2032,2365,2274,1222,943,5556,3530,3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5912,3002,1932,2469,2003,1533,1292,5767,6125,3536,2555,2825,1938,1038,2121,1809,1867,2476,4254,2272,1792,1992,1392,807,1589,1353,1411,2105,3524,2364,1523,1956,1314,638,1388,1092,1108,1355,6102,1054,3546,4336,4103,4253,676,2232,3099,2561,3430,716,2032,2365,2417,,,,,,,,,,,,,,,,,,,5912,3002,1932,2469,2003,5767
ACSSF,2010m1,al,000,0034,0000012,9789,2451,4933,4583,4848,4554,2593,4688,1951,2422,3114,2681,1881,6637,1632,3257,3012,2985,3193,1821,3211,1472,1847,2209,2037,1814,5642,1679,3238,2957,3407,3106,1757,2911,1211,1321,1955,1434,1141,323680,279891,182252,9859,1872,5199,8609,7120,4662,3899,6488,1380,3724,5470,4081,2921,2296,5546,1036,3680,4688,3910,2421,2033,9168,6337,5312,,,,,,,,,,,,,,,,,,,,,,,,8039,6306,6001,4679,3145,1798,611,1707,1811,1721,1250,572,6971,5306,3995,4495,2083,1708,1384,3501,2787,2578,1042,5912,3002,1932,2469,2003,1533,1292,5767,9789,5063,4583,4848,4554,2593,4688,2961,3114,3022,6637,3378,3012,2985,3193,1821,3211,2440,2209,2866,5642,3525,2957,3407,3106,1757,2911,1454,1955,1723,9859,1872,5199,8609,8215,6488,1380,3724,5470,5178,5546,1036,3680,4688,4274,,,,,,,,,,8039,7864,5863,5190,2675,3791,3370,2820,1177,5912,3002,1932,2469,2003,5767
ACSSF,2010m1,al,000,0034,0000013,3206,1107,1488,1713,1917,2203,1097,1981,692,1406,1306,1182,716,1930,863,918,1185,1157,1365,755,1512,515,1239,917,1000,761,2412,433,1215,1141,1287,1494,806,1318,374,532,931,609,319,152174,143711,78336,3308,480,2471,3826,3026,2183,1111,2013,387,1724,2552,1777,1392,667,2349,165,1642,2230,1537,1129,561,3075,1986,2273,,,,,,,,,,,,,,,,,,,,,,,,3308,2711,2590,2047,1407,109,273,109,1130,943,715,260,3454,3341,2547,2640,264,200,169,1610,1373,1086,541,,,,,,,,,3206,1958,1713,1917,2203,1097,1981,1608,1306,1445,1930,1215,1185,1157,1365,755,1512,1421,917,1339,2412,1305,1141,1287,1494,806,1318,672,931,692,3308,480,2471,3826,3558,2013,387,1724,2552,2184,2349,165,1642,2230,1789,,,,,,,,,,3308,3568,2910,2573,282,1886,1687,1368,570,,,,,,
ACSSF,2010m1,al,000,0034,0000014,2634,1160,737,1497,1601,1153,984,1183,486,402,765,469,208,1802,818,577,993,849,622,716,1007,463,301,547,448,192,1761,642,586,1009,1174,937,651,549,297,306,614,196,78,62464,51645,37742,2719,340,1927,2067,2240,1264,1267,1803,267,1175,1409,1193,662,1092,1834,123,1380,1071,1331,743,314,2528,1677,1697,2641,2368,2166,1909,790,420,183,379,523,294,361,264,2758,2501,1697,2134,803,491,542,1147,598,822,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2634,1470,1497,1601,1153,984,1183,680,765,449,1802,911,993,849,622,716,1007,571,547,427,1761,940,1009,1174,937,651,549,425,614,203,2719,340,1927,2067,2221,1803,267,1175,1409,1348,1834,123,1380,1071,1323,2641,2657,2208,2192,790,488,620,1239,610,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0034,0000015,2760,471,1142,1177,1160,1119,749,922,269,346,765,742,433,1785,390,796,704,803,503,640,540,242,172,500,531,326,1438,172,744,777,745,906,431,675,128,270,496,413,373,85910,57093,49768,2706,285,1156,2201,1662,1104,1293,1750,126,640,1176,825,635,999,1446,188,952,1351,1143,586,533,2506,1681,1356,,,,,,,,,,,,,,,,,,,,,,,,2706,1549,1396,1092,738,88,273,88,699,631,292,273,2455,2142,1813,1275,623,273,623,1033,711,800,527,,,,,,,,,2760,1179,1177,1160,1119,749,922,442,765,868,1785,877,704,803,503,640,540,296,500,563,1438,754,777,745,906,431,675,296,496,538,2706,285,1156,2201,2353,1750,126,640,1176,1373,1446,188,952,1351,1362,,,,,,,,,,2706,2456,2010,1453,635,1231,974,862,527,,,,,,
ACSSF,2010m1,al,000,0034,0000016,1904,453,1431,1072,883,841,1083,1331,304,340,805,463,527,1297,371,889,733,604,558,681,579,269,306,491,440,366,1314,153,848,766,711,564,596,942,148,136,563,111,379,84381,43627,66487,1848,394,1312,1750,2100,1367,1491,1329,189,759,1147,914,839,788,1338,223,906,958,1349,733,787,1818,1396,1213,,,,,,,,,,,,,,,,,,,,,,,,1848,1861,1863,1520,832,26,26,273,125,89,87,273,2149,1656,1100,1560,1417,1395,770,935,841,639,263,,,,,,,,,1904,1499,1072,883,841,1083,1331,492,805,664,1297,986,733,604,558,681,579,384,491,517,1314,869,766,711,564,596,942,201,563,385,1848,394,1312,1750,2382,1329,189,759,1147,1287,1338,223,906,958,1395,,,,,,,,,,1848,2106,1769,1511,1422,949,852,645,263,,,,,,
ACSSF,2010m1,al,000,0034,0000017,2727,506,890,591,1011,1264,929,1486,561,753,1033,451,377,1501,235,530,404,818,613,589,820,456,573,701,374,238,2626,390,744,405,821,1050,618,1029,344,442,680,230,256,91039,49036,75856,2715,345,1334,2139,1990,1471,1113,1506,185,845,1340,1119,721,643,2636,211,935,1218,1287,947,571,2550,1415,2453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2727,1077,591,1011,1264,929,1486,937,1033,558,1501,637,404,818,613,589,820,711,701,410,2626,892,405,821,1050,618,1029,584,680,358,2715,345,1334,2139,2619,1506,185,845,1340,1267,2636,211,935,1218,1929,2715,2703,1723,2000,324,305,126,408,108,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0034,0000018,2976,272,1136,1305,1781,1179,644,999,204,350,818,700,456,1788,168,917,846,1379,635,496,592,191,300,803,561,340,1747,222,549,829,997,983,363,715,88,228,136,440,175,92479,78176,43659,2940,758,1465,1886,2405,2138,793,1734,411,958,1209,1651,1638,409,1766,461,867,1167,1109,810,467,3040,1780,1723,2940,1527,1403,1407,498,694,429,565,287,211,151,280,2375,2454,1572,1718,928,630,665,1012,771,662,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2976,1192,1305,1781,1179,644,999,400,818,780,1788,935,846,1379,635,496,592,363,803,653,1747,605,829,997,983,363,715,246,136,436,2940,758,1465,1886,3022,1734,411,958,1209,2086,1766,461,867,1167,1405,2940,3059,2239,1691,1160,821,920,1014,449,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0034,0000019,1528,329,803,1016,908,745,329,920,121,191,492,202,234,1000,176,567,654,593,569,279,700,116,116,392,204,184,1001,252,525,741,634,642,206,595,60,153,214,74,102,46275,36649,27554,1492,260,1315,1733,1362,776,556,986,142,774,1042,779,408,317,1003,211,906,1051,688,437,294,1523,987,999,1492,1475,1398,1363,471,150,103,106,442,198,444,171,995,1053,1064,798,173,148,81,661,91,682,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528,877,1016,908,745,329,920,242,492,291,1000,605,654,593,569,279,700,176,392,261,1001,556,741,634,642,206,595,165,214,127,1492,260,1315,1733,1477,986,142,774,1042,812,1003,211,906,1051,828,1492,1516,1490,865,232,169,142,807,330,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0034,0000020,6024,1160,2161,3576,3601,3670,1962,3625,1463,1366,2356,1527,908,3707,819,1560,2614,2708,2443,1348,2535,952,869,1823,1237,707,4604,688,1542,2084,2544,3150,1503,2593,1082,1040,1352,970,564,218197,127258,162841,5973,1449,5090,6904,5720,3602,3192,3704,953,2794,4404,3615,1726,2175,4494,1086,3895,4339,3090,2240,1209,6234,3551,4777,5736,4203,4281,3752,3321,990,741,486,408,163,379,93,4715,4646,4349,4003,1161,848,752,595,332,473,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6024,2373,3576,3601,3670,1962,3625,2145,2356,1754,3707,1771,2614,2708,2443,1348,2535,1190,1823,1319,4604,1635,2084,2544,3150,1503,2593,1590,1352,1131,5973,1449,5090,6904,6172,3704,953,2794,4404,3579,4494,1086,3895,4339,3781,5736,5955,6183,4770,1453,1136,865,698,214,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0034,0000021,2034,498,1520,1248,1419,965,763,1078,666,720,911,920,372,1306,370,922,878,1124,640,567,706,515,379,759,583,339,1579,306,991,917,899,716,429,721,390,520,555,565,143,66242,53536,44226,2172,607,1471,2048,1830,1109,1592,1390,419,1063,1297,1168,498,922,1631,254,1116,1183,957,707,698,2041,1324,1585,1968,1317,1521,1574,877,573,458,416,143,143,273,62,1794,1875,1720,1354,885,577,744,455,425,167,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034,1557,1248,1419,965,763,1078,1000,911,967,1306,938,878,1124,640,567,706,669,759,638,1579,986,917,899,716,429,721,662,555,550,2172,607,1471,2048,2006,1390,419,1063,1297,1240,1631,254,1116,1183,1138,1968,2202,2130,1649,1117,691,873,478,263,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0034,0000022,2348,742,1563,1581,1581,1490,1092,1429,507,362,920,621,653,1786,387,1059,1216,1070,1058,810,1193,371,354,730,442,632,1450,622,983,938,1122,1181,613,798,310,205,558,372,194,84852,69083,48149,2416,573,2001,2770,2416,1266,1062,1838,387,1322,1953,1612,795,506,1395,407,1200,1424,1128,654,591,2202,1555,1293,2417,2068,1802,1856,681,694,506,467,970,908,387,153,1902,1857,1478,1182,1691,1424,1026,711,587,475,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348,1798,1581,1581,1490,1092,1429,663,920,780,1786,1121,1216,1070,1058,810,1193,529,730,748,1450,1231,938,1122,1181,613,798,383,558,394,2416,573,2001,2770,2825,1838,387,1322,1953,1911,1395,407,1200,1424,1290,2417,2312,2261,1491,1886,1533,1194,1180,160,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0034,0000023,1962,536,723,1214,1019,1514,605,1121,440,591,676,539,149,1382,315,578,818,605,1083,419,913,429,427,467,457,73,1545,415,486,808,769,846,442,585,191,355,515,327,79,62578,44421,42850,1937,281,1353,1884,1806,1118,563,1371,63,955,1259,1142,655,299,1572,261,875,1099,935,607,414,2008,1422,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,933,1214,1019,1514,605,1121,735,676,553,1382,648,818,605,1083,419,913,563,467,456,1545,681,808,769,846,442,585,392,515,335,1937,281,1353,1884,1801,1371,63,955,1259,1147,1572,261,875,1099,1001,1937,2074,1375,2011,977,769,627,129,241,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0034,0000024,4264,929,2137,2246,3194,3131,2066,1973,819,713,1187,592,816,2578,648,1063,1667,2218,2245,1492,1742,585,518,849,402,580,3080,614,1543,1676,2062,2044,1401,1110,536,518,639,431,392,136620,88903,92914,4278,1514,3113,4406,4038,2636,1420,2390,753,2054,2552,2627,1346,976,3307,1046,1966,2885,1899,1565,639,4429,2461,3248,4029,3798,3824,3446,2154,805,677,393,167,78,149,177,2972,2810,2824,1872,648,455,457,235,177,151,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4264,2187,2246,3194,3131,2066,1973,1100,1187,966,2578,1132,1667,2218,2245,1492,1742,830,849,685,3080,1619,1676,2062,2044,1401,1110,734,639,610,4278,1514,3113,4406,4068,2390,753,2054,2552,2689,3307,1046,1966,2885,2042,4029,3907,3965,2655,1004,837,483,290,441,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0034,0000025,1919,767,1477,1075,1339,1199,477,1292,690,485,1306,692,977,1372,377,518,1052,849,742,348,1107,632,303,907,514,841,1438,609,1334,570,827,757,271,574,289,320,746,484,283,135830,93524,67828,1979,578,1767,2216,1877,2207,875,1355,567,1325,1252,1264,1411,533,1515,152,963,1393,878,952,587,1856,1366,1259,,,,,,,,,,,,,,,,,,,,,,,,1979,2234,2380,1218,1677,1614,273,1614,532,400,379,96,2198,2193,1285,1894,683,471,457,1801,1343,1236,135,,,,,,,,,1919,1566,1075,1339,1199,477,1292,843,1306,1197,1372,669,1052,849,742,348,1107,742,907,985,1438,1377,570,827,757,271,574,397,746,530,1979,578,1767,2216,2621,1355,567,1325,1252,1621,1515,152,963,1393,1340,,,,,,,,,,1979,2931,1588,2399,1731,1804,1418,1295,171,,,,,,
