ACSSF,2010m1,al,000,0048,0000029,1552,1971,1557,1389,1143,866,517,189,1443,1351,433,445,273,273,273,273,,,,1552,1971,1557,1389,1143,975,1443,1351,433,445,273,273
ACSSF,2010m1,al,000,0048,0000030,1866,1937,1482,1503,1198,1028,548,317,1703,1538,864,319,415,273,273,273,,,,1866,1937,1482,1503,1198,1130,1703,1538,864,319,415,273
ACSSF,2010m1,al,000,0048,0000031,1488,1529,1413,983,1143,824,317,212,1493,1518,324,180,273,273,273,273,,,,1488,1529,1413,983,1143,917,1493,1518,324,180,273,273
ACSSF,2010m1,al,000,0048,0000032,2168,2336,1580,1593,1472,522,720,370,2277,2072,928,368,374,273,179,273,,,,2168,2336,1580,1593,1472,893,2277,2072,928,368,374,179
ACSSF,2010m1,al,000,0048,0000033,,,,,,,,,,,,,,,,,,,,1333,1314,1111,723,811,685,1196,1140,319,273,147,273
ACSSF,2010m1,al,000,0048,0000034,2521,2183,2351,1767,1307,693,513,547,2757,2434,1307,384,390,273,273,273,,,,2521,2183,2351,1767,1307,916,2757,2434,1307,384,390,273
ACSSF,2010m1,al,000,0048,0000035,1012,921,708,608,576,323,273,94,829,785,201,147,78,33,273,273,,,,1012,921,708,608,576,412,829,785,201,147,78,33
ACSSF,2010m1,al,000,0048,0000036,1881,1453,1370,1159,907,752,239,191,1609,1451,769,273,273,273,273,273,,,,1881,1453,1370,1159,907,733,1609,1451,769,273,273,273
ACSSF,2010m1,al,000,0048,0000037,2444,1917,1861,1254,1114,796,479,146,2684,2738,745,386,294,76,273,273,,,,2444,1917,1861,1254,1114,901,2684,2738,745,386,294,76
ACSSF,2010m1,al,000,0048,0000038,2724,2060,2387,1405,1136,853,439,694,2635,2278,1216,422,84,273,273,273,,,,2724,2060,2387,1405,1136,1124,2635,2278,1216,422,84,273
ACSSF,2010m1,al,000,0048,0000039,2462,2703,2054,2280,1424,1083,935,487,2440,2461,1030,227,531,273,273,273,,,,2462,2703,2054,2280,1424,1369,2440,2461,1030,227,531,273
ACSSF,2010m1,al,000,0048,0000040,2242,1354,1258,1106,1022,322,496,232,2140,1952,816,258,354,273,179,273,,,,2242,1354,1258,1106,1022,624,2140,1952,816,258,354,179
ACSSF,2010m1,al,000,0048,0000041,2521,2183,2351,1767,1307,693,513,547,2757,2434,1307,384,390,273,273,273,,,,2521,2183,2351,1767,1307,916,2757,2434,1307,384,390,273
ACSSF,2010m1,al,000,0048,0000042,1881,1453,1370,1159,907,752,239,191,1609,1451,769,273,273,273,273,273,,,,1881,1453,1370,1159,907,733,1609,1451,769,273,273,273
