ACSSF,2010e1,al,000,0048,0000028,45606,32254,15604,7280,5575,2602,484,709,13352,12080,1117,155,0,0,0,0,,,,45606,32254,15604,7280,5575,3795,13352,12080,1117,155,0,0
ACSSF,2010e1,al,000,0048,0000029,32583,23865,10390,5889,4670,2032,671,213,8718,7792,635,291,0,0,0,0,,,,32583,23865,10390,5889,4670,2916,8718,7792,635,291,0,0
ACSSF,2010e1,al,000,0048,0000030,72588,51384,21155,12777,11337,4305,1334,476,21204,17288,2884,617,415,0,0,0,,,,72588,51384,21155,12777,11337,6115,21204,17288,2884,617,415,0
ACSSF,2010e1,al,000,0048,0000031,30119,21931,9768,4695,4890,2120,297,161,8188,7471,527,190,0,0,0,0,,,,30119,21931,9768,4695,4890,2578,8188,7471,527,190,0,0
ACSSF,2010e1,al,000,0048,0000032,66583,43525,20626,9487,9395,1794,1741,482,23058,18973,2902,528,543,0,112,0,,,,66583,43525,20626,9487,9395,4017,23058,18973,2902,528,543,112
ACSSF,2010e1,al,000,0048,0000033,,,,,,,,,,,,,,,,,,,,23830,17419,9186,3321,3238,1674,6411,5865,467,0,79,0
ACSSF,2010e1,al,000,0048,0000034,87228,48750,24990,13067,5902,2741,1009,1041,38478,31585,6104,470,319,0,0,0,,,,87228,48750,24990,13067,5902,4791,38478,31585,6104,470,319,0
ACSSF,2010e1,al,000,0048,0000035,25840,17507,8202,3998,3373,1247,569,118,8333,7544,502,205,63,19,0,0,,,,25840,17507,8202,3998,3373,1934,8333,7544,502,205,63,19
ACSSF,2010e1,al,000,0048,0000036,30280,21027,8681,5268,4411,2262,200,205,9253,7559,1694,0,0,0,0,0,,,,30280,21027,8681,5268,4411,2667,9253,7559,1694,0,0,0
ACSSF,2010e1,al,000,0048,0000037,74841,42901,22606,9557,7252,2563,784,139,31940,28669,2406,491,328,46,0,0,,,,74841,42901,22606,9557,7252,3486,31940,28669,2406,491,328,46
ACSSF,2010e1,al,000,0048,0000038,75328,43628,20658,10694,6481,3566,980,1249,31700,26997,4051,574,78,0,0,0,,,,75328,43628,20658,10694,6481,5795,31700,26997,4051,574,78,0
ACSSF,2010e1,al,000,0048,0000039,80035,50998,20675,13965,9043,4271,2162,882,29037,25122,3047,272,596,0,0,0,,,,80035,50998,20675,13965,9043,7315,29037,25122,3047,272,596,0
ACSSF,2010e1,al,000,0048,0000040,31827,17665,8197,3806,4174,473,769,246,14162,11346,2025,292,387,0,112,0,,,,31827,17665,8197,3806,4174,1488,14162,11346,2025,292,387,112
ACSSF,2010e1,al,000,0048,0000041,87228,48750,24990,13067,5902,2741,1009,1041,38478,31585,6104,470,319,0,0,0,,,,87228,48750,24990,13067,5902,4791,38478,31585,6104,470,319,0
ACSSF,2010e1,al,000,0048,0000042,30280,21027,8681,5268,4411,2262,200,205,9253,7559,1694,0,0,0,0,0,,,,30280,21027,8681,5268,4411,2667,9253,7559,1694,0,0,0
ACSSF,2010e1,al,000,0048,0000043,25292,17044,7948,3945,3217,1247,569,118,8248,7459,502,205,63,19,0,0,,,,25292,17044,7948,3945,3217,1934,8248,7459,502,205,63,19
ACSSF,2010e1,al,000,0048,0000044,74841,42901,22606,9557,7252,2563,784,139,31940,28669,2406,491,328,46,0,0,,,,74841,42901,22606,9557,7252,3486,31940,28669,2406,491,328,46
ACSSF,2010e1,al,000,0048,0000045,75328,43628,20658,10694,6481,3566,980,1249,31700,26997,4051,574,78,0,0,0,,,,75328,43628,20658,10694,6481,5795,31700,26997,4051,574,78,0
ACSSF,2010e1,al,000,0048,0000046,80035,50998,20675,13965,9043,4271,2162,882,29037,25122,3047,272,596,0,0,0,,,,80035,50998,20675,13965,9043,7315,29037,25122,3047,272,596,0
ACSSF,2010e1,al,000,0048,0000047,31827,17665,8197,3806,4174,473,769,246,14162,11346,2025,292,387,0,112,0,,,,31827,17665,8197,3806,4174,1488,14162,11346,2025,292,387,112
ACSSF,2010e1,al,000,0048,0000048,254440,169798,76092,42241,31523,13578,3661,2703,84642,73980,8544,1383,572,49,0,114,,,,254440,169798,76092,42241,31523,19942,84642,73980,8544,1383,572,163
ACSSF,2010e1,al,000,0048,0000049,255551,174077,79440,41537,32955,14138,4541,1466,81474,71723,8000,1174,479,52,0,46,,,,255551,174077,79440,41537,32955,20145,81474,71723,8000,1174,479,98
ACSSF,2010e1,al,000,0048,0000050,263653,175525,81405,40961,32717,12392,4948,3102,88128,74377,10166,1890,1378,317,0,0,,,,263653,175525,81405,40961,32717,20442,88128,74377,10166,1890,1378,317
ACSSF,2010e1,al,000,0048,0000051,249062,179221,85438,41732,30179,14287,4006,3579,69841,63697,5022,702,363,57,0,0,,,,249062,179221,85438,41732,30179,21872,69841,63697,5022,702,363,57
ACSSF,2010e1,al,000,0048,0000052,280180,189051,91434,46046,32666,13407,3828,1670,91129,80843,8609,1045,431,201,0,0,,,,280180,189051,91434,46046,32666,18905,91129,80843,8609,1045,431,201
ACSSF,2010e1,al,000,0048,0000053,283719,197497,89047,48167,39290,14712,4354,1927,86222,74315,10056,1373,478,0,0,0,,,,283719,197497,89047,48167,39290,20993,86222,74315,10056,1373,478,0
ACSSF,2010e1,al,000,0048,0000054,228547,142715,65773,37440,24010,8660,4089,2743,85832,72773,10972,1113,862,0,112,0,,,,228547,142715,65773,37440,24010,15492,85832,72773,10972,1113,862,112
ACSSF,2010e1,al,000,0048,0000055,60910,41517,21271,9257,7127,2885,771,206,19393,16912,2172,154,0,155,0,0,,,,60910,41517,21271,9257,7127,3862,19393,16912,2172,154,0,155
ACSSF,2010e1,al,000,0048,0000056,72454,41063,21480,9222,7059,2506,657,139,31391,28120,2406,491,328,46,0,0,,,,72454,41063,21480,9222,7059,3302,31391,28120,2406,491,328,46
ACSSF,2010e1,al,000,0048,0000057,88308,65198,28668,17380,12166,4595,1514,875,23110,20447,2337,223,103,0,0,0,,,,88308,65198,28668,17380,12166,6984,23110,20447,2337,223,103,0
ACSSF,2010e1,al,000,0048,0000058,47386,35676,17178,8070,5195,2823,1412,998,11710,10111,1559,40,0,0,0,0,,,,47386,35676,17178,8070,5195,5233,11710,10111,1559,40,0,0
ACSSF,2010e1,al,000,0048,0000059,73455,51565,24096,12329,8599,4575,917,1049,21890,19563,1864,419,44,0,0,0,,,,73455,51565,24096,12329,8599,6541,21890,19563,1864,419,44,0
ACSSF,2010e1,al,000,0048,0000060,57902,40851,19575,10013,6797,3091,666,709,17051,15592,1304,155,0,0,0,0,,,,57902,40851,19575,10013,6797,4466,17051,15592,1304,155,0,0
ACSSF,2010e1,al,000,0048,0000061,51038,36517,17266,7472,7634,3034,686,425,14521,13397,980,144,0,0,0,0,,,,51038,36517,17266,7472,7634,4145,14521,13397,980,144,0,0
ACSSF,2010e1,al,000,0048,0000062,77386,57587,26122,13766,10619,5325,1115,640,19799,17794,1516,340,149,0,0,0,,,,77386,57587,26122,13766,10619,7080,19799,17794,1516,340,149,0
ACSSF,2010e1,al,000,0048,0000063,37854,18258,9180,4800,2211,1284,529,254,19596,15651,3413,325,207,0,0,0,,,,37854,18258,9180,4800,2211,2067,19596,15651,3413,325,207,0
ACSSF,2010e1,al,000,0048,0000064,42759,26648,12090,7879,3568,1503,507,1101,16111,14268,1843,0,0,0,0,0,,,,42759,26648,12090,7879,3568,3111,16111,14268,1843,0,0,0
ACSSF,2010e1,al,000,0048,0000065,65614,41236,18253,10002,8533,3396,528,524,24378,20213,3342,648,175,0,0,0,,,,65614,41236,18253,10002,8533,4448,24378,20213,3342,648,175,0
ACSSF,2010e1,al,000,0048,0000066,70029,50288,24706,11791,8520,3576,1212,483,19741,16488,3253,0,0,0,0,0,,,,70029,50288,24706,11791,8520,5271,19741,16488,3253,0,0,0
ACSSF,2010e1,al,000,0048,0000067,40963,28657,12559,8686,4829,1606,789,188,12306,10868,1361,77,0,0,0,0,,,,40963,28657,12559,8686,4829,2583,12306,10868,1361,77,0,0
ACSSF,2010e1,al,000,0048,0000068,39731,27285,12834,7814,4003,1503,590,541,12446,11735,412,72,170,57,0,0,,,,39731,27285,12834,7814,4003,2634,12446,11735,412,72,170,57
ACSSF,2010e1,al,000,0048,0000069,60880,43278,19517,9878,9126,3389,684,684,17602,16321,986,190,105,0,0,0,,,,60880,43278,19517,9878,9126,4757,17602,16321,986,190,105,0
