ACSSF,2010e1,al,000,0097,0000011,33843,1839,269,0,3564,658,10623,574,14,3605,179,2387,4097,5706,299,29,327484,33305,5082,12237,11172,4814,294179,79803,114198,70006,30172,17032,27168,28003,19058,16166,22214,13309,289828,92564,1999,1142,944,198,857,90565,58841,45294,13547,31724,131161,7115,5671,5522,149,1444,124046,85240,75845,9395,38806,66103,8578,5139,4822,317,3439,57525,28794,26748,2046,28731,357127,87464,1831,304,65,239,1527,165,1362,85633,26820,3925,22895,58813,3501,55312,128322,7064,532,259,273,6532,1823,4709,121258,26319,9991,16328,94939,13897,81042,65371,8578,759,232,527,7819,2079,5740,56793,10792,5957,4835,46001,12035,33966,75970,15564,1023,183,840,14541,6523,8018,60406,10191,6627,3564,50215,21787,28428,33843,28335,5508,374,1734,1024,524,1544,308,289828,17692,11952,11288,664,5740,272136,172875,147887,24988,99261,357127,281157,17473,1595,556,1039,15878,4067,11811,263684,63931,19873,44058,199753,29433,170320,75970,15564,1023,183,840,14541,6523,8018,60406,10191,6627,3564,50215,21787,28428,33843,28335,5508
ACSSF,2010e1,al,000,0097,0000012,115903,8634,4141,234,12236,2213,37150,1935,326,10945,834,8171,15116,12949,915,104,911137,113466,11901,37016,41795,22754,797671,190462,280717,210723,115769,19132,30006,30498,21890,17554,22835,14921,821851,274343,9136,7412,6410,1002,1724,265207,183787,144967,38820,81420,367709,28748,23035,21264,1771,5713,338961,246724,221297,25427,92237,179799,29502,16800,15520,1280,12702,150297,79433,74213,5220,70864,1004028,260382,8586,1037,113,924,7549,608,6941,251796,72237,8841,63396,179559,11836,167723,360660,28126,2511,1011,1500,25615,5446,20169,332534,63193,22846,40347,269341,35542,233799,177905,29103,2763,1240,1523,26340,7412,18928,148802,23003,12672,10331,125799,29494,96305,205081,46884,2565,943,1622,44319,21102,23217,158197,22562,13937,8625,135635,57669,77966,115903,95004,20899,1069,6677,4176,2106,4474,2397,821851,67386,47247,43194,4053,20139,754465,509944,440477,69467,244521,1004028,798947,65815,6311,2364,3947,59504,13466,46038,733132,158433,44359,114074,574699,76872,497827,205081,46884,2565,943,1622,44319,21102,23217,158197,22562,13937,8625,135635,57669,77966,115903,95004,20899
ACSSF,2010e1,al,000,0097,0000013,21928,2055,860,0,3127,213,6495,379,52,2501,124,1463,2497,2099,63,0,127744,21479,1079,6450,7828,6122,106265,14621,32749,30333,28562,23291,34271,34865,30673,21989,30151,17472,110174,34551,1635,1318,1191,127,317,32916,24049,20248,3801,8867,50766,6532,5745,5129,616,787,44234,36320,32916,3404,7914,24857,4460,2739,2589,150,1721,20397,11600,10919,681,8797,138596,33979,1594,241,0,241,1353,90,1263,32385,5012,636,4376,27373,1809,25564,50465,6491,337,167,170,6154,1577,4577,43974,5448,1241,4207,38526,2945,35581,24535,4325,400,51,349,3925,575,3350,20210,2520,1235,1285,17690,2852,14838,29617,8851,346,107,239,8505,3304,5201,20766,1215,740,475,19551,6957,12594,21928,18927,3001,0,1152,592,196,705,356,110174,12627,9802,8909,893,2825,97547,71969,64083,7886,25578,138596,108979,12410,978,218,760,11432,2242,9190,96569,12980,3112,9868,83589,7606,75983,29617,8851,346,107,239,8505,3304,5201,20766,1215,740,475,19551,6957,12594,21928,18927,3001
ACSSF,2010e1,al,000,0097,0000014,11335,1086,379,0,1343,396,4168,72,21,761,106,546,1363,1053,41,0,78423,11164,1761,2333,4456,2614,67259,15262,24478,18558,8961,17736,30608,29743,33808,16201,22086,13582,74332,27407,974,974,974,0,0,26433,18640,13841,4799,7793,31757,2780,1906,1649,257,874,28977,20002,18120,1882,8975,15168,3018,1631,1422,209,1387,12150,5493,5050,443,6657,89619,26346,974,183,0,183,791,0,791,25372,8965,631,8334,16407,1114,15293,31593,2780,528,307,221,2252,408,1844,28813,6599,2559,4040,22214,2870,19344,15048,2978,188,0,188,2790,843,1947,12070,1856,996,860,10214,3059,7155,16632,4483,236,236,0,4247,1563,2684,12149,1390,884,506,10759,4888,5871,11335,8465,2870,35,1410,274,225,318,608,74332,6772,4511,4045,466,2261,67560,44135,37011,7124,23425,89619,72987,6732,899,307,592,5833,1251,4582,66255,17420,4186,13234,48835,7043,41792,16632,4483,236,236,0,4247,1563,2684,12149,1390,884,506,10759,4888,5871,11335,8465,2870
ACSSF,2010e1,al,000,0097,0000015,,,,,,,,,,,,,,,,,54018,5735,678,2430,1502,1125,48283,9411,15514,16694,6664,18782,24628,24721,19879,17843,19868,16809,48612,16436,101,101,101,0,0,16335,11308,8637,2671,5027,21949,1054,849,824,25,205,20895,14977,13038,1939,5918,10227,1417,581,581,0,836,8810,5034,4826,208,3776,60785,16346,101,64,0,64,37,0,37,16245,4632,426,4206,11613,829,10784,21587,963,85,85,0,878,355,523,20624,3984,1383,2601,16640,2349,14291,10227,1417,119,119,0,1298,409,889,8810,1167,881,286,7643,1854,5789,12625,3264,0,0,0,3264,1522,1742,9361,1254,759,495,8107,4165,3942,,,,,,,,,,48612,2572,1531,1506,25,1041,46040,31319,26501,4818,14721,60785,48160,2481,268,204,64,2213,764,1449,45679,9783,2690,7093,35896,5032,30864,12625,3264,0,0,0,3264,1522,1742,9361,1254,759,495,8107,4165,3942,5836,4462,1374
ACSSF,2010e1,al,000,0097,0000016,,,,,,,,,,,,,,,,,45794,4687,470,1357,2108,752,41107,12241,13872,10186,4808,19169,25414,27103,9815,18521,23394,14491,42785,15853,485,336,246,90,149,15368,12060,9937,2123,3308,18245,597,461,461,0,136,17648,12496,10906,1590,5152,8687,1773,1004,938,66,769,6914,3888,3620,268,3026,52220,15853,485,80,0,80,405,151,254,15368,2649,513,2136,12719,480,12239,18245,597,0,0,0,597,94,503,17648,3577,1484,2093,14071,1959,12112,8609,1773,103,70,33,1670,463,1207,6836,700,279,421,6136,1789,4347,9513,1737,138,128,10,1599,834,765,7776,932,634,298,6844,2329,4515,,,,,,,,,,42785,2855,1801,1645,156,1054,39930,28444,24463,3981,11486,52220,42707,2855,183,70,113,2672,708,1964,39852,6926,2276,4650,32926,4228,28698,9513,1737,138,128,10,1599,834,765,7776,932,634,298,6844,2329,4515,4708,3387,1321
ACSSF,2010e1,al,000,0097,0000017,8506,792,1182,49,1096,437,2431,66,0,478,109,311,974,576,5,0,53335,8335,284,1760,3739,2552,45000,7275,15067,13779,8879,25110,41753,47762,32476,22309,27776,20306,51682,18619,1567,1490,1490,0,77,17052,10781,9894,887,6271,23391,2320,1976,1962,14,344,21071,16170,15114,1056,4901,9672,2379,1367,1116,251,1012,7293,3800,3612,188,3493,53558,14668,1518,0,0,0,1518,312,1206,13150,2208,178,2030,10942,538,10404,20788,2121,65,65,0,2056,148,1908,18667,1684,720,964,16983,1464,15519,9267,2379,65,0,65,2314,508,1806,6888,676,394,282,6212,1073,5139,8835,2128,123,0,123,2005,1392,613,6707,395,201,194,6312,2026,4286,8506,7051,1455,27,692,464,198,0,74,51682,6266,4833,4568,265,1433,45416,30751,28620,2131,14665,53558,44723,6018,130,65,65,5888,968,4920,38705,4568,1292,3276,34137,3075,31062,8835,2128,123,0,123,2005,1392,613,6707,395,201,194,6312,2026,4286,8506,7051,1455
ACSSF,2010e1,al,000,0097,0000018,9309,217,237,87,1146,198,2944,111,0,1103,327,543,1375,1021,0,0,71528,9238,669,3126,4308,1135,62290,13233,20772,20210,8075,20270,25597,27122,12317,19244,25463,14187,64044,21040,218,147,147,0,71,20822,14173,11181,2992,6649,28966,2809,1973,1803,170,836,26157,18950,16444,2506,7207,14038,1979,1032,883,149,947,12059,5605,5406,199,6454,79863,20815,218,0,0,0,218,0,218,20597,4793,870,3923,15804,1601,14203,28741,2809,355,144,211,2454,165,2289,25932,3331,1087,2244,22601,2962,19639,14009,1979,134,0,134,1845,734,1111,12030,2019,1015,1004,10011,3084,6927,16298,4303,175,31,144,4128,2028,2100,11995,1364,731,633,10631,4136,6495,9309,7714,1595,60,614,315,50,327,229,64044,5006,3152,2833,319,1854,59038,38728,33031,5697,20310,79863,63565,5006,489,144,345,4517,899,3618,58559,10143,2972,7171,48416,7647,40769,16298,4303,175,31,144,4128,2028,2100,11995,1364,731,633,10631,4136,6495,9309,7714,1595
ACSSF,2010e1,al,000,0097,0000019,9500,704,293,12,1275,165,2535,371,29,910,30,313,1738,1061,50,14,68020,9400,740,3035,3641,1984,58620,10642,20674,16943,10361,21801,32111,32676,16273,20530,26897,16980,61653,21360,778,739,687,52,39,20582,15653,13885,1768,4929,27514,2558,2289,2201,88,269,24956,20002,18905,1097,4954,12779,2266,1328,1300,28,938,10513,6103,6015,88,4410,74950,20970,739,101,22,79,638,0,638,20231,5134,445,4689,15097,836,14261,27166,2481,112,18,94,2369,123,2246,24685,3027,794,2233,21658,2086,19572,12779,2266,93,77,16,2173,711,1462,10513,906,370,536,9607,2490,7117,14035,3861,182,121,61,3679,1642,2037,10174,1454,901,553,8720,4030,4690,9500,7828,1672,128,612,196,180,486,70,61653,5602,4356,4188,168,1246,56051,41758,38805,2953,14293,74950,60915,5486,306,117,189,5180,834,4346,55429,9067,1609,7458,46362,5412,40950,14035,3861,182,121,61,3679,1642,2037,10174,1454,901,553,8720,4030,4690,9500,7828,1672
ACSSF,2010e1,al,000,0097,0000020,50418,1966,1153,77,5460,409,17569,371,0,4866,309,3857,9068,4913,339,61,439278,50062,3959,14538,17757,13808,389216,56516,106445,114251,112004,22583,32057,31936,34092,21676,26696,19662,417190,159266,3114,2642,2487,155,472,156152,119034,100874,18160,37118,177299,12856,10426,9710,716,2430,164443,130832,116590,14242,33611,80625,15181,8218,7874,344,6963,65444,40867,38441,2426,24577,492428,153269,2957,533,21,512,2424,67,2357,150312,33221,2536,30685,117091,6731,110360,175225,12704,1667,734,933,11037,1329,9708,162521,24198,7721,16477,138323,17058,121265,80217,14996,1304,536,768,13692,3308,10384,65221,7102,4044,3058,58119,9932,48187,83717,19156,832,429,403,18324,7454,10870,64561,7571,4232,3339,56990,23206,33784,50418,43190,7228,465,2349,1176,745,1613,880,417190,31151,21286,20071,1215,9865,386039,290733,255905,34828,95306,492428,408711,30657,3504,1291,2213,27153,4704,22449,378054,64521,14301,50220,313533,33721,279812,83717,19156,832,429,403,18324,7454,10870,64561,7571,4232,3339,56990,23206,33784,50418,43190,7228
