ACSSF,2010e1,al,000,0118,0000001,28849,32276,25853,51126,26973,33891,33221,18508,41997,37728,60518,35583,34294,36272,29043,33799,47100,100095,20639,31259,35886,29736,11229,16827,10870,20512,42411,34592,35570,26287,51449,27064,39121,37797,23992,43287,39037,62075,42149,51070,61135,35980,40890,65196,101710,21109,42281,39671,49156,12230,21565,11511,27835,47181,23664,22037,20692,32291,25919,25986,25785,14829,37029,32027,50847,31187,30455,31378,25589,28065,35286,63984,19284,28497,33625,26329,10436,11344,10385,15821,37476,1978825,1036241,33313,23219,10094,127857,192556,39859,116662,78001,57646,20355,17440,42296,28786,13510,104348,57690,403,46255,94896,49004,45892,71726,14497,57229,51925,65362,942584,4924,4228,696,12029,77600,15296,126303,20188,14349,5839,16240,71141,56558,14583,76067,47691,282,28094,328669,128932,199737,93674,9125,84549,49731,50722
ACSSF,2010e1,al,000,0118,0000002,27586,35824,21211,51652,26621,35205,36696,17578,42164,37467,62351,34545,36423,39003,29336,33061,47492,101285,18620,30726,34131,29630,11661,17098,11357,19205,42629,32378,37437,22202,55375,26614,40036,42064,22001,42398,37295,67764,41728,49475,59607,33770,39445,63503,101710,18901,41385,36143,47881,12578,27385,11884,25292,47949,23625,21061,19741,38530,26761,25989,28397,14856,41301,38339,53429,30493,31924,33346,27108,28281,36896,86586,18071,27319,32705,25859,10964,11486,10936,15685,37488,1059686,539138,8479,4545,3934,56464,87540,20167,64048,36726,27848,8878,11011,26289,18211,8078,62664,35679,403,26582,59624,29878,29746,47720,8521,39199,26822,31584,520548,1223,992,231,6246,33392,6276,67531,9642,6863,2779,10803,39975,31912,8063,48634,29742,145,18747,179508,73604,105904,60123,5423,54700,29965,27230
ACSSF,2010e1,al,000,0118,0000003,30088,31453,26243,51067,27288,32648,31381,19443,41787,37813,57513,36319,31633,32468,28670,35103,46319,37346,23947,31958,37284,29878,10464,15713,9912,21796,42222,35916,32261,26501,51202,27494,38494,35846,26169,44608,39371,60399,44583,53536,62463,38549,45578,65989,.,25616,46480,42460,51284,11683,19870,10736,30752,46582,23715,23136,21446,31447,25611,25984,23876,14795,32422,30435,50241,31879,27189,28561,23199,27808,30973,37346,21082,30011,34493,26972,9192,11107,9037,15921,37460,919139,497103,24834,18674,6160,71393,105016,19692,52614,41275,29798,11477,6429,16007,10575,5432,41684,22011,0,19673,35272,19126,16146,24006,5976,18030,25103,33778,422036,3701,3236,465,5783,44208,9020,58772,10546,7486,3060,5437,31166,24646,6520,27433,17949,137,9347,149161,55328,93833,33551,3702,29849,19766,23492
ACSSF,2010e1,al,000,0118,0000004,29379,32250,22771,51719,27179,35373,33881,18721,42174,38386,60518,35624,34444,36565,28279,34715,47440,100095,20818,31629,36042,30293,11165,16792,10858,20571,43428,35103,34625,25327,51851,27327,40327,39552,24188,44012,39767,61902,41959,50842,61036,34782,41436,65552,101710,21321,42417,39594,49811,12189,22011,11474,28296,47803,24032,18700,16446,39370,25728,26287,25876,14951,37286,32356,51112,31156,30656,31631,25368,28139,35393,63984,19631,29445,34321,26762,10353,9837,10385,15880,38706,1808611,945849,25455,16712,8743,114665,166802,37763,107790,69143,50891,18252,16946,39956,27192,12764,99786,55658,403,43725,89706,45614,44092,68119,13414,54705,47753,61965,862762,3523,3050,473,11235,67163,14220,114097,16924,12337,4587,15497,66885,53350,13535,73249,46392,282,26575,300004,116910,183094,87206,8207,78999,46594,46165
ACSSF,2010e1,al,000,0118,0000005,30291,36984,25196,52059,28730,37608,34817,18294,43232,37428,61493,37296,35874,37740,28868,35610,50045,100911,20351,31873,36205,30691,11388,18725,11046,21203,45592,36027,40291,26215,52157,29273,41925,40412,23668,44713,38251,66601,43674,51498,59855,38278,42369,65846,101710,20681,42293,39560,49329,12402,25767,11587,29014,50538,24872,16062,14723,39810,25984,27628,26167,14951,40395,35319,52362,32195,31201,32207,24749,29740,36325,85784,19710,30058,34810,27330,10647,10504,10654,16157,40169,1464254,763161,18137,10330,7807,90655,129846,30724,86391,55526,39908,15618,14578,34114,24498,9616,84051,48771,403,34877,75475,37240,38235,57790,11043,46747,37675,48199,701093,2426,1997,429,8789,47012,11996,92566,13959,9757,4202,13212,55377,44440,10937,63828,41685,188,21955,244315,94409,149906,70346,6693,63653,38801,38466
ACSSF,2010e1,al,000,0118,0000006,27055,40535,20566,55401,25707,36006,32109,17764,37737,30911,68527,29929,36379,38937,31016,32114,50393,.,16660,30601,34418,29366,11809,20193,11372,17613,43091,31496,41143,20967,55738,25757,39179,35651,21804,40333,32033,70085,31455,50524,65101,39279,37868,62799,.,16215,40471,35730,46645,12675,32164,11660,21620,50101,23617,30675,14375,31950,25175,30405,27135,15742,32405,24775,61996,29009,30135,31855,21610,27855,36386,.,17695,27109,33736,25755,11178,12138,11134,14828,39395,551584,279926,3943,1609,2334,26860,40124,8925,31711,18466,14139,4327,5540,13421,9064,4357,33341,19715,0,13626,37309,18736,18573,28894,4454,24440,13872,17520,271658,157,51,106,3396,14518,3666,33476,4655,3362,1293,5365,17252,13534,3718,26002,15954,0,10048,98082,41942,56140,32428,3339,29089,15953,16708
ACSSF,2010e1,al,000,0118,0000007,31341,36128,25476,51911,30471,39090,35454,18601,46191,40349,59471,41864,35713,37287,28093,36671,49005,100911,23335,32960,36971,31336,11017,16718,10748,23795,46881,38405,39762,26549,51908,30743,43457,41064,25534,46721,40238,64194,56962,52412,59457,36803,47640,67101,101710,24402,46354,41814,51356,12220,21547,11509,31839,51036,25592,15681,14736,55029,26279,26965,25440,14505,42097,40841,44880,35678,31467,32304,25775,30431,36301,85784,21254,30821,35218,29325,10215,9467,10261,16951,40747,912670,483235,14194,8721,5473,63795,89722,21799,54680,37060,25769,11291,9038,20693,15434,5259,50710,29056,403,21251,38166,18504,19662,28896,6589,22307,23803,30679,429435,2269,1946,323,5393,32494,8330,59090,9304,6395,2909,7847,38125,30906,7219,37826,25731,188,11907,146233,52467,93766,37918,3354,34564,22848,21758
ACSSF,2010e1,al,000,0118,0000008,25934,24477,20696,39702,23518,28892,31092,20396,41014,40499,48068,27065,28307,29820,27047,29054,40070,63164,21758,30432,35509,25715,10028,11408,9816,18095,37330,31031,22343,18734,43385,23561,33662,34525,26377,42475,41931,49938,31982,39567,66920,26453,36699,61558,.,22306,43690,39709,50875,11345,13335,10946,25240,40181,21786,34945,35518,.,22601,23852,22168,14950,29912,29503,33373,21710,25984,25316,27838,23291,26562,63164,19339,26136,32701,23847,9096,7171,9199,14292,33389,344357,182688,7318,6382,936,24010,36956,7039,21399,13617,10983,2634,2368,5842,2694,3148,15735,6887,0,8848,14231,8374,5857,10329,2371,7958,10078,13766,161669,1097,1053,44,2446,20151,2224,21531,2965,2580,385,2285,11508,8910,2598,9421,4707,94,4620,55689,22501,33188,16860,1514,15346,7793,7699
ACSSF,2010e1,al,000,0118,0000009,25382,25512,20202,29039,23106,27347,29310,18024,41022,39612,60481,27481,30412,33530,28703,30433,40056,.,23960,30541,33087,26789,9799,8333,9846,17331,38847,30767,22181,19720,29205,23172,35326,28125,22200,47766,45068,60481,37385,73358,76489,31632,38778,65713,.,23523,42800,33427,81365,14134,10755,17711,30118,42090,22051,32665,33474,.,21518,21904,29708,14949,38762,38762,.,20492,24545,24450,25660,27001,28166,.,24047,26913,32919,24735,8799,6904,8983,12374,33034,111985,57460,1849,1496,353,6571,11297,2207,7170,3413,2685,728,788,2174,1058,1116,5791,2881,0,2910,5434,3217,2217,2778,619,2159,3463,4525,54525,227,183,44,611,6990,754,6773,882,882,0,665,3744,2829,915,3734,1901,0,1833,19237,7979,11258,6556,715,5841,2329,2023
ACSSF,2010e1,al,000,0118,0000010,26170,23965,21250,44661,23771,29504,31590,21003,41011,40731,43915,26781,27405,28617,26350,26960,40084,63164,20159,30297,36147,24688,10116,13463,9805,18492,36973,31149,22473,17203,44661,23818,33413,36022,27615,42294,41877,49041,29891,32519,58618,20000,35842,60138,.,21964,44701,41856,49744,11095,14707,10579,22434,39407,21673,40090,40090,.,23159,25252,20792,14951,28165,27756,33373,21849,26643,26004,28596,18013,23429,63164,12311,25224,32566,23282,9211,7578,9283,15029,33511,232372,125228,5469,4886,583,17439,25659,4832,14229,10204,8298,1906,1580,3668,1636,2032,9944,4006,0,5938,8797,5157,3640,7551,1752,5799,6615,9241,107144,870,870,0,1835,13161,1470,14758,2083,1698,385,1620,7764,6081,1683,5687,2806,94,2787,36452,14522,21930,10304,799,9505,5464,5676
