ACSSF,2010e1,al,000,0043,0000017,33226,1793,1036,2401,2965,4862,8731,3453,2591,359,994,901,310,1288,1542,33226,925,2163,1756,4242,5352,3039,6982,1511,1827,3877,822,730,33226,1793,1036,2401,2965,4862,8731,3453,2591,359,5035,33226,3088,1756,4242,5352,3039,6982,3338,3877,1552
ACSSF,2010e1,al,000,0043,0000018,36590,2480,1636,2406,3847,4027,5535,4229,2308,706,1636,780,976,2757,3267,36590,340,4110,6107,9198,5328,1486,3499,342,666,2624,2133,757,36590,2480,1636,2406,3847,4027,5535,4229,2308,706,9416,36590,4450,6107,9198,5328,1486,3499,1008,2624,2890
ACSSF,2010e1,al,000,0043,0000019,44014,2197,1569,2788,4210,6476,6478,6147,3662,643,1777,991,316,2829,3931,44014,1184,5463,10641,8729,6868,1422,5882,398,473,1846,553,555,44014,2197,1569,2788,4210,6476,6478,6147,3662,643,9844,44014,6647,10641,8729,6868,1422,5882,871,1846,1108
ACSSF,2010e1,al,000,0043,0000020,277284,11876,10259,10855,25797,27677,48704,44417,28757,11192,14119,7090,2502,16868,17171,277284,4561,19272,38457,51621,56447,17453,47271,8020,7512,15896,7701,3073,277284,11876,10259,10855,25797,27677,48704,44417,28757,11192,57750,277284,23833,38457,51621,56447,17453,47271,15532,15896,10774
ACSSF,2010e1,al,000,0043,0000021,37930,1978,1546,1987,4645,3879,5332,4715,3167,1801,1317,857,390,3581,2735,37930,934,5072,6267,6418,3155,2110,5201,1134,1470,3244,2274,651,37930,1978,1546,1987,4645,3879,5332,4715,3167,1801,8880,37930,6006,6267,6418,3155,2110,5201,2604,3244,2925
ACSSF,2010e1,al,000,0043,0000022,60751,1920,3413,1941,3824,4994,10391,8417,6456,2953,2613,2392,1582,4880,4975,60751,1897,8922,10729,11103,8593,3842,7235,1215,602,3522,1713,1378,60751,1920,3413,1941,3824,4994,10391,8417,6456,2953,16442,60751,10819,10729,11103,8593,3842,7235,1817,3522,3091
ACSSF,2010e1,al,000,0043,0000023,33207,1453,2499,2646,3106,5286,6724,3564,2320,1006,665,202,277,1655,1804,33207,1057,2583,4412,5124,6321,1939,4791,975,1729,2535,1659,82,33207,1453,2499,2646,3106,5286,6724,3564,2320,1006,4603,33207,3640,4412,5124,6321,1939,4791,2704,2535,1741
ACSSF,2010e1,al,000,0043,0000024,150570,5033,5367,7885,14948,17654,26655,22683,12519,6769,8921,4890,1878,8200,7168,150570,3332,14020,20616,33749,33067,13188,18958,2641,2689,4986,1677,1647,150570,5033,5367,7885,14948,17654,26655,22683,12519,6769,31057,150570,17352,20616,33749,33067,13188,18958,5330,4986,3324
ACSSF,2010e1,al,000,0043,0000025,36711,1751,3741,2805,3986,4137,6261,3078,2500,430,1139,770,880,2736,2497,36711,1722,5369,6040,5103,3146,791,3976,1854,1069,4658,1853,1130,36711,1751,3741,2805,3986,4137,6261,3078,2500,430,8022,36711,7091,6040,5103,3146,791,3976,2923,4658,2983
ACSSF,2010e1,al,000,0043,0000026,162973,11003,8037,9357,17715,21564,26609,19687,10393,5989,8071,3115,929,9810,10694,162973,3788,12801,22668,29889,31251,10832,25063,3815,4646,10348,5286,2586,162973,11003,8037,9357,17715,21564,26609,19687,10393,5989,32619,162973,16589,22668,29889,31251,10832,25063,8461,10348,7872
ACSSF,2010e1,al,000,0043,0000027,95288,3485,2241,3887,7362,12004,17721,14352,6409,3432,4900,2272,782,7319,9122,95288,1259,10185,16106,25209,17966,6579,9465,1231,1473,2632,1300,1883,95288,3485,2241,3887,7362,12004,17721,14352,6409,3432,24395,95288,11444,16106,25209,17966,6579,9465,2704,2632,3183
ACSSF,2010e1,al,000,0043,0000028,51199,2112,2006,4032,5232,6522,6709,6181,4920,1661,1755,1184,658,3897,4330,51199,1716,5467,8990,6698,6226,2939,7934,2282,2942,4417,1218,370,51199,2112,2006,4032,5232,6522,6709,6181,4920,1661,11824,51199,7183,8990,6698,6226,2939,7934,5224,4417,1588
ACSSF,2010e1,al,000,0043,0000029,35067,2033,2533,2551,5451,5476,5897,3085,2144,720,1204,436,117,2026,1394,35067,663,1942,2898,3837,4654,2796,6215,2384,1345,6331,1344,658,35067,2033,2533,2551,5451,5476,5897,3085,2144,720,5177,35067,2605,2898,3837,4654,2796,6215,3729,6331,2002
ACSSF,2010e1,al,000,0043,0000030,90212,3137,3835,4569,10739,10927,17486,10936,7339,4206,5050,1284,985,5063,4656,90212,2652,6875,8460,10761,11296,5272,16935,4568,4660,10689,5598,2446,90212,3137,3835,4569,10739,10927,17486,10936,7339,4206,17038,90212,9527,8460,10761,11296,5272,16935,9228,10689,8044
ACSSF,2010e1,al,000,0043,0000031,26193,1222,1973,2667,2465,3557,3801,3348,1291,700,860,311,156,1851,1991,26193,1051,3676,4187,3548,3692,3024,2764,663,574,865,1452,697,26193,1222,1973,2667,2465,3557,3801,3348,1291,700,5169,26193,4727,4187,3548,3692,3024,2764,1237,865,2149
ACSSF,2010e1,al,000,0043,0000032,81598,2968,3331,2897,8999,11466,14862,11124,8078,3227,2674,1025,297,4976,5674,81598,1676,8351,12341,18147,17920,4961,8121,789,2133,3869,2328,962,81598,2968,3331,2897,8999,11466,14862,11124,8078,3227,14646,81598,10027,12341,18147,17920,4961,8121,2922,3869,3290
ACSSF,2010e1,al,000,0043,0000033,21541,1729,1460,1558,1949,3203,2543,1474,1756,773,485,599,333,2197,1482,21541,540,1539,2820,3900,2011,901,2802,550,1028,2728,2115,607,21541,1729,1460,1558,1949,3203,2543,1474,1756,773,5096,21541,2079,2820,3900,2011,901,2802,1578,2728,2722
ACSSF,2010e1,al,000,0043,0000034,81271,4120,2770,2971,7167,7182,13996,11749,8142,3037,4582,1884,462,5468,7741,81271,981,5239,13089,18829,18553,4311,11694,787,1050,3079,2580,1079,81271,4120,2770,2971,7167,7182,13996,11749,8142,3037,20137,81271,6220,13089,18829,18553,4311,11694,1837,3079,3659
ACSSF,2010e1,al,000,0043,0000035,27434,1481,1037,1894,2110,2749,4100,4280,2370,490,1288,816,299,1901,2619,27434,722,4383,9022,5858,2810,735,1835,249,250,1023,314,233,27434,1481,1037,1894,2110,2749,4100,4280,2370,490,6923,27434,5105,9022,5858,2810,735,1835,499,1023,547
