ACSSF,2010e1,al,000,0051,0000011,393615,111697,109289,2408,186416,182999,3417,12410,12214,196,37046,37002,44,46046,45737,309,386480,104562,57188,26734,18543,8191,30454,47374,22490,16104,6386,24884,186416,94034,61281,57854,3427,32753,92382,50157,46110,4047,42225,12410,4596,3270,2696,574,1326,7814,3576,3011,565,4238,37046,7935,1307,1307,0,6628,29111,3841,3722,119,25270,46046,21041,13135,10816,2319,7906,25005,12914,11007,1907,12091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000012,1097662,292546,280794,11752,543383,522662,20721,33305,32955,350,92031,91155,876,136397,134352,2045,1079052,273949,150079,81633,58798,22835,68446,123870,66454,49456,16998,57416,543383,275617,186015,174278,11737,89602,267766,148423,137469,10954,119343,33292,13317,8323,7234,1089,4994,19975,10719,9129,1590,9256,92031,19246,3822,3550,272,15424,72785,12103,11482,621,60682,136397,62665,39679,33549,6130,22986,73732,40893,34620,6273,32839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000013,148108,34242,32396,1846,81629,78183,3446,2360,2360,0,10668,10506,162,19209,18307,902,145994,32128,17323,9623,7788,1835,7700,14805,9461,7482,1979,5344,81629,42057,29342,27584,1758,12715,39572,20726,19273,1453,18846,2360,612,510,510,0,102,1748,1336,1278,58,412,10668,2400,415,415,0,1985,8268,1969,1788,181,6299,19209,8798,7078,6054,1024,1720,10411,6059,5316,743,4352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000014,96020,26291,25744,547,45323,43718,1605,4025,3804,221,7137,6778,359,13244,13138,106,94819,25090,13674,8059,5733,2326,5615,11416,6358,4099,2259,5058,45323,22596,14005,13465,540,8591,22727,10812,9431,1381,11915,4025,1231,636,636,0,595,2794,1828,1295,533,966,7137,1303,311,276,35,992,5834,978,978,0,4856,13244,6287,3688,3084,604,2599,6957,4283,3858,425,2674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000015,64877,15436,14292,1144,32937,32207,730,2285,2131,154,6097,5925,172,8122,8122,0,63513,14072,9068,5449,3278,2171,3619,5004,2298,1412,886,2706,32937,16021,10466,9707,759,5555,16916,10309,9656,653,6607,2285,1064,529,507,22,535,1221,802,693,109,419,6097,1400,495,362,133,905,4697,922,806,116,3775,8122,3639,1826,1668,158,1813,4483,2635,2402,233,1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000016,55436,11521,9912,1609,31992,28789,3203,1977,1977,0,4999,4999,0,4947,4947,0,54385,10483,6556,4954,3298,1656,1602,3927,2463,2194,269,1464,31992,15942,11350,10077,1273,4592,16050,8428,7771,657,7622,1964,1016,392,332,60,624,948,192,175,17,756,4999,620,131,131,0,489,4379,1533,1462,71,2846,4947,2214,1529,1364,165,685,2733,1447,1143,304,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000017,64586,14907,14842,65,36107,35016,1091,1668,1668,0,4623,4623,0,7281,7199,82,63302,13623,7897,3114,2579,535,4783,5726,3314,2836,478,2412,36107,17124,13305,13146,159,3819,18983,11463,10861,602,7520,1668,784,366,317,49,418,884,612,593,19,272,4623,1301,449,449,0,852,3322,653,653,0,2669,7281,3282,1708,1324,384,1574,3999,2673,2422,251,1326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000018,85252,21409,20886,523,41355,40945,410,2888,2888,0,8569,8419,150,11031,10915,116,83957,20114,11550,7501,6109,1392,4049,8564,4541,3196,1345,4023,41355,21229,13277,11900,1377,7952,20126,10343,9599,744,9783,2888,830,721,554,167,109,2058,840,493,347,1218,8569,1480,199,199,0,1281,7089,1040,960,80,6049,11031,5380,3374,3003,371,2006,5651,2987,2618,369,2664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000019,81220,20716,20190,526,41003,39568,1435,2374,2313,61,5674,5624,50,11453,11126,327,80119,19615,10494,6369,5365,1004,4125,9121,5821,4978,843,3300,41003,20826,14714,14401,313,6112,20177,12498,12076,422,7679,2374,829,594,594,0,235,1545,1024,911,113,521,5674,776,162,148,14,614,4898,832,814,18,4066,11453,4829,3319,2878,441,1510,6624,4108,3823,285,2516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000020,531176,178226,169687,8539,224482,209763,14719,15292,14243,1049,41969,41344,625,71207,69848,1359,523376,170426,86989,56449,45804,10645,30540,83437,54901,45140,9761,28536,224482,112081,83918,78572,5346,28163,112401,68114,62944,5170,44287,15292,7626,5005,4501,504,2621,7666,5687,4626,1061,1979,41969,7910,1709,1253,456,6201,34059,7335,6674,661,26724,71207,28368,18032,16249,1783,10336,42839,27777,24523,3254,15062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
