ACSSF,2010e1,al,000,0168,0000011,386480,195422,18351,177071,191058,386480,195422,16111,179311,191058,170214,10926,159288,170214,11416,158798,170214,12471,157743,119659,7102,112557,119659,7569,112090,119659,8264,111395,235798,14557,221241,184212,7954,176258,184212,4262,179950,184212,2406,181806,38115,987,37128,47404,3421,43983,3495,1817,1678,47404,10681,36723,136808,28938,107870,184212,3872,180340,3215,1414,1801,136808,4101,132707,136808,60977,28421,32556,75831,21902,53929,136808,50323,86485,51586,546,51040,235798,20871,214927,235798,1979,233819,235798,46829,188969,184212,9659,174553,235798,20021,215777,235798,12580,223218,473258,47815,425443,473258,44619,428639,473258,46502,426756,473258,29962,443296,473258,32568,440690,473258,23515,449743,473258,38100,435158,473258,40736,432522,473258,41974,431284
ACSSF,2010e1,al,000,0168,0000012,1079052,603087,51764,551323,475965,1079052,603087,46691,556396,475965,514571,33175,481396,514571,35837,478734,514571,36389,478182,356186,22407,333779,356186,24396,331790,356186,24177,332009,659538,34921,624617,514028,22277,491751,514028,11545,502483,514028,8390,505638,119592,2560,117032,143630,9268,134362,19811,8176,11635,143630,29274,114356,370398,65066,305332,514028,10138,503890,14311,4663,9648,370398,10649,359749,370398,190169,85923,104246,180229,54742,125487,370398,140665,229733,145510,2304,143206,659538,49594,609944,659538,6814,652724,659538,117852,541686,514028,22713,491315,659538,47274,612264,659538,28514,631024,1334009,141397,1192612,1334009,132863,1201146,1334009,135016,1198993,1334009,90280,1243729,1334009,100017,1233992,1334009,72755,1261254,1334009,115238,1218771,1334009,117241,1216768,1334009,121251,1212758
ACSSF,2010e1,al,000,0168,0000013,145994,88910,6497,82413,57084,145994,88910,6289,82621,57084,77263,4065,73198,77263,4797,72466,77263,4304,72959,54412,2817,51595,54412,3549,50863,54412,2948,51464,104249,3260,100989,68096,1516,66580,68096,835,67261,68096,1110,66986,17382,206,17176,19232,1081,18151,9000,4439,4561,19232,3309,15923,48864,9122,39742,68096,766,67330,4536,1072,3464,48864,811,48053,48864,28998,12268,16730,19866,5427,14439,48864,17695,31169,36153,255,35898,104249,7775,96474,104249,2951,101298,104249,15964,88285,68096,2303,65793,104249,7327,96922,104249,2922,101327,180735,17590,163145,180735,17054,163681,180735,16197,164538,180735,10354,170381,180735,12496,168239,180735,7865,172870,180735,14143,166592,180735,14212,166523,180735,14565,166170
ACSSF,2010e1,al,000,0168,0000014,94819,52705,8858,43847,42114,94819,52705,8151,44554,42114,42768,4966,37802,42768,4819,37949,42768,5287,37481,30079,3465,26614,30079,3564,26515,30079,3530,26549,53321,3268,50053,45862,1378,44484,45862,1510,44352,45862,655,45207,13384,87,13297,14921,1638,13283,954,381,573,14921,3995,10926,30941,5356,25585,45862,947,44915,1610,468,1142,30941,1118,29823,30941,17297,8471,8826,13644,4817,8827,30941,13288,17653,7459,860,6599,53321,585,52736,53321,305,53016,53321,8997,44324,45862,2519,43343,53321,242,53079,53321,1777,51544,117641,18051,99590,117641,16990,100651,117641,17246,100395,117641,12326,105315,117641,14429,103212,117641,10536,107105,117641,15668,101973,117641,13381,104260,117641,14477,103164
ACSSF,2010e1,al,000,0168,0000015,63513,36823,2362,34461,26690,63513,36823,2106,34717,26690,30476,1198,29278,30476,1142,29334,30476,1189,29287,19987,918,19069,19987,815,19172,19987,909,19078,37059,640,36419,29666,2000,27666,29666,782,28884,29666,791,28875,5831,181,5650,7350,269,7081,786,313,473,7350,926,6424,22316,2818,19498,29666,970,28696,1482,527,955,22316,908,21408,22316,12909,5396,7513,9407,2281,7126,22316,7677,14639,7393,16,7377,37059,702,36357,37059,63,36996,37059,3533,33526,29666,1037,28629,37059,595,36464,37059,134,36925,79992,7215,72777,79992,6980,73012,79992,6954,73038,79992,5083,74909,79992,5391,74601,79992,3987,76005,79992,6015,73977,79992,6160,73832,79992,6332,73660
ACSSF,2010e1,al,000,0168,0000016,54385,32236,2533,29703,22149,54385,32236,2140,30096,22149,27947,2118,25829,27947,2427,25520,27947,2060,25887,18618,1463,17155,18618,1772,16846,18618,1362,17256,31115,2951,28164,25738,1730,24008,25738,1047,24691,25738,478,25260,4263,57,4206,5222,193,5029,508,201,307,5222,1604,3618,20516,2908,17608,25738,873,24865,852,35,817,20516,854,19662,20516,11214,4498,6716,9302,3528,5774,20516,8026,12490,5377,208,5169,31115,3349,27766,31115,173,30942,31115,1732,29383,25738,930,24808,31115,3326,27789,31115,2392,28723,70764,6892,63872,70764,6176,64588,70764,6839,63925,70764,4760,66004,70764,4376,66388,70764,4014,66750,70764,6120,64644,70764,5978,64786,70764,5781,64983
ACSSF,2010e1,al,000,0168,0000017,63302,39778,3190,36588,23524,63302,39778,3044,36734,23524,34858,2483,32375,34858,2756,32102,34858,2635,32223,25946,2069,23877,25946,2251,23695,25946,2305,23641,32683,1282,31401,28860,1425,27435,28860,1135,27725,28860,154,28706,5260,17,5243,6355,17,6338,783,0,783,6355,606,5749,22505,3183,19322,28860,680,28180,449,253,196,22505,1481,21024,22505,15911,5648,10263,6594,1968,4626,22505,7616,14889,3823,0,3823,32683,2385,30298,32683,48,32635,32683,2771,29912,28860,1290,27570,32683,2196,30487,32683,1274,31409,71895,8214,63681,71895,7978,63917,71895,7665,64230,71895,4832,67063,71895,6415,65480,71895,4629,67266,71895,6900,64995,71895,6046,65849,71895,7371,64524
ACSSF,2010e1,al,000,0168,0000018,83957,44911,3287,41624,39046,83957,44911,3374,41537,39046,38584,2592,35992,38584,2779,35805,38584,2735,35849,25370,1709,23661,25370,1692,23678,25370,1677,23693,47470,4226,43244,39731,2353,37378,39731,1290,38441,39731,787,38944,9018,63,8955,10342,503,9839,683,190,493,10342,1597,8745,29389,2883,26506,39731,1090,38641,1135,0,1135,29389,1094,28295,29389,16363,7500,8863,13026,4157,8869,29389,11657,17732,7739,202,7537,47470,5070,42400,47470,131,47339,47470,2466,45004,39731,1216,38515,47470,5086,42384,47470,3478,43992,103672,14608,89064,103672,14267,89405,103672,14296,89376,103672,10582,93090,103672,11619,92053,103672,8403,95269,103672,12652,91020,103672,13241,90431,103672,13218,90454
ACSSF,2010e1,al,000,0168,0000019,80119,51834,2538,49296,28285,80119,51834,2209,49625,28285,45470,2203,43267,45470,2279,43191,45470,2016,43454,32647,1359,31288,32647,1480,31167,32647,1133,31514,45382,680,44702,40206,702,39504,40206,631,39575,40206,571,39635,12901,249,12652,14446,520,13926,1519,153,1366,14446,2423,12023,25760,2246,23514,40206,536,39670,585,15,570,25760,519,25241,25760,15595,6589,9006,10165,3085,7080,25760,9674,16086,5176,15,5161,45382,1077,44305,45382,365,45017,45382,2470,42912,40206,976,39230,45382,649,44733,45382,548,44834,99301,8126,91175,99301,7744,91557,99301,7784,91517,99301,5080,94221,99301,5833,93468,99301,3620,95681,99301,6683,92618,99301,6037,93264,99301,6761,92540
ACSSF,2010e1,al,000,0168,0000020,523376,330271,26138,304133,193105,523376,330271,24765,305506,193105,289454,19890,269564,289454,21413,268041,289454,19282,270172,203959,12918,191041,203959,13808,190151,203959,12256,191703,300638,10946,289692,257219,7257,249962,257219,4629,252590,257219,3959,253260,85306,1039,84267,90979,5533,85446,12277,2238,10039,90979,18285,72694,166240,16158,150082,257219,2718,254501,8066,2045,6021,166240,2997,163243,166240,113048,41929,71119,53192,15607,37585,166240,57536,108704,43419,992,42427,300638,16498,284140,300638,3945,296693,300638,75377,225261,257219,10378,246841,300638,16505,284133,300638,7127,293511,649986,68858,581128,649986,65753,584233,649986,64516,585470,649986,44863,605123,649986,53093,596893,649986,40862,609124,649986,56703,593283,649986,58784,591202,649986,57214,592772
