ACSSF,2010e1,al,000,0154,0000001,1815152,1272846,308488,257322,2727,2067,427,742,45203,490427,430298,1840,1167,455,726,55941,214148,181264,83,98,0,0,32703,164406,142705,285,367,0,0,21049,95377,77343,33,60,0,0,17941,542306,203220,61044,38130,52460,16195,15872,19519,139571,58578,19690,32445,6351,4134,18373,92656,42259,13419,19321,2875,1929,12853,63497,35421,7861,7611,1190,690,10724,43362,26913,3491,3979,428,190,8361,1815152,1272846,145784,117615,1645,870,142,112,25400,772708,655570,1941,2180,183,626,112208,354354,315747,1382,709,557,730,35229,542306,204733,68015,32523,57214,15676,6491,24814,270294,127366,38691,48531,8048,7551,40107,67279,28834,11377,10071,3315,8773,4909,1815152,1272846,145784,28498,19936,27633,18309,17420,13977,11639,3466,4906,772708,67188,74723,183264,129509,126387,74238,54868,27320,35211,354354,14527,19776,50959,42182,67463,69209,44642,20726,24870,542306,204733,18550,14525,36208,40569,40927,21114,15679,8505,8656,270294,15781,18148,42611,45524,52807,31888,28644,17752,17139,67279,4711,4883,10034,11176,12542,7915,6575,4619,4824
ACSSF,2010e1,al,000,0154,0000002,969165,594246,160244,147446,2483,1806,339,535,7635,221444,209946,1569,1124,410,416,7979,98366,93136,67,30,0,0,5133,73983,71777,209,194,0,0,1803,40209,37159,33,0,0,0,3017,374919,151023,39565,30762,44964,13664,14823,7245,92780,36471,14849,29113,4615,3644,4088,63762,28541,10474,17018,2785,1791,3153,40301,23301,6355,6689,1190,690,2076,27053,17555,2806,3461,428,126,2677,969165,594246,68259,61851,1371,870,142,112,3913,353061,333485,1774,1780,183,357,15482,172926,164128,1216,504,424,482,6172,374919,149599,45406,27018,50569,13617,5657,7332,181395,84640,29991,42294,6601,7169,10700,43925,15387,8237,8382,2464,8248,1207,969165,594246,68259,7083,5747,10895,9511,11098,9101,9494,2262,3068,353061,18413,22875,65801,58627,67044,44681,36214,17622,21784,172926,4853,6717,20381,18647,33185,36972,28258,11831,12082,374919,149599,10238,10237,24402,29974,33373,16007,12665,6333,6370,181395,8006,10845,23928,28642,36836,23840,22656,13164,13478,43925,2157,3744,7262,7884,8096,5029,4557,2900,2296
ACSSF,2010e1,al,000,0154,0000003,845987,678600,148244,109876,244,261,88,207,37568,268983,220352,271,43,45,310,47962,115782,88128,16,68,0,0,27570,90423,70928,76,173,0,0,19246,55168,40184,0,60,0,0,14924,167387,52197,21479,7368,7496,2531,1049,12274,46791,22107,4841,3332,1736,490,14285,28894,13718,2945,2303,90,138,9700,23196,12120,1506,922,0,0,8648,16309,9358,685,518,0,64,5684,845987,678600,77525,55764,274,0,0,0,21487,419647,322085,167,400,0,269,96726,181428,151619,166,205,133,248,29057,167387,55134,22609,5505,6645,2059,834,17482,88899,42726,8700,6237,1447,382,29407,23354,13447,3140,1689,851,525,3702,845987,678600,77525,21415,14189,16738,8798,6322,4876,2145,1204,1838,419647,48775,51848,117463,70882,59343,29557,18654,9698,13427,181428,9674,13059,30578,23535,34278,32237,16384,8895,12788,167387,55134,8312,4288,11806,10595,7554,5107,3014,2172,2286,88899,7775,7303,18683,16882,15971,8048,5988,4588,3661,23354,2554,1139,2772,3292,4446,2886,2018,1719,2528
ACSSF,2010e1,al,000,0154,0000004,1630940,1136038,270806,228923,2652,2067,427,742,35995,439667,388209,1824,1124,455,726,47329,193342,166339,83,98,0,0,26822,146646,129982,285,236,0,0,16143,85577,71374,33,60,0,0,14110,494902,187448,54537,33605,50554,15409,15538,17805,127304,52825,17293,31439,6199,4134,15414,84324,38318,12011,18373,2648,1872,11102,56730,31555,6593,7314,1190,690,9388,39096,24520,3129,3729,428,190,7100,1630940,1136038,134207,109797,1645,870,142,112,21641,690261,595265,1891,2042,183,626,90254,311570,279765,1341,673,557,730,28504,494902,191234,62692,29610,55650,15476,6434,21372,245239,115164,33361,46791,7530,7317,35076,58429,23899,9660,8968,2868,8673,4361,1630940,1136038,134207,27471,18955,25070,16547,15879,12538,10522,2795,4430,690261,64038,69089,162087,114233,111162,66245,49450,23830,30127,311570,13198,17798,45784,37192,59503,60287,39950,17860,19998,494902,191234,17699,14115,33669,37230,38214,19003,15324,7759,8221,245239,15246,16880,38121,40408,48189,29033,26441,15365,15556,58429,4538,4751,8908,9322,10746,6850,5840,3446,4028
ACSSF,2010e1,al,000,0154,0000005,1301124,902448,215002,184692,2491,1853,272,521,25173,344214,308157,1315,1124,338,416,32864,156392,135991,83,90,0,0,20228,119892,108686,258,236,0,0,10712,66948,58232,33,60,0,0,8623,398676,153493,42121,25859,44326,14127,14564,12496,103764,42588,13910,27246,5269,3450,11301,66526,30280,8441,16936,2549,1743,6577,43807,25536,4246,6392,1127,690,5816,31086,20124,1990,3265,428,126,5153,1301124,902448,110740,93677,1301,870,142,112,14638,550710,484336,1579,1989,116,422,62268,240998,217745,1300,504,352,403,20694,398676,159144,49239,24281,50278,14879,5889,14578,194712,93454,23890,40479,6324,6861,23704,44820,17956,6275,7408,2297,7823,3061,1301124,902448,110740,23370,16380,18568,13565,12816,10223,9851,2398,3569,550710,51940,55214,127456,89384,87223,54645,41071,19784,23993,240998,9561,13596,34643,28076,46183,47613,32563,13911,14852,398676,159144,13626,12660,28077,30455,32742,15382,13105,6396,6701,194712,10712,13144,28757,30628,39249,23771,22941,12515,12995,44820,3615,3251,6548,7254,8415,5221,4962,2528,3026
ACSSF,2010e1,al,000,0154,0000006,509963,294469,82719,77363,1557,1257,272,350,1920,114475,109679,931,890,141,416,2418,43357,42167,67,30,0,0,1093,33509,32827,71,194,0,0,417,20409,19525,33,60,0,0,791,215494,91119,20345,16737,30875,9955,11255,1952,53514,20874,7585,18324,3150,2534,1047,35293,15337,5600,11840,1015,915,586,20907,10950,2743,5344,782,450,638,14661,10465,937,1865,359,72,963,509963,294469,32849,29623,1056,809,142,112,1107,173506,166678,1016,1467,52,357,3936,88114,85260,587,155,219,297,1596,215494,94457,24015,17177,36630,9794,4590,2251,98913,46292,13350,27217,4160,5321,2573,22124,7664,3075,4401,1307,5315,362,509963,294469,32849,4363,2136,2991,4211,4081,5779,6094,1155,2039,173506,12889,11145,27756,23261,32290,23423,20236,9472,13034,88114,2919,3321,8214,9424,15656,20254,15738,6160,6428,215494,94457,6876,6464,15130,17265,23069,9150,8178,4078,4247,98913,4364,5366,10817,13415,21520,12739,13682,7952,9058,22124,1545,1064,2733,3565,4594,2561,2864,1595,1603
ACSSF,2010e1,al,000,0154,0000007,791161,607979,132283,107329,934,596,0,171,23253,229739,198478,384,234,197,0,30446,113035,93824,16,60,0,0,19135,86383,75859,187,42,0,0,10295,46539,38707,0,0,0,0,7832,183182,62374,21776,9122,13451,4172,3309,10544,50250,21714,6325,8922,2119,916,10254,31233,14943,2841,5096,1534,828,5991,22900,14586,1503,1048,345,240,5178,16425,9659,1053,1400,69,54,4190,791161,607979,77891,64054,245,61,0,0,13531,377204,317658,563,522,64,65,58332,152884,132485,713,349,133,106,19098,183182,64687,25224,7104,13648,5085,1299,12327,95799,47162,10540,13262,2164,1540,21131,22696,10292,3200,3007,990,2508,2699,791161,607979,77891,19007,14244,15577,9354,8735,4444,3757,1243,1530,377204,39051,44069,99700,66123,54933,31222,20835,10312,10959,152884,6642,10275,26429,18652,30527,27359,16825,7751,8424,183182,64687,6750,6196,12947,13190,9673,6232,4927,2318,2454,95799,6348,7778,17940,17213,17729,11032,9259,4563,3937,22696,2070,2187,3815,3689,3821,2660,2098,933,1423
ACSSF,2010e1,al,000,0154,0000008,329816,233590,55804,44231,161,214,155,221,10822,95453,80052,509,0,117,310,14465,36950,30348,0,8,0,0,6594,26754,21296,27,0,0,0,5431,18629,13142,0,0,0,0,5487,96226,33955,12416,7746,6228,1282,974,5309,23540,10237,3383,4193,930,684,4113,17798,8038,3570,1437,99,129,4525,12923,6019,2347,922,63,0,3572,8010,4396,1139,464,0,64,1947,329816,233590,23467,16120,344,0,0,0,7003,139551,110929,312,53,67,204,27986,70572,62020,41,169,205,327,7810,96226,32090,13453,5329,5372,597,545,6794,50527,21710,9471,6312,1206,456,11372,13609,5943,3385,1560,571,850,1300,329816,233590,23467,4101,2575,6502,2982,3063,2315,671,397,861,139551,12098,13875,34631,24849,23939,11600,8379,4046,6134,70572,3637,4202,11141,9116,13320,12674,7387,3949,5146,96226,32090,4073,1455,5592,6775,5472,3621,2219,1363,1520,50527,4534,3736,9364,9780,8940,5262,3500,2850,2561,13609,923,1500,2360,2068,2331,1629,878,918,1002
ACSSF,2010e1,al,000,0154,0000009,109702,69285,17422,16263,131,214,67,0,747,28305,27076,444,0,72,0,713,10608,9821,0,0,0,0,787,8170,7476,0,0,0,0,694,4780,4494,0,0,0,0,286,40417,16860,5091,4898,4480,865,663,863,9300,3290,1790,2988,440,312,480,6654,2829,2214,859,54,69,629,4520,2478,1318,456,63,0,205,3083,1915,647,160,0,64,297,109702,69285,7021,5744,323,0,0,0,954,38897,36996,211,53,67,0,1570,23367,22390,41,161,72,0,703,40417,13671,4846,2700,4095,348,329,1353,20402,8481,5776,4161,656,257,1071,6344,2276,2391,687,418,522,50,109702,69285,7021,774,388,1489,1029,1404,999,572,179,187,38897,3315,3506,8065,6342,7123,4047,2996,1466,2037,23367,1472,1686,3306,2633,3623,4398,3161,1784,1304,40417,13671,2462,689,1611,2530,2067,1508,1516,792,496,20402,2132,1247,2612,3270,4225,2385,1951,1433,1147,6344,378,988,992,1081,1119,692,527,304,263
ACSSF,2010e1,al,000,0154,0000010,220114,164305,38382,27968,30,0,88,221,10075,67148,52976,65,0,45,310,13752,26342,20527,0,8,0,0,5807,18584,13820,27,0,0,0,4737,13849,8648,0,0,0,0,5201,55809,17095,7325,2848,1748,417,311,4446,14240,6947,1593,1205,490,372,3633,11144,5209,1356,578,45,60,3896,8403,3541,1029,466,0,0,3367,4927,2481,492,304,0,0,1650,220114,164305,16446,10376,21,0,0,0,6049,100654,73933,101,0,0,204,26416,47205,39630,0,8,133,327,7107,55809,18419,8607,2629,1277,249,216,5441,30125,13229,3695,2151,550,199,10301,7265,3667,994,873,153,328,1250,220114,164305,16446,3327,2187,5013,1953,1659,1316,99,218,674,100654,8783,10369,26566,18507,16816,7553,5383,2580,4097,47205,2165,2516,7835,6483,9697,8276,4226,2165,3842,55809,18419,1611,766,3981,4245,3405,2113,703,571,1024,30125,2402,2489,6752,6510,4715,2877,1549,1417,1414,7265,545,512,1368,987,1212,937,351,614,739
