ACSSF,2010e1,al,000,0058,0000011,328233,7452,170,244,39,523,2153,646,2219,6088,4225,9860,13577,16809,13830,7199,107051,19776,18438,43071,19843,22891,10208,939,982,35020,651,1672,733,1192,910,2159,115,4156,8187,10176,311,1188,882,397,2291,35020,15084,2625,634,82,927,427,555,9377,3393,957,1973,1356,1698,3082,990,396,677,608,411,19936,4595,540,966,959,1348,782,12346,1723,1497,3427,4423,1276,2995,152,258,224,2014,347,37369,767,1870,916,1301,1392,2159,115,4406,8221,10711,384,1246,925,478,2478,328233,7452,3775,8307,14085,13577,16809,13830,7199,107051,19776,18438,43071,19843,22891,10208,939,982,35020,7432,4156,8187,10176,5069,29360,6597,3545,6679,8309,4230,5279,745,468,1508,1802,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29201,6597,3545,6596,8309,4154,,,,,,
ACSSF,2010e1,al,000,0058,0000012,915128,15929,324,426,338,1966,3981,3062,4429,15135,10856,21073,30970,39529,37167,17327,263810,54524,53436,135603,64939,90372,38476,7319,4137,140304,3234,8363,3049,4703,4992,9721,527,15929,31666,33212,2349,5679,2591,2689,11600,140304,66900,14910,5171,519,3845,1286,4089,36586,13410,2863,10272,3477,6564,15404,5081,1306,3403,2321,3293,73404,23178,3427,4473,4635,6809,3834,39545,6334,5679,8374,13749,5409,10681,1166,1089,1137,5570,1719,151265,3819,9063,3790,5905,6362,9772,613,17208,32399,34868,2877,6386,2704,3163,12336,915128,15929,10097,19564,31929,30970,39529,37167,17327,263810,54524,53436,135603,64939,90372,38476,7319,4137,140304,34589,15929,31666,33212,24908,121144,30190,14084,26779,28333,21758,15309,3261,1198,4173,4018,2659,,,,,,,,,,,,,,,,,,,,,,,,,1773,407,400,332,590,44,119895,29650,13989,26595,28333,21328,1736,679,148,286,122,501
ACSSF,2010e1,al,000,0058,0000013,127969,867,0,0,0,0,310,807,111,1316,1007,2092,2337,2469,3002,1382,32839,6464,7437,20773,9951,25384,7350,1464,607,34805,554,2325,405,1054,1259,3464,134,3758,8597,6149,396,1459,817,1137,3297,34805,18590,3844,1460,144,1051,42,1147,9606,3900,370,3517,393,1426,5140,1918,156,1390,705,971,16215,5226,489,1499,939,1428,871,8349,1201,1225,1486,2427,2010,2640,227,364,214,1154,681,38195,693,2492,581,1816,1588,3464,134,4417,8933,6417,552,1476,887,1353,3392,127969,867,1117,1427,3099,2337,2469,3002,1382,32839,6464,7437,20773,9951,25384,7350,1464,607,34805,9195,3758,8597,6149,7106,33140,8633,3701,8223,5632,6951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32932,8574,3701,8150,5632,6875,,,,,,
ACSSF,2010e1,al,000,0058,0000014,78510,1726,0,0,114,0,98,0,709,1175,1114,3435,1347,3629,2876,800,21060,5838,4319,12283,6412,7652,3032,466,425,11575,374,425,202,677,673,943,0,1390,2297,2428,269,741,52,100,1004,11575,5602,1331,599,0,310,337,85,2816,907,257,871,189,592,1455,513,51,429,280,182,5973,1927,389,292,267,662,317,2934,838,741,420,412,523,1112,48,49,0,548,467,12680,414,482,202,725,864,943,0,1523,2297,2428,441,818,107,135,1301,78510,1726,212,1884,4549,1347,3629,2876,800,21060,5838,4319,12283,6412,7652,3032,466,425,11575,3294,1390,2297,2428,2166,9409,2539,997,2119,2014,1740,1587,287,373,100,401,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9245,2375,997,2119,2014,1740,,,,,,
ACSSF,2010e1,al,000,0058,0000015,54033,663,0,0,139,52,103,63,44,836,475,1859,1697,2453,1004,701,15349,2595,3221,9827,5163,4953,1867,679,290,,,,,,,,,,,,,,,,,7789,3382,934,42,0,632,180,80,1916,714,279,284,486,153,532,143,63,237,19,70,4407,1510,0,386,490,442,192,2359,166,402,550,1166,75,538,0,0,206,231,101,,,,,,,,,,,,,,,,,54033,663,357,880,2334,1697,2453,1004,701,15349,2595,3221,9827,5163,4953,1867,679,290,7789,1065,1130,2399,2524,671,7472,993,1130,2399,2425,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7472,993,1130,2399,2425,525,,,,,,
ACSSF,2010e1,al,000,0058,0000016,45794,899,15,0,37,21,66,315,519,1328,810,1394,2716,1504,2375,712,12771,2458,2151,6764,3379,3626,1650,125,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45794,899,454,1847,2204,2716,1504,2375,712,12771,2458,2151,6764,3379,3626,1650,125,159,5560,1401,518,705,2000,936,5056,1401,518,682,1613,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5028,1401,518,654,1613,842,,,,,,
ACSSF,2010e1,al,000,0058,0000017,53657,136,0,0,0,0,154,97,0,233,253,1148,1366,1082,1985,1105,12366,4461,3292,10046,4330,7252,3295,666,390,11603,846,525,45,136,689,812,0,1186,2926,2843,148,226,437,125,659,11603,5581,1359,715,131,369,0,144,3033,1181,116,1001,260,475,1189,591,72,256,234,36,6022,2232,233,122,741,833,303,2868,234,510,559,1015,550,922,99,235,0,501,87,12291,856,539,122,292,689,812,0,1245,2926,2919,182,427,437,125,720,53657,136,251,233,1401,1366,1082,1985,1105,12366,4461,3292,10046,4330,7252,3295,666,390,11603,3053,1186,2926,2843,1595,10488,2810,1140,2505,2561,1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10345,2667,1140,2505,2561,1472,,,,,,
ACSSF,2010e1,al,000,0058,0000018,71575,588,0,0,399,37,0,0,653,461,505,1728,1543,3636,3003,1349,18526,5372,4851,14326,5341,5898,2682,636,41,9257,456,311,162,288,486,378,0,1189,1454,1906,236,795,339,185,1072,9257,4316,1356,28,71,375,259,623,2237,878,349,223,87,700,723,417,0,188,46,72,4941,1039,121,135,96,328,359,2757,395,508,501,718,635,1145,242,126,71,468,238,10670,506,311,228,351,796,438,0,1258,1624,2171,530,861,339,185,1072,71575,588,436,1114,2233,1543,3636,3003,1349,18526,5372,4851,14326,5341,5898,2682,636,41,9257,2081,1189,1454,1906,2627,7952,1797,967,1161,1827,2200,1245,224,222,293,79,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7952,1797,967,1161,1827,2200,,,,,,
ACSSF,2010e1,al,000,0058,0000019,68538,681,31,0,17,0,199,167,384,809,704,748,1559,2448,2530,1105,19663,4046,4493,10534,5991,7719,3554,680,476,12429,350,822,502,534,428,549,35,1370,3187,2238,301,668,256,330,859,12429,6134,1650,432,223,677,91,227,3707,1316,148,1259,138,846,777,234,28,163,80,272,6295,2158,517,305,568,465,303,3249,681,612,400,1034,522,888,40,54,120,430,244,13630,428,959,515,617,504,549,35,1464,3349,2463,395,758,328,330,936,68538,681,414,1193,1452,1559,2448,2530,1105,19663,4046,4493,10534,5991,7719,3554,680,476,12429,3220,1370,3187,2238,2414,10911,2922,1217,2803,1975,1994,1142,264,136,309,158,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10793,2861,1217,2767,1975,1973,,,,,,
ACSSF,2010e1,al,000,0058,0000020,440047,4095,0,22,276,0,353,396,502,3512,2769,4918,8655,12324,13709,8944,104971,16129,21078,78177,33210,79165,30623,10508,5711,126007,4741,8656,4472,4691,7408,7332,433,12200,29805,18886,4518,6883,4325,4389,7268,126007,59996,20626,7466,1893,6102,971,4194,29944,11913,1326,8513,2488,5704,9426,3197,637,2663,1233,1696,66011,25515,6717,2434,5394,3528,7442,32164,7294,4622,6379,7573,6296,8332,1146,1288,754,3093,2051,137214,5387,9445,5342,5563,8431,7803,495,13355,31321,19344,5192,7631,5038,5048,7819,440047,4095,1047,4014,7687,8655,12324,13709,8944,104971,16129,21078,78177,33210,79165,30623,10508,5711,126007,37733,12200,29805,18886,27383,93811,27607,8665,22652,12808,22079,25779,6814,2301,6127,5734,4803,,,,,,,4977,2675,669,896,344,393,,,,,,,,,,,,,,,,,,,92832,27248,8566,22578,12626,21814,,,,,,
