ACSSF,2010e1,al,000,0055,0000013,,,,,,,,,,,,,,,,,,,,147040,33748,1502,1802,1211,2955,738,2235,2616,1718,2185,1580,1267,2561,1309,2231,6095,1743,113292,,,,,,,,,,,,,,,,,,,,2270,922,45,419,306,152,1348,147040,33748,3304,15238,7368,7838,113292,,,,,,,
ACSSF,2010e1,al,000,0055,0000014,,,,,,,,,,,,,,,,,,,,85446,20608,1804,857,574,1057,723,988,687,1331,1506,1441,1054,1006,1200,791,5034,555,64838,,,,,,,,,,,,,,,,,,,,,,,,,,,85446,20608,2661,8307,4051,5589,64838,,,,,,,
ACSSF,2010e1,al,000,0055,0000015,,,,,,,,,,,,,,,,,,,,71879,18085,1036,997,746,951,1003,478,1290,644,1037,931,1513,1045,1167,689,4191,367,53794,,,,,,,,,,,,,,,,,,,,,,,,,,,71879,18085,2033,7080,4414,4558,53794,3445,1482,159,804,419,100,1963
ACSSF,2010e1,al,000,0055,0000016,,,,,,,,,,,,,,,,,,,,56031,12752,263,676,461,844,671,489,1116,655,923,1397,643,567,548,946,2288,265,43279,,,,,,,,,,,,,,,,,,,,,,,,,,,56031,12752,939,6556,2704,2553,43279,,,,,,,
ACSSF,2010e1,al,000,0055,0000017,,,,,,,,,,,,,,,,,,,,57906,13821,995,906,419,790,1254,960,620,830,692,231,1169,786,314,938,2347,570,44085,,,,,,,,,,,,,,,,,,,,1199,498,140,296,62,0,701,57906,13821,1901,5796,3207,2917,44085,,,,,,,
ACSSF,2010e1,al,000,0055,0000018,,,,,,,,,,,,,,,,,,,,80121,17465,967,860,1217,617,769,902,574,1268,714,1287,1721,662,1137,1333,3281,156,62656,,,,,,,,,,,,,,,,,,,,,,,,,,,80121,17465,1827,7348,4853,3437,62656,3258,1079,0,652,427,0,2179
ACSSF,2010e1,al,000,0055,0000019,,,,,,,,,,,,,,,,,,,,67603,14382,884,666,984,917,982,1007,1032,1234,516,533,415,1008,927,722,2257,298,53221,,,,,,,,,,,,,,,,,,,,1810,862,117,644,101,0,948,67603,14382,1550,7205,3072,2555,53221,2709,814,83,357,232,142,1895
ACSSF,2010e1,al,000,0055,0000020,,,,,,,,,,,,,,,,,,,,329727,75473,5531,4975,3868,3171,3723,3106,3055,3975,3554,3775,3486,3566,3962,3398,16160,6168,254254,,,,,,,,,,,,,,,,,,,,4615,1928,434,416,522,556,2687,329727,75473,10506,28227,14412,22328,254254,23754,6868,1967,2926,1205,770,16886
ACSSF,2010e1,al,000,0055,0000021,,,,,,,,,,,,,,,,,,,,76806,20133,1004,2046,1034,861,679,1472,633,670,733,736,1070,480,763,974,6095,883,56673,,,,,,,,,,,,,,,,,,,,,,,,,,,76806,20133,3050,6818,3287,6978,56673,,,,,,,
ACSSF,2010e1,al,000,0055,0000022,,,,,,,,,,,,,,,,,,,,95387,37671,1493,850,802,882,1547,975,1795,1259,1137,1172,855,1556,1004,821,18910,2613,57716,,,,,,,,,,,,,,,,,,,,1248,740,29,156,144,411,508,95387,37671,2343,9569,4236,21523,57716,4337,1582,118,727,169,568,2755
ACSSF,2010e1,al,000,0055,0000023,,,,,,,,,,,,,,,,,,,,63049,14315,681,433,682,899,421,1624,354,831,984,541,927,1230,346,863,2737,762,48734,,,,,,,,,,,,,,,,,,,,,,,,,,,63049,14315,1114,6336,3366,3499,48734,4482,1557,122,980,304,151,2925
ACSSF,2010e1,al,000,0055,0000024,,,,,,,,,,,,,,,,,,,,214900,53531,2697,2583,3301,2945,3059,1739,1773,2379,4564,2826,2026,3259,3211,2013,12189,2967,161369,13967,4113,286,485,219,256,122,587,168,322,146,255,254,138,138,133,397,207,9854,7049,3644,883,2124,300,337,3405,214900,53531,5280,22586,10509,15156,161369,13967,4113,771,2075,663,604,9854
ACSSF,2010e1,al,000,0055,0000025,,,,,,,,,,,,,,,,,,,,75740,16646,452,609,657,591,860,792,1081,1338,1576,943,1061,1200,740,1165,3233,348,59094,,,,,,,,,,,,,,,,,,,,,,,,,,,75740,16646,1061,7838,4166,3581,59094,10326,2768,541,1154,1073,0,7558
ACSSF,2010e1,al,000,0055,0000026,,,,,,,,,,,,,,,,,,,,236001,56342,3261,4004,2761,2755,2192,3232,3471,3142,3739,2085,2579,3164,2706,2582,12843,1826,179659,,,,,,,,,,,,,,,,,,,,3755,1433,160,434,527,312,2322,236001,56342,7265,23377,11031,14669,179659,9440,2998,502,1462,438,596,6442
ACSSF,2010e1,al,000,0055,0000027,,,,,,,,,,,,,,,,,,,,85661,18917,1096,677,1121,631,850,1113,454,1095,911,883,991,721,1370,513,5226,1265,66744,,,,,,,,,,,,,,,,,,,,,,,,,,,85661,18917,1773,7058,3595,6491,66744,7777,1879,703,883,89,204,5898
ACSSF,2010e1,al,000,0055,0000028,,,,,,,,,,,,,,,,,,,,90404,21762,1281,1038,970,1407,790,1086,955,1345,1466,1123,1157,1182,1049,783,5508,622,68642,,,,,,,,,,,,,,,,,,,,2443,1073,272,377,123,301,1370,90404,21762,2319,9142,4171,6130,68642,8774,3537,465,1932,742,398,5237
ACSSF,2010e1,al,000,0055,0000029,,,,,,,,,,,,,,,,,,,,69556,15771,642,705,1304,797,915,874,1659,551,993,356,1779,1202,526,802,2415,251,53785,,,,,,,,,,,,,,,,,,,,,,,,,,,69556,15771,1347,7449,4309,2666,53785,2016,712,18,509,185,0,1304
