ACSSF,2010m1,al,000,0107,0000001,16252,10657,8203,6160,5512,1905,1046,1214,468,1556,1399,3908,2971,869,1936,1916,1314,1404,4558,2878,2660,927,1771,984,1318,788,3178,659,2618,1441,1203,817,513,736,4488,1648,889,1377,1408,1248,355,314,2482,1327,1795,273,1432,1179,222,237,1131,1778,1079,1014,1032,2645,2631,1320,490,1240,197,1506,1388,6855,1160,900,562,450,3504,848,369,491,1360,2605,1984,4128,1367,3372,1867,1030,1203,4363,549,881,3010,2521,1553,564,704,401,400,1106,7080,5102,2397,1650,1717,2784,1546,1771,1254,4640,1508,230,1050,607,1015,949,2921,654,1480,6316,2313,466,1617,1433,5169,2141,2303,2451,1992,1355,1409,3009,1517,1048,4550,1151,2769,2923,8835,6627,2035,1720,1555,3488,867,1352,909,1042,3560,4508,963,657,1150,801,3793,1142,895,4146,3257,2093
ACSSF,2010m1,al,000,0107,0000002,15862,9718,6685,4931,4246,1542,959,967,420,1186,495,3449,2361,680,1479,1706,1035,1334,3351,1982,1928,596,1381,769,896,413,2423,616,1854,1126,892,567,433,512,3475,1459,809,1102,1140,949,394,289,2058,1105,1512,273,1168,959,222,225,887,1540,1000,1009,799,2007,1897,1019,412,1010,95,1074,921,5501,921,827,157,329,2402,629,198,483,528,1394,1685,3447,1255,2417,1428,911,973,2928,408,571,2313,1768,1242,499,672,352,209,734,5082,3993,1887,1119,1283,2357,1196,1534,802,3474,1189,230,773,580,895,779,2378,426,1245,4821,915,269,671,502,3797,1251,1478,2118,1630,854,935,2459,947,524,3138,606,1929,2093,5983,4091,1443,1189,1299,2220,797,1193,502,808,2145,3320,735,374,771,506,2757,954,670,2899,2608,1382
ACSSF,2010m1,al,000,0107,0000003,13976,9280,4951,3664,3396,1375,679,699,204,899,1311,2590,1805,548,1203,1000,781,733,2754,1822,1710,698,846,579,1107,615,1773,296,1710,855,872,565,254,575,2442,1047,518,938,736,750,145,118,1632,892,1157,273,916,805,273,114,795,972,402,466,732,1309,1243,695,244,692,175,799,948,4402,643,296,547,297,2273,676,306,150,1235,1785,1191,2289,348,1805,1143,398,647,2771,406,653,1813,1749,1109,264,308,199,312,891,4544,3264,1548,1221,984,1809,1094,1034,1041,2804,950,273,593,258,511,619,1647,451,836,5002,2151,402,1399,1391,3910,1689,1764,1569,1346,928,997,1924,1367,869,3522,908,2048,2404,6276,4811,1269,1617,900,2474,381,672,760,852,2785,3034,739,489,1019,648,2737,550,607,2833,2201,1637
ACSSF,2010m1,al,000,0107,0000004,15398,10101,7742,5851,5398,1938,1041,1184,425,1508,1282,3704,2820,858,1772,1898,1311,1386,4388,2856,2641,917,1771,1021,1301,787,3093,659,2499,1377,1124,746,513,704,4504,1681,885,1360,1369,1203,355,314,2565,1319,1800,273,1414,1108,217,237,1106,1766,1079,1019,1021,2598,2570,1319,505,1240,143,1395,1244,7039,1130,900,562,410,3600,822,369,483,1308,2615,1916,4023,1345,3157,1869,1027,1197,4355,559,880,2964,2513,1447,563,706,401,347,979,6673,4927,2478,1534,1622,2851,1510,1739,1264,4436,1526,230,1054,612,1016,944,2769,605,1485,5858,1973,408,1513,1031,5002,1963,2163,2406,1875,1336,1384,2883,1333,1005,4324,1110,2648,2837,8223,6260,1844,1562,1404,3359,862,1401,822,997,3366,4287,951,650,1116,711,3558,1151,774,3959,3210,2068
ACSSF,2010m1,al,000,0107,0000005,14065,9888,7749,5611,4995,1710,976,1134,418,1348,1147,3501,2518,739,1597,1706,1220,1258,3999,2528,2294,898,1734,891,961,755,2985,661,2356,1156,1057,645,444,619,4020,1560,821,1202,1142,990,361,291,2353,1282,1596,273,1293,1085,217,225,881,1687,1021,1030,966,2435,2225,1196,465,1133,101,1244,1099,5755,1096,849,555,394,2768,743,353,483,1158,1738,1891,3523,1208,2844,1643,904,1184,3579,503,783,2318,2140,1487,548,698,380,347,984,6322,4869,2298,1407,1592,2755,1446,1579,1108,3838,1528,230,762,528,964,909,2627,599,1184,5715,1364,307,916,751,4711,1686,1893,2226,1916,1238,1197,2357,1382,960,3841,965,2252,2451,7337,4690,1475,1618,999,2986,800,1206,701,858,3001,3910,846,550,1023,605,3280,1129,753,3719,2975,1952
ACSSF,2010m1,al,000,0107,0000006,11018,7488,4543,3003,2739,1194,764,738,319,773,214,2073,1496,431,959,1189,831,968,2328,1386,1335,459,1056,502,670,202,1463,337,1194,696,826,485,291,572,2484,862,585,651,792,779,118,128,1675,1062,1013,273,813,747,217,225,820,1241,593,838,641,1927,1750,1035,451,843,28,851,777,3923,724,616,273,306,1764,636,144,475,221,1005,1144,2478,815,1719,1175,678,813,1953,266,363,1337,1372,756,352,466,133,140,481,3658,2489,1205,606,725,1688,866,887,524,2614,864,232,572,358,760,543,1859,285,750,3584,406,97,354,131,2886,750,740,1525,1171,600,538,1979,655,433,1823,457,1217,1287,3988,2528,983,854,622,1197,650,1090,208,491,1479,1888,472,342,749,476,1759,868,610,2355,2094,1277
ACSSF,2010m1,al,000,0107,0000007,11926,8756,5916,4405,3786,1430,719,760,251,1195,1080,2770,2069,707,1226,1337,880,877,2959,2044,1774,794,1312,755,803,716,2430,516,2046,883,668,427,279,402,2634,1364,658,1089,730,554,340,275,1676,669,1264,273,981,874,273,273,700,1176,777,652,696,1477,1432,675,236,881,97,889,758,4157,779,569,555,247,2389,547,320,115,1161,1319,1435,2219,868,1947,1126,640,819,2628,439,710,1847,1391,1220,391,475,354,302,863,4756,3860,1847,1187,1268,2052,1207,1257,974,2533,1203,16,482,479,670,844,1844,517,778,5014,1178,318,772,729,4336,1455,1761,1431,1508,986,1015,1884,1226,815,3280,800,1994,2100,5669,4172,1096,1388,730,2655,421,537,660,761,2560,2999,665,380,825,443,2444,606,677,2701,2099,1528
ACSSF,2010m1,al,000,0107,0000008,7665,4388,2831,2225,1782,761,355,357,78,579,762,1588,1426,440,985,629,346,486,1603,1093,1075,226,437,304,878,162,1004,184,801,612,473,326,261,215,1533,663,315,601,513,517,25,96,1158,494,845,273,717,399,273,114,778,686,252,243,607,773,792,426,143,389,97,503,560,3178,310,254,125,100,1984,427,116,273,708,1560,904,1531,456,1090,622,434,279,1914,233,392,1332,1110,657,65,241,121,273,547,2817,2066,1167,607,449,1194,624,755,572,1740,370,273,625,274,362,261,1280,279,905,2720,1287,249,1120,574,2328,866,1010,1244,695,405,552,1549,427,213,2026,406,1334,1697,3408,2873,724,913,912,1301,269,577,438,466,1339,1569,659,313,458,418,1329,268,221,1342,1296,614
ACSSF,2010m1,al,000,0107,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0107,0000010,7113,4174,2541,1733,1572,342,292,279,273,503,690,1189,798,136,735,278,221,180,1374,1014,996,221,338,222,848,162,799,184,648,540,438,252,261,199,1149,495,237,450,516,509,25,96,944,292,808,273,680,352,273,273,582,526,171,82,506,581,380,163,76,275,97,290,534,2441,238,190,125,73,1634,404,77,273,669,1328,740,1248,404,968,487,320,238,1684,182,117,1049,982,491,65,208,121,273,325,2294,1710,837,395,343,977,552,537,585,1419,264,273,593,274,289,229,925,217,573,2450,1211,95,1028,572,2178,787,778,1214,698,271,532,1533,417,213,1524,276,1032,1192,2857,2361,586,870,539,1076,269,592,323,437,1278,1296,453,279,423,371,1174,247,90,1197,1080,628
