ACSSF,2010m1,al,000,0043,0000018,2976,635,585,785,1342,963,1057,1058,977,396,636,502,563,913,945,2976,272,1136,1305,1781,1179,644,999,204,350,818,700,456,2976,635,585,785,1342,963,1057,1058,977,396,1804,2976,1192,1305,1781,1179,644,999,400,818,780
ACSSF,2010m1,al,000,0043,0000019,1528,551,438,617,664,1050,776,742,698,198,477,310,190,623,725,1528,329,803,1016,908,745,329,920,121,191,492,202,234,1528,551,438,617,664,1050,776,742,698,198,1014,1528,877,1016,908,745,329,920,242,492,291
ACSSF,2010m1,al,000,0043,0000020,6024,1732,1515,1724,2778,2911,3720,3246,2843,1888,2094,1295,859,2220,1959,6024,1160,2161,3576,3601,3670,1962,3625,1463,1366,2356,1527,908,6024,1732,1515,1724,2778,2911,3720,3246,2843,1888,3620,6024,2373,3576,3601,3670,1962,3625,2145,2356,1754
ACSSF,2010m1,al,000,0043,0000021,2034,710,616,830,1215,986,1208,1003,962,642,564,587,291,958,772,2034,498,1520,1248,1419,965,763,1078,666,720,911,920,372,2034,710,616,830,1215,986,1208,1003,962,642,1390,2034,1557,1248,1419,965,763,1078,1000,911,967
ACSSF,2010m1,al,000,0043,0000022,2348,671,1461,602,1014,950,1555,1507,1130,779,708,795,802,1393,1089,2348,742,1563,1581,1581,1490,1092,1429,507,362,920,621,653,2348,671,1461,602,1014,950,1555,1507,1130,779,1965,2348,1798,1581,1581,1490,1092,1429,663,920,780
ACSSF,2010m1,al,000,0043,0000023,1962,684,1007,793,901,1124,1404,881,776,383,404,178,230,638,712,1962,536,723,1214,1019,1514,605,1121,440,591,676,539,149,1962,684,1007,793,901,1124,1404,881,776,383,1037,1962,933,1214,1019,1514,605,1121,735,676,553
ACSSF,2010m1,al,000,0043,0000024,4264,1143,1400,1593,2244,2045,2333,2253,2124,1139,1619,1438,755,1514,1385,4264,929,2137,2246,3194,3131,2066,1973,819,713,1187,592,816,4264,1143,1400,1593,2244,2045,2333,2253,2124,1139,3180,4264,2187,2246,3194,3131,2066,1973,1100,1187,966
ACSSF,2010m1,al,000,0043,0000025,1919,915,1461,896,1157,1083,1431,765,755,321,518,541,699,882,898,1919,767,1477,1075,1339,1199,477,1292,690,485,1306,692,977,1919,915,1461,896,1157,1083,1431,765,755,321,1478,1919,1566,1075,1339,1199,477,1292,843,1306,1197
ACSSF,2010m1,al,000,0043,0000026,4863,2204,1872,1674,2283,2264,3014,2574,1656,1294,1776,1106,420,1834,1814,4863,1328,1839,2417,3218,2927,2081,2725,1125,1165,2375,1209,740,4863,2204,1872,1674,2283,2264,3014,2574,1656,1294,3481,4863,2238,2417,3218,2927,2081,2725,1618,2375,1474
ACSSF,2010m1,al,000,0043,0000027,3752,967,889,923,1651,1946,2559,1902,1190,1008,1121,845,448,1557,1737,3752,721,1730,2431,2589,2109,1473,1511,522,866,863,551,683,3752,967,889,923,1651,1946,2559,1902,1190,1008,2921,3752,1881,2431,2589,2109,1473,1511,1005,863,967
ACSSF,2010m1,al,000,0043,0000028,2603,735,610,916,1293,1174,1409,1175,1310,685,749,657,397,1102,1317,2603,638,1406,1696,1149,1387,716,1912,874,1075,1180,495,285,2603,735,610,916,1293,1174,1409,1175,1310,685,2112,2603,1525,1696,1149,1387,716,1912,1402,1180,560
ACSSF,2010m1,al,000,0043,0000029,2412,778,814,896,1158,1268,1213,948,825,368,595,384,131,949,555,2412,381,673,921,1169,1070,1161,1313,823,761,1225,593,449,2412,778,814,896,1158,1268,1213,948,825,368,1121,2412,869,921,1169,1070,1161,1313,951,1225,753
ACSSF,2010m1,al,000,0043,0000030,3174,987,1037,1111,1715,1603,1686,1497,1406,819,1291,523,786,1093,1024,3174,848,1425,1576,1742,1765,1183,1972,1315,1065,1593,1096,764,3174,987,1037,1111,1715,1603,1686,1497,1406,819,2253,3174,1810,1576,1742,1765,1183,1972,1641,1593,1343
ACSSF,2010m1,al,000,0043,0000031,2474,822,662,838,837,1097,1040,901,625,404,492,269,159,818,639,2474,454,1178,1192,975,1041,948,760,492,492,486,822,517,2474,822,662,838,837,1097,1040,901,625,404,1086,2474,1257,1192,975,1041,948,760,649,486,1160
ACSSF,2010m1,al,000,0043,0000032,3854,1330,1171,901,1689,1841,2130,1547,1774,984,727,508,285,1615,1624,3854,633,1646,1977,2719,2556,1243,1703,537,898,969,750,480,3854,1330,1171,901,1689,1841,2130,1547,1774,984,2060,3854,1744,1977,2719,2556,1243,1703,1009,969,929
ACSSF,2010m1,al,000,0043,0000033,2102,664,601,581,604,814,663,594,702,476,302,322,277,783,622,2102,390,726,824,1013,711,368,927,342,567,818,629,429,2102,664,601,581,604,814,663,594,702,476,1215,2102,783,824,1013,711,368,927,640,818,781
ACSSF,2010m1,al,000,0043,0000034,3961,1044,888,777,1503,1805,2359,1915,1753,916,1169,753,345,1318,1545,3961,479,1202,1778,2419,2518,1228,2040,495,539,959,1030,537,3961,1044,888,777,1503,1805,2359,1915,1753,916,2510,3961,1215,1778,2419,2518,1228,2040,739,959,1164
ACSSF,2010m1,al,000,0043,0000035,1474,411,362,430,472,525,595,635,529,160,393,296,188,509,553,1474,223,639,1050,729,492,223,488,92,129,298,147,120,1474,411,362,430,472,525,595,635,529,160,843,1474,693,1050,729,492,223,488,151,298,191
ACSSF,2010m1,al,000,0043,0000036,2656,484,538,652,700,877,1246,1427,1081,718,1515,694,302,490,686,2656,540,959,1335,1301,1627,943,1173,514,535,569,397,554,2656,484,538,652,700,877,1246,1427,1081,718,1714,2656,1103,1335,1301,1627,943,1173,745,569,737
ACSSF,2010m1,al,000,0043,0000037,3914,699,1223,1019,1512,1341,1901,1392,1859,1025,1398,1236,434,1131,1098,3914,845,1856,1895,2689,2310,1026,1057,334,397,819,497,617,3914,699,1223,1019,1512,1341,1901,1392,1859,1025,2508,3914,1973,1895,2689,2310,1026,1057,513,819,785
ACSSF,2010m1,al,000,0043,0000038,3511,1496,814,1126,1696,1375,2133,1845,1265,955,1554,713,291,1348,1280,3511,746,1317,2185,1864,2028,1115,1645,654,606,1132,930,382,3511,1496,814,1126,1696,1375,2133,1845,1265,955,2567,3511,1512,2185,1864,2028,1115,1645,867,1132,976
ACSSF,2010m1,al,000,0043,0000039,4151,967,806,871,1593,1804,2495,1883,1188,961,1071,828,437,1628,1713,4151,635,1720,2263,2629,1994,1362,1534,489,756,622,499,665,4151,967,806,871,1593,1804,2495,1883,1188,961,2936,4151,1832,2263,2629,1994,1362,1534,937,622,878
ACSSF,2010m1,al,000,0043,0000040,2653,414,681,377,1438,1333,1558,1201,1358,763,597,468,285,1029,1212,2653,550,1393,1317,2193,1434,639,677,206,574,562,505,273,2653,414,681,377,1438,1333,1558,1201,1358,763,1480,2653,1449,1317,2193,1434,639,677,615,562,505
ACSSF,2010m1,al,000,0043,0000041,3961,1044,888,777,1503,1805,2359,1915,1753,916,1169,753,345,1318,1545,3961,479,1202,1778,2419,2518,1228,2040,495,539,959,1030,537,3961,1044,888,777,1503,1805,2359,1915,1753,916,2510,3961,1215,1778,2419,2518,1228,2040,739,959,1164
ACSSF,2010m1,al,000,0043,0000042,2656,484,538,652,700,877,1246,1427,1081,718,1515,694,302,490,686,2656,540,959,1335,1301,1627,943,1173,514,535,569,397,554,2656,484,538,652,700,877,1246,1427,1081,718,1714,2656,1103,1335,1301,1627,943,1173,745,569,737
ACSSF,2010m1,al,000,0043,0000043,1443,411,362,430,472,525,572,560,521,160,393,270,188,509,553,1443,223,639,1007,680,492,223,488,92,129,277,147,120,1443,411,362,430,472,525,572,560,521,160,836,1443,691,1007,680,492,223,488,151,277,191
ACSSF,2010m1,al,000,0043,0000044,3914,699,1223,1019,1512,1341,1901,1392,1859,1025,1398,1236,434,1131,1098,3914,845,1856,1895,2689,2310,1026,1057,334,397,819,497,617,3914,699,1223,1019,1512,1341,1901,1392,1859,1025,2508,3914,1973,1895,2689,2310,1026,1057,513,819,785
ACSSF,2010m1,al,000,0043,0000045,3511,1496,814,1126,1696,1375,2133,1845,1265,955,1554,713,291,1348,1280,3511,746,1317,2185,1864,2028,1115,1645,654,606,1132,930,382,3511,1496,814,1126,1696,1375,2133,1845,1265,955,2567,3511,1512,2185,1864,2028,1115,1645,867,1132,976
ACSSF,2010m1,al,000,0043,0000046,4151,967,806,871,1593,1804,2495,1883,1188,961,1071,828,437,1628,1713,4151,635,1720,2263,2629,1994,1362,1534,489,756,622,499,665,4151,967,806,871,1593,1804,2495,1883,1188,961,2936,4151,1832,2263,2629,1994,1362,1534,937,622,878
ACSSF,2010m1,al,000,0043,0000047,2653,414,681,377,1438,1333,1558,1201,1358,763,597,468,285,1029,1212,2653,550,1393,1317,2193,1434,639,677,206,574,562,505,273,2653,414,681,377,1438,1333,1558,1201,1358,763,1480,2653,1449,1317,2193,1434,639,677,615,562,505
ACSSF,2010m1,al,000,0043,0000048,6701,2768,2246,2080,2881,2775,3918,3452,2149,1547,2195,1475,727,2126,2611,6701,1848,3182,3273,3837,3646,2434,3611,1348,1742,2934,1988,1143,6701,2768,2246,2080,2881,2775,3918,3452,2149,1547,4755,6701,3598,3273,3837,3646,2434,3611,2286,2934,2351
ACSSF,2010m1,al,000,0043,0000049,7036,2075,1605,1859,2606,2889,3399,3027,2090,1139,1496,1344,743,1889,2458,7036,1447,2882,3216,3384,3077,1935,2725,1207,1421,2258,1802,1013,7036,2075,1605,1859,2606,2889,3399,3027,2090,1139,4107,7036,3176,3216,3384,3077,1935,2725,2042,2258,1979
ACSSF,2010m1,al,000,0043,0000050,6622,2152,1996,2388,3128,2775,3186,2832,2196,1545,1644,1314,1049,2793,1976,6622,1658,2899,3719,3618,3637,2751,2918,1517,1507,1866,1752,1239,6622,2152,1996,2388,3128,2775,3186,2832,2196,1545,4105,6622,3423,3719,3618,3637,2751,2918,2066,1866,2178
ACSSF,2010m1,al,000,0043,0000051,8047,2282,2590,2400,2396,2587,3299,2589,2118,1228,1264,1088,1023,2445,2299,8047,1394,3507,2862,3717,3002,1826,3868,1647,1446,2659,2016,1624,8047,2282,2590,2400,2396,2587,3299,2589,2118,1228,4112,8047,3505,2862,3717,3002,1826,3868,2029,2659,2245
