ACSSF,2010e1,al,000,0020,0000001,3132615,96,64,0,660698,6190,89,49,238,3245,162,943,126,859,479,270,0,112,1573,75,367,879,8262,259,1175,1927,69,290,528,0,960,940,1188,11698,533,221743,64,30018,701,23491,3240,117894,0,4812,63,1226,192,1403,180500,530,35910,154,683,145,0,0,58,908,4510,105,11859,1026,943,3524,1852,48079,42996,442,263,279,217,0,29774,0,469,0,800,0,1049,0,0,0,145,1072,0,194,25765,280,5869,1794,2249,774,4965,5620,152,228,0,136,152,0,357,2907,234,366,1088,0,375,1643212,3132615,660698,6190,8262,960,1188,11698,221743,30018,23491,3240,117894,4812,1226,180500,35910,683,4510,11859,1026,3524,48079,42996,279,29774,5869,1794,774,4965,5620,1663033
ACSSF,2010e1,al,000,0020,0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729073,271641,4254,4492,533,777,4612,112276,16913,11771,1490,61021,3489,990,83176,18759,513,2239,6661,193,2107,27146,21559,231,20791,3910,693,437,3080,5304,1038015
ACSSF,2010e1,al,000,0020,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403542,389057,1936,3770,427,411,7086,109467,13105,11720,1750,56873,1323,236,97324,17151,170,2271,5198,833,1417,20933,21437,48,8983,1959,1101,337,1885,316,625018
ACSSF,2010e1,al,000,0020,0000004,2800669,96,64,0,580387,6050,89,49,238,3245,162,943,126,719,479,270,0,112,1473,75,348,879,7191,259,1175,1855,0,290,528,0,960,940,1126,10705,533,202450,64,29269,701,22282,3087,110389,0,4643,63,1180,192,1403,160861,530,34139,154,683,145,0,0,15,908,4256,105,11491,1026,943,3524,1642,44979,39819,442,263,279,208,0,27401,0,469,0,800,0,1049,0,0,0,145,1072,0,194,23392,280,5305,1794,2162,774,4480,5513,152,228,0,136,152,0,304,2853,234,366,1088,0,375,1455414,2800669,580387,6050,7191,960,1126,10705,202450,29269,22282,3087,110389,4643,1180,160861,34139,683,4256,11491,1026,3524,44979,39819,279,27401,5305,1794,774,4480,5513,1474626
ACSSF,2010e1,al,000,0020,0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2271891,440057,5692,5959,266,820,9053,162553,23503,18248,2734,85062,3912,800,126273,28754,494,2807,9470,750,3101,34524,31713,104,18381,4002,1486,580,3658,5263,1241872
ACSSF,2010e1,al,000,0020,0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943472,110818,3693,2708,75,330,2370,53648,7934,5199,718,29395,2450,267,35956,9003,386,1093,2389,193,1146,12622,11421,104,12076,1922,238,287,1172,3451,630408
ACSSF,2010e1,al,000,0020,0000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328419,329239,1999,3251,191,490,6683,108905,15569,13049,2016,55667,1462,533,90317,19751,108,1714,7081,557,1955,21902,20292,0,6305,2080,1248,293,2486,1812,611464
ACSSF,2010e1,al,000,0020,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528778,140330,358,1232,694,306,1652,39897,5766,4034,353,25327,731,380,34588,5385,189,1449,2021,276,423,10455,8106,175,9020,1303,308,194,822,250,232754
ACSSF,2010e1,al,000,0020,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179004,43625,343,373,142,76,371,12258,2457,1467,88,9794,666,326,11165,1381,0,167,547,0,22,2568,2280,127,4602,491,254,177,229,140,82868
ACSSF,2010e1,al,000,0020,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349774,96705,15,859,552,230,1281,27639,3309,2567,265,15533,65,54,23423,4004,189,1282,1474,276,401,7887,5826,48,4418,812,54,17,593,110,149886
