ACSSF,2010e1,al,000,0016,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71151,61529,9622,,,,,,,,,,,71151,61529,58059,986,793,0,22,0,1669,0,1669,9622
ACSSF,2010e1,al,000,0016,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79549,77390,2159,,,,,,,,,,,79549,77390,59637,15342,298,565,0,0,1548,102,1446,2159
ACSSF,2010e1,al,000,0016,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104462,101049,3413,,,,,,,,,,,104462,101049,82758,16553,611,336,0,83,708,0,708,3413
ACSSF,2010e1,al,000,0016,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101888,98850,3038,101888,98850,3038,1976,241,26,0,70,352,373,101888,98850,69959,25706,345,935,0,13,1892,0,1892,3038
ACSSF,2010e1,al,000,0016,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658555,632920,340003,278138,1407,9032,0,89,4251,228,4023,25635,13298,358,0,355,0,11020,604,165,439,658555,632920,25635,,,,,,,,,,,658555,632920,340003,278138,1407,9032,0,89,4251,228,4023,25635
ACSSF,2010e1,al,000,0016,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92679,90581,2098,,,,,,,,,,,92679,90581,79194,8760,837,733,0,0,1057,11,1046,2098
ACSSF,2010e1,al,000,0016,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140780,136137,4643,140780,136137,4643,2450,644,9,0,896,422,222,140780,136137,98295,32688,102,3657,81,54,1260,0,1260,4643
ACSSF,2010e1,al,000,0016,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83193,78549,4644,,,,,,,,,,,83193,78549,65457,10935,614,956,0,0,587,0,587,4644
ACSSF,2010e1,al,000,0016,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335988,320445,222125,79456,2894,8147,230,263,7330,142,7188,15543,11649,751,46,0,0,2682,415,415,0,335988,320445,15543,335988,320445,15543,9287,2153,119,89,2155,1067,673,335988,320445,222125,79456,2894,8147,230,263,7330,142,7188,15543
ACSSF,2010e1,al,000,0016,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93235,81947,11288,,,,,,,,,,,93235,81947,78258,1391,805,567,0,0,926,0,926,11288
