ACSSF,2010e1,al,000,0158,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326507,20243,19523,720,49151,47369,1782,25784,18229,7555,31028,22711,8317,41322,31850,9472,49433,38913,10520,48475,43970,4505,37220,37220,0,23851,23851,0,8434,1429,1429,0,1758,1397,361,799,510,289,1038,365,673,1919,368,1551,735,260,475,536,478,58,25,25,0,195,195,0,,,,,,,,,,,2302,897,536,361,1380,134,1246,25,25,0,3462,1691,1685,6,1348,676,672,423,423,0,326507,69394,66892,2502,196042,155673,40369,61071,61071,0,8434,3187,2826,361,5027,1981,3046,220,220,0
ACSSF,2010e1,al,000,0158,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12238,2743,2072,671,1523,660,863,1705,833,872,2546,460,2086,2194,324,1870,857,468,389,566,289,277,104,104,0,0,0,0,18694,3981,3693,288,6706,6245,461,1410,1024,386,1286,798,488,981,705,276,1873,974,899,1252,999,253,841,841,0,364,364,0,955484,61284,58600,2684,143203,136769,6434,75816,54027,21789,99838,72944,26894,121637,96225,25412,143664,114629,29035,138395,124622,13773,101410,101304,106,70237,70237,0,53851,9588,8320,1268,12503,8906,3597,7364,2614,4750,10296,2443,7853,7189,1997,5192,4031,2042,1989,1897,1364,533,496,496,0,487,487,0,,,,,,,,,,,12238,4266,2732,1534,7868,2374,5494,104,104,0,18694,10687,9938,749,6802,4500,2302,1205,1205,0,955484,204487,195369,9118,579350,462447,116903,171647,171541,106,53851,22091,17226,4865,30777,10460,20317,983,983,0
ACSSF,2010e1,al,000,0158,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150902,9791,9034,757,22873,20161,2712,10108,6592,3516,16264,11902,4362,19383,15580,3803,22932,17801,5131,21900,19774,2126,16276,16276,0,11375,11375,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150902,32664,29195,3469,90587,71649,18938,27651,27651,0,7999,2843,2095,748,4768,1393,3375,388,388,0
ACSSF,2010e1,al,000,0158,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86691,5276,5134,142,12687,12271,416,8270,6035,2235,10331,7992,2339,10870,8358,2512,12830,10841,1989,12121,11038,1083,8009,8009,0,6297,6297,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86691,17963,17405,558,54422,44264,10158,14306,14306,0,3981,1469,1060,409,2370,727,1643,142,142,0
ACSSF,2010e1,al,000,0158,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74271,5060,4980,80,11542,11492,50,6181,3872,2309,8489,6342,2147,9372,7541,1831,11074,8136,2938,10036,9063,973,7227,7227,0,5290,5290,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74271,16602,16472,130,45152,34954,10198,12517,12517,0,3497,1387,1096,291,2033,625,1408,77,77,0
ACSSF,2010e1,al,000,0158,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57710,3739,3491,248,9184,9095,89,4343,2780,1563,6680,5134,1546,7825,6255,1570,8688,7328,1360,8031,7056,975,5473,5473,0,3747,3747,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57710,12923,12586,337,35567,28553,7014,9220,9220,0,9622,4371,4085,286,5202,1619,3583,49,49,0
ACSSF,2010e1,al,000,0158,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56957,4256,4141,115,9075,8431,644,4310,3410,900,6333,5271,1062,7877,6874,1003,9098,8036,1062,7942,7708,234,4999,4999,0,3067,3067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56957,13331,12572,759,35560,31299,4261,8066,8066,0,,,,,,,,,,
ACSSF,2010e1,al,000,0158,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82133,5266,5266,0,12080,11616,464,6321,4195,2126,9031,6669,2362,10864,8778,2086,12119,10014,2105,11925,9772,2153,8142,8131,11,6385,6385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82133,17346,16882,464,50260,39428,10832,14527,14516,11,,,,,,,,,,
ACSSF,2010e1,al,000,0158,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68353,4515,4499,16,10200,9624,576,5105,3420,1685,7961,5548,2413,8847,7378,1469,10575,9249,1326,9713,8921,792,6575,6575,0,4862,4862,0,3038,475,294,181,589,394,195,393,236,157,609,129,480,469,139,330,215,97,118,35,15,20,211,164,47,42,42,0,,,,,,,,,,,1537,626,306,320,911,305,606,0,0,0,1757,1155,1108,47,546,412,134,56,56,0,68353,14715,14123,592,42201,34516,7685,11437,11437,0,3038,1064,688,376,1721,616,1105,253,206,47
ACSSF,2010e1,al,000,0158,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335632,21223,20710,513,43836,42300,1536,29099,25440,3659,44622,37109,7513,41632,36526,5106,51061,45220,5841,47158,44495,2663,28966,28776,190,28035,28035,0,25601,4246,3478,768,4228,2892,1336,4051,1069,2982,6988,1044,5944,3104,595,2509,2256,968,1288,508,283,225,99,99,0,121,121,0,,,,,,,,,,,11075,3583,1700,1883,7492,1095,6397,0,0,0,4821,1466,1466,0,2918,2007,911,437,437,0,335632,65059,63010,2049,213572,188790,24782,57001,56811,190,25601,8474,6370,2104,16907,3959,12948,220,220,0
ACSSF,2010e1,al,000,0158,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78783,5093,4577,516,10914,10214,700,8013,6576,1437,8525,6888,1637,9755,8603,1152,11583,9393,2190,10849,10204,645,7751,7751,0,6300,6208,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78783,16007,14791,1216,48725,41664,7061,14051,13959,92,,,,,,,,,,
ACSSF,2010e1,al,000,0158,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97606,5867,5550,317,13894,12892,1002,22173,19442,2731,12629,9376,3253,11410,10139,1271,11688,11140,548,9879,8800,1079,5900,5900,0,4166,4166,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97606,19761,18442,1319,67779,58897,8882,10066,10066,0,4568,1414,1350,64,3101,1160,1941,53,44,9
ACSSF,2010e1,al,000,0158,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63550,4705,3971,734,9956,9692,264,4866,3649,1217,7797,6443,1354,8630,6941,1689,10335,8883,1452,8456,7587,869,5492,5492,0,3313,3313,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63550,14661,13663,998,40084,33503,6581,8805,8805,0,4550,1903,1770,133,2587,1064,1523,60,60,0
ACSSF,2010e1,al,000,0158,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219519,14107,13849,258,33572,32223,1349,16918,13658,3260,25519,19728,5791,29168,24418,4750,38914,35297,3617,28151,25995,2156,18649,18594,55,14521,14521,0,15406,2121,1843,278,3167,2369,798,1630,734,896,4081,951,3130,2277,908,1369,1008,747,261,663,663,0,234,234,0,225,225,0,,,,,,,,,,,2945,1397,913,484,1370,793,577,178,178,0,7500,4420,4391,29,2912,2471,441,168,168,0,219519,47679,46072,1607,138670,119096,19574,33170,33115,55,15406,5288,4212,1076,9659,4003,5656,459,459,0
ACSSF,2010e1,al,000,0158,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77204,5162,5019,143,12276,11721,555,6070,4847,1223,8256,5764,2492,9934,7699,2235,11771,10296,1475,10589,9773,816,7666,7666,0,5480,5480,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77204,17438,16740,698,46620,38379,8241,13146,13146,0,11288,4676,3628,1048,6612,1335,5277,0,0,0
ACSSF,2010e1,al,000,0158,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242322,17217,15998,1219,34890,33054,1836,22066,15302,6764,29997,23941,6056,30745,23635,7110,36826,28490,8336,32817,29363,3454,20987,20987,0,16777,16777,0,10033,1160,793,367,1800,1147,653,1339,636,703,1782,664,1118,1555,1176,379,1278,1069,209,559,441,118,483,483,0,77,77,0,,,,,,,,,,,,,,,,,,,,,4718,1961,1905,56,2405,1845,560,352,352,0,242322,52107,49052,3055,152451,120731,31720,37764,37764,0,10033,2960,1940,1020,6513,3986,2527,560,560,0
ACSSF,2010e1,al,000,0158,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84769,5048,5048,0,10089,9849,240,6866,5636,1230,10105,8852,1253,9841,8933,908,13016,11974,1042,13279,12712,567,8666,8666,0,7859,7859,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84769,15137,14897,240,53107,48107,5000,16525,16525,0,8165,2762,2532,230,4999,1624,3375,404,404,0
ACSSF,2010e1,al,000,0158,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91195,5407,4829,578,14212,12970,1242,6664,4720,1944,10093,6692,3401,12116,10288,1828,14727,13081,1646,12816,12054,762,8860,8860,0,6300,6300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2946,1293,1034,259,1566,1078,488,87,87,0,91195,19619,17799,1820,56416,46835,9581,15160,15160,0,9184,3557,3050,507,5451,1604,3847,176,176,0
ACSSF,2010e1,al,000,0158,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71530,4712,4712,0,11910,11035,875,5222,3740,1482,9998,8310,1688,9785,9131,654,10707,9347,1360,8878,8412,466,6405,6405,0,3913,3913,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71530,16622,15747,875,44590,38940,5650,10318,10318,0,,,,,,,,,,
ACSSF,2010e1,al,000,0158,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156634,11164,11055,109,26646,26285,361,11089,9613,1476,19893,16866,3027,23420,22019,1401,24899,22264,2635,20676,19439,1237,11534,11534,0,7313,7313,0,11682,1828,1828,0,2455,1900,555,1654,198,1456,2474,302,2172,1806,453,1353,694,543,151,281,281,0,0,0,0,490,0,490,,,,,,,,,,,6074,2349,1999,350,3235,753,2482,490,0,490,,,,,,,,,,,156634,37810,37340,470,99977,90201,9776,18847,18847,0,11682,4283,3728,555,6909,1777,5132,490,0,490
ACSSF,2010e1,al,000,0158,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51657,3097,3097,0,8008,8000,8,3853,3024,829,5850,3334,2516,6544,5523,1021,7945,6405,1540,7589,6451,1138,5060,5060,0,3711,3711,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51657,11105,11097,8,31781,24737,7044,8771,8771,0,,,,,,,,,,
ACSSF,2010e1,al,000,0158,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125490,7414,6995,419,15188,14695,493,26521,22327,4194,15475,12659,2816,14168,12791,1377,15811,13858,1953,14878,13831,1047,8732,8732,0,7303,7303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125490,22602,21690,912,86853,75466,11387,16035,16035,0,5960,1788,1136,652,3989,1615,2374,183,183,0
ACSSF,2010e1,al,000,0158,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60077,4060,3897,163,8960,8489,471,4713,3099,1614,6705,4314,2391,7866,6063,1803,9076,7277,1799,8703,8100,603,5977,5977,0,4017,4017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60077,13020,12386,634,37063,28853,8210,9994,9994,0,,,,,,,,,,
ACSSF,2010e1,al,000,0158,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40953,1468,1256,212,1681,1681,0,5152,4270,882,7880,6304,1576,5593,4918,675,5877,4201,1676,5337,5008,329,3176,3176,0,4789,4789,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40953,3149,2937,212,29839,24701,5138,7965,7965,0,7515,1620,1290,330,5675,2032,3643,220,220,0
ACSSF,2010e1,al,000,0158,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39781,2530,2514,16,6284,6169,115,3200,2202,998,4221,3256,965,5072,4285,787,6424,5714,710,5473,5160,313,3652,3652,0,2925,2925,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121,466,146,320,655,305,350,0,0,0,,,,,,,,,,,39781,8814,8683,131,24390,20617,3773,6577,6577,0,2017,748,428,320,1095,533,562,174,127,47
ACSSF,2010e1,al,000,0158,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54667,4914,4851,63,9765,9237,528,2423,2379,44,6344,5840,504,7595,7256,339,7648,7588,60,7455,7398,57,4514,4514,0,4009,4009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54667,14679,14088,591,31465,30461,1004,8523,8523,0,8122,2995,2155,840,5127,802,4325,0,0,0
ACSSF,2010e1,al,000,0158,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105221,5275,5237,38,13481,12678,803,8024,6282,1742,12366,9617,2749,13163,10864,2299,18774,16408,2366,14161,12998,1163,10001,9946,55,9976,9976,0,10564,1568,1290,278,1619,962,657,1330,609,721,3241,747,2494,1656,377,1279,469,330,139,431,431,0,90,90,0,160,160,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105221,18756,17915,841,66488,56169,10319,19977,19922,55,10564,3187,2252,935,7127,2494,4633,250,250,0
ACSSF,2010e1,al,000,0158,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84790,4853,4079,774,9039,8422,617,9620,7116,2504,10881,8292,2589,8762,6933,1829,13726,10696,3030,11549,10340,1209,8133,8133,0,8227,8227,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2434,713,657,56,1466,1042,424,255,255,0,84790,13892,12501,1391,54538,43377,11161,16360,16360,0,4992,1756,1053,703,3052,1374,1678,184,184,0
ACSSF,2010e1,al,000,0158,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72715,4184,4184,0,8646,8406,240,5785,4555,1230,8560,7354,1206,8259,7524,735,11637,10800,837,11168,10803,365,7358,7358,0,7118,7118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72715,12830,12590,240,45409,41036,4373,14476,14476,0,7897,2733,2503,230,4867,1492,3375,297,297,0
