ACSSF,2010e1,al,000,0039,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168128,9211,13813,35534,3159,20502,11893,7802,7141,33220,9911,7069,7936,937,141315,6654,10672,28852,2598,18632,10609,7509,5078,29133,7545,6324,7521,188,16921,1487,2232,5153,254,972,428,50,1502,3039,966,459,304,75,192,0,44,0,0,44,0,0,0,104,0,0,0,0,5683,440,687,499,239,785,549,41,303,596,1197,254,15,78,4017,630,178,1030,68,69,307,202,258,348,203,32,96,596
ACSSF,2010e1,al,000,0039,0000012,507888,16926,38578,91487,12205,62930,28040,5859,23610,32043,101025,36682,24436,29092,4975,421833,11340,26523,74487,10773,56834,24432,5184,20990,23962,88140,28640,19961,26982,3585,56189,2618,9287,13549,869,3157,1217,385,1183,4570,9466,5351,2702,1548,287,546,0,44,186,0,44,0,0,0,0,272,0,0,0,0,7169,297,1079,211,0,803,107,70,321,713,1001,1123,1024,15,405,6624,975,366,622,336,888,1226,99,101,245,732,857,14,94,69,15527,1696,1279,2432,227,1204,1058,121,1015,2553,1414,711,735,453,629,507888,16926,38578,91487,12205,62930,28040,29469,32043,101025,36682,24436,29092,4975,421833,11340,26523,74487,10773,56834,24432,26174,23962,88140,28640,19961,26982,3585,56189,2618,9287,13549,869,3157,1217,1568,4570,9466,5351,2702,1548,287,546,0,44,186,0,44,0,0,0,272,0,0,0,0,13793,1272,1445,833,336,1691,1333,591,958,1733,1980,1038,109,474,15527,1696,1279,2432,227,1204,1058,1136,2553,1414,711,735,453,629
ACSSF,2010e1,al,000,0039,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0039,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0039,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0039,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0039,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0039,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0039,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0039,0000020,285329,1761,16874,26974,8736,33199,14574,8237,24592,28703,66631,25861,15564,12791,832,239467,1622,13104,22762,7509,28715,12959,6926,22222,22957,55289,19630,13208,11732,832,30704,139,2817,3271,656,3181,1333,838,1221,3126,8024,4036,1250,812,0,2573,0,0,90,0,361,75,0,62,171,704,891,219,0,0,3418,0,337,0,0,358,47,54,0,491,980,773,265,113,0,1122,0,0,0,0,57,79,0,0,127,560,239,60,0,0,8045,0,616,851,571,527,81,419,1087,1831,1074,292,562,134,0,285329,1761,16874,26974,8736,33199,14574,32829,28703,66631,25861,15564,12791,832,239467,1622,13104,22762,7509,28715,12959,29148,22957,55289,19630,13208,11732,832,30704,139,2817,3271,656,3181,1333,2059,3126,8024,4036,1250,812,0,2573,0,0,90,0,361,75,62,171,704,891,219,0,0,4540,0,337,0,0,415,126,54,618,1540,1012,325,113,0,8045,0,616,851,571,527,81,1506,1831,1074,292,562,134,0
