ACSSF,2010m1,al,000,0068,0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9385,4488,2519,2301,1126,1385,1465,1913,3731,1814,1833,559,586,1537,789,2956,2809,1047,1679,2019,1230,9780,9466,6699,3035,3341,5684,6814,5478,3860,2586,803,683,2173,2706,3980,3129,1374,952,2621,3236,2421,1570,1126,1096,509,493,848,238,1237,637,643,419,454,56,95,1064,1069,350,838,520,218,2091,1983,1846,968,1096,1277,852,1301,975,765,593,362,441,807,951,832,343,194,695,406,74103493,37539067,69066336,28643805,58144254,13886,6757,3459,2221,2701,1776,721,6103,2581,1239,2079,920,417,4952,2164,4736,2758,949,12901,12086,8638,7572,3499,788,7336,4463,3579,2824,768,86,6410,3762,5386,1696,321,1393,647,448,435,565,186,183,543,543,1372,1000,959,953,671,577,594,520,1358,615,318,312,503,181,181,479,395,1220,1059,669,788,318,158,726,558,9385,4488,2519,2301,3731,1814,1833,2956,2809,9780,9466,6699,5478,3860,2586,3980,3129,2421,1570,1126,1096,1237,637,643,1064,1069,2091,1983,1846,1301,975,765,951,832,13886,6757,3508,5453,3161,1405,12901,9935,8612,3795,879
ACSSF,2010m1,al,000,0068,0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6667,2938,1795,1584,828,756,910,1157,2303,1159,975,339,200,861,655,2030,2016,682,959,1659,823,6823,6732,4670,2473,1901,3952,5576,3502,2152,1656,553,489,1408,1407,3062,2294,854,492,1976,2203,2242,1235,953,931,501,410,658,96,1007,561,569,382,407,56,95,832,821,233,707,311,218,1892,1709,1502,793,944,961,736,1088,777,637,271,358,433,659,777,662,305,194,601,302,50110835,29156480,47423943,18183434,42756008,9733,4772,2558,1374,2046,1314,623,4358,1879,959,1270,625,417,3855,1763,3561,2206,857,9197,8275,7205,5153,2520,573,5075,2895,2090,2032,552,86,4704,2955,4067,1306,34,1237,591,430,416,484,186,183,462,462,1243,906,862,916,648,561,594,520,846,440,187,191,362,56,56,362,323,733,676,438,327,171,40,253,216,6667,2938,1795,1584,2303,1159,975,2030,2016,6823,6732,4670,3502,2152,1656,3062,2294,2242,1235,953,931,1007,561,569,832,821,1892,1709,1502,1088,777,637,777,662,9733,4772,2402,3756,2540,1335,9197,8183,6038,2989,602
ACSSF,2010m1,al,000,0068,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7177,3482,2246,1881,715,1101,1385,1485,2942,1370,1352,421,597,1079,457,2329,2069,800,1121,1592,972,6468,6483,4572,2462,2704,3905,5029,4164,2995,1988,714,543,1596,2125,3240,2706,1071,926,2040,2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53468162,25698471,44669827,16425485,38931386,8910,4802,2694,1668,1789,1304,313,3774,1563,789,1434,498,273,3145,1263,2721,1391,467,7659,7714,5734,5445,2280,530,5462,3379,2446,1985,706,273,4510,2433,3271,1091,319,,,,,,,,,,,,,,,,,,1200,447,233,215,365,172,172,362,283,1091,862,540,689,283,156,664,512,7177,3482,2246,1881,2942,1370,1352,2329,2069,6468,6483,4572,4164,2995,1988,3240,2706,1866,1066,600,587,766,186,186,753,753,1516,1105,1013,861,718,540,447,371,8910,4802,2473,3741,1912,568,7659,6157,5733,2421,621
ACSSF,2010m1,al,000,0068,0000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8435,4157,1968,2089,797,1188,1325,1722,3613,1784,1740,520,550,1499,770,2843,2582,968,1449,1970,1229,8763,8601,6383,2963,3261,5249,6510,4919,3316,2296,802,700,1999,2361,3718,2827,1269,898,2447,3036,2466,1572,1105,1077,509,493,827,238,1181,529,526,234,443,56,95,1051,1051,342,819,541,273,2001,1940,1843,968,1049,1283,809,1266,907,765,593,362,441,686,952,832,343,194,695,393,65779970,34760855,61799228,27197757,51657443,12705,6021,2926,1847,2499,1654,705,5557,2429,1155,1929,808,417,4550,2018,4300,2490,878,12126,11443,8201,6915,3545,766,6824,4007,3402,2523,721,86,6069,3676,4934,1577,321,1370,613,448,435,541,175,152,520,520,1360,989,959,958,678,577,594,520,1342,600,318,312,485,181,181,463,393,1179,1044,656,738,287,40,689,558,8435,4157,1968,2089,3613,1784,1740,2843,2582,8763,8601,6383,4919,3316,2296,3718,2827,2466,1572,1105,1077,1181,529,526,1051,1051,2001,1940,1843,1266,907,765,952,832,12705,6021,3076,4965,2912,1333,12126,9603,7801,3795,857
ACSSF,2010m1,al,000,0068,0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7972,3660,2050,1819,680,1040,1028,1498,3128,1767,1719,522,551,1382,621,2542,2378,780,1232,1842,1087,8399,7911,5989,2480,2669,4914,6352,4661,3009,2129,677,615,1752,1803,3126,2302,1102,817,1889,2504,2043,1290,975,953,479,353,673,234,901,248,248,152,171,56,273,866,866,342,663,425,273,1584,1545,1432,710,823,1080,749,1054,762,644,375,358,437,647,741,663,319,171,584,353,58088106,30610863,53836562,25492462,42541910,11215,5239,2823,1644,2190,1419,614,4873,2214,1028,1816,755,172,3826,1935,3669,2043,737,10914,10067,7797,6653,3131,711,6442,3823,2864,2494,624,86,5318,3128,4243,1494,321,1261,568,429,425,490,152,152,470,470,1227,945,931,884,656,562,520,520,1097,532,263,247,466,73,73,455,379,995,899,582,458,191,17,404,204,7972,3660,2050,1819,3128,1767,1719,2542,2378,8399,7911,5989,4661,3009,2129,3126,2302,2043,1290,975,953,901,248,248,866,866,1584,1545,1432,1054,762,644,741,663,11215,5239,2884,4324,2305,1063,10914,8889,7381,3494,809
ACSSF,2010m1,al,000,0068,0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3730,1632,1013,778,404,423,404,763,1332,859,833,327,84,761,302,1137,1017,273,621,772,433,3985,3931,2861,1315,1126,2251,3327,1971,1254,1009,408,337,734,766,1892,1343,652,267,1197,1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37593891,16760301,34185297,13087248,29989677,5722,3631,1613,992,1099,808,355,3271,1147,554,958,361,172,2824,1368,2551,1486,724,6152,5275,4283,3476,1751,508,4115,2112,1514,1531,377,273,3654,2291,2771,908,24,1012,458,358,358,321,152,152,282,282,881,797,744,573,464,422,321,321,,,,,,,,,,,,,,,,,,3730,1632,1013,778,1332,859,833,1137,1017,3985,3931,2861,1971,1254,1009,1892,1343,1551,776,575,575,599,224,224,548,548,1270,1221,1055,745,612,444,547,477,5722,3631,1903,2954,1630,897,6152,5256,4538,1924,508
ACSSF,2010m1,al,000,0068,0000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7241,3253,1801,1566,555,958,983,1234,2664,1309,1268,402,548,933,484,2241,2035,756,1043,1552,933,7249,7062,4736,2116,2406,4244,5414,4014,2477,1646,541,507,1453,1626,2889,2090,1044,770,1722,2188,1415,1074,758,736,256,272,580,234,675,87,87,273,87,273,273,668,668,284,480,372,273,1049,988,955,568,617,684,459,823,675,537,375,348,115,417,504,434,132,273,416,234,49212941,25210705,39777162,16326424,33648469,8156,4361,2399,1424,1971,1211,520,3657,1545,773,1260,531,273,3084,1251,2657,1334,244,7739,8144,6157,5152,2494,436,5015,2919,2200,1792,493,86,3860,2345,2713,1159,321,936,441,245,237,385,273,273,385,385,877,623,557,627,507,366,378,378,988,430,263,247,343,43,43,345,273,859,790,519,417,191,17,350,165,7241,3253,1801,1566,2664,1309,1268,2241,2035,7249,7062,4736,4014,2477,1646,2889,2090,1415,1074,758,736,675,87,87,668,668,1049,988,955,823,675,537,504,434,8156,4361,2013,3406,1787,547,7739,6566,5449,2677,554
ACSSF,2010m1,al,000,0068,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4115,2320,1275,1194,426,561,925,781,1943,733,644,377,60,553,422,1786,1547,649,655,1245,613,3796,3938,2799,1444,1376,2455,3323,2617,1719,1177,449,361,1059,1380,2005,1540,643,462,1300,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35270807,14823022,31834315,10132178,29295355,5329,3193,1523,843,1288,649,310,2773,1164,528,940,306,371,2496,746,2106,1178,497,4682,4869,3714,3271,1794,189,3289,2043,1553,1219,535,273,2598,1480,2145,669,273,,,,,,,,,,,,,,,,,,707,298,159,163,283,165,165,185,185,644,369,221,554,216,36,524,495,4115,2320,1275,1194,1943,733,644,1786,1547,3796,3938,2799,2617,1719,1177,2005,1540,1173,987,629,632,771,420,413,659,659,1090,910,795,582,431,373,414,391,5329,3193,1171,2715,1447,704,4682,3923,3557,1962,189
ACSSF,2010m1,al,000,0068,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3294,1393,727,545,95,270,470,468,1060,424,288,273,273,288,278,925,848,384,333,682,304,3155,3051,1599,789,681,1361,2508,1277,818,677,331,167,558,560,1107,821,335,170,719,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19708096,8028723,19241035,7030237,17412464,3773,1835,961,496,767,392,82,1634,685,412,329,128,371,1498,377,1275,684,214,3396,3327,2656,1709,869,65,1650,921,716,763,162,273,1459,796,1348,406,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3294,1393,727,545,1060,424,288,925,848,3155,3051,1599,1277,818,677,1107,821,935,776,605,605,584,377,371,447,447,824,632,583,422,122,273,400,391,3773,1835,690,1455,821,433,3396,2688,2107,996,65
ACSSF,2010m1,al,000,0068,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3746,1977,1146,1079,420,519,753,631,1646,642,613,377,60,525,248,1587,1336,493,549,1145,595,3352,3463,2495,1237,1265,2167,3083,2143,1560,964,358,308,889,1349,1625,1261,539,413,1060,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28394497,12816897,25829819,7981250,23472320,4481,2633,1301,678,1041,507,301,2261,891,255,867,265,273,2053,724,1806,781,449,4092,4062,3285,2801,1626,174,2705,1813,1447,1000,519,273,2182,1278,1702,482,273,,,,,,,,,,,,,,,,,,626,261,27,273,262,165,165,153,153,605,365,190,531,152,36,515,485,3746,1977,1146,1079,1646,642,613,1587,1336,3352,3463,2495,2143,1560,964,1625,1261,1034,664,336,332,544,165,165,506,506,876,700,554,448,437,373,118,273,4481,2633,994,2398,1003,539,4092,3478,2934,1832,174
