ACSSF,2010m1,al,000,0022,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4487,8149,7759,4527,6879,2276,6354,4487,5421,247,1034,273,178,1402,3716,487,1323,275,2737,301,367,4094,1112,273,230,1103,129,438,1214,1885,273,1192,474,273,35,455,142,7780,6879,4487,8149,7759,4527,6879
ACSSF,2010m1,al,000,0022,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3290,12896,13061,9118,12918,4146,12092,3290,11391,831,1390,772,430,2862,8648,2039,3152,876,6614,656,543,8549,3006,421,1315,1675,629,868,3227,3140,203,2208,1103,619,264,856,500,8730,12918,3290,12896,13061,9118,12918
ACSSF,2010m1,al,000,0022,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5355,5484,4018,5355,1850,5407,0,5023,321,754,668,322,1949,4216,1154,2012,311,2687,279,215,3031,2639,98,690,955,196,273,1554,1747,224,722,673,548,107,364,57,4680,5355,0,5355,5484,4018,5355
ACSSF,2010m1,al,000,0022,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3905,4327,2821,3905,631,3951,0,2547,63,567,273,273,1078,2102,852,745,342,1799,163,1036,2542,1890,273,254,395,273,39,549,737,273,593,874,78,535,80,186,3468,3905,0,3905,4327,2821,3905
ACSSF,2010m1,al,000,0022,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2998,3496,3632,2998,506,2928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2998,3496,3632,2998
ACSSF,2010m1,al,000,0022,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3199,3634,3143,3199,744,3151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3199,3634,3143,3199
ACSSF,2010m1,al,000,0022,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2249,2766,2742,2249,568,2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2249,2766,2742,2249
ACSSF,2010m1,al,000,0022,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4168,4137,2505,4168,329,4198,0,2698,273,170,26,151,726,2624,307,392,273,2061,142,126,2462,438,62,344,202,96,92,976,1793,273,212,806,288,273,459,273,2378,4168,0,4168,4137,2505,4168
ACSSF,2010m1,al,000,0022,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1386,1806,1563,1386,654,1246,0,1952,139,189,89,57,376,1125,351,593,63,1259,116,112,1479,611,273,129,216,25,224,549,469,273,139,118,121,273,129,233,2679,1386,0,1386,1806,1563,1386
ACSSF,2010m1,al,000,0022,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8348,8340,6280,8348,2234,7893,0,4041,973,829,486,302,1238,4844,1427,2615,442,4502,1047,366,4939,2419,144,658,1165,273,863,2813,2749,463,2431,1090,438,553,1244,1039,7145,8348,0,8348,8340,6280,8348
ACSSF,2010m1,al,000,0022,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3298,3586,2128,3298,510,3159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3298,3586,2128,3298
ACSSF,2010m1,al,000,0022,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4188,4497,3354,4188,903,4088,0,2765,143,388,95,24,472,3446,596,1037,305,2003,429,92,2849,729,61,470,1520,97,306,744,1989,25,1594,320,61,135,308,34,3805,4188,0,4188,4497,3354,4188
