ACSSF,2010e1,al,000,0018,0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4785298,0,1186,4063,1276,1557,20087,89351,5479,31507,2328,106018,1608,2211,152696,21137,498,5452,9503,2304,2863,11480,26803,1087,2558,5811,1627,1130,7932,1871,210937,4052938
ACSSF,2010e1,al,000,0018,0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2507522,0,372,2383,818,853,9990,49118,3904,19487,1253,53081,1032,1737,74500,12400,256,3496,5653,995,1313,6347,13980,649,950,3132,766,356,4842,1019,104020,2128820
ACSSF,2010e1,al,000,0018,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2277776,0,814,1680,458,704,10097,40233,1575,12020,1075,52937,576,474,78196,8737,242,1956,3850,1309,1550,5133,12823,438,1608,2679,861,774,3090,852,106917,1924118
ACSSF,2010e1,al,000,0018,0000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300537,0,1186,3418,1276,1463,17205,83858,5307,30500,2328,98777,1608,2162,138907,19979,498,5406,9221,2229,2678,10925,25364,1087,2365,5513,1627,1110,7576,1830,192928,3622206
ACSSF,2010e1,al,000,0018,0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3421459,0,743,2668,588,1255,13652,67739,4369,24242,1692,77380,1466,1894,103728,16172,498,3937,6195,1781,2159,9000,21145,986,1492,4649,952,974,6497,1643,148575,2893388
ACSSF,2010e1,al,000,0018,0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297427,0,278,1270,235,328,3926,23595,1284,10278,267,23917,401,1264,29900,5977,176,1300,2413,641,482,2692,6827,583,877,2250,153,388,2731,897,52224,1119873
ACSSF,2010e1,al,000,0018,0000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124032,0,465,1398,353,927,9726,44144,3085,13964,1425,53463,1065,630,73828,10195,322,2637,3782,1140,1677,6308,14318,403,615,2399,799,586,3766,746,96351,1773515
ACSSF,2010e1,al,000,0018,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879078,0,443,750,688,208,3553,16119,938,6258,636,21397,142,268,35179,3807,0,1469,3026,448,519,1925,4219,101,873,864,675,136,1079,187,44353,728818
ACSSF,2010e1,al,000,0018,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0018,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590565,0,443,678,419,141,2291,11563,283,4605,276,15115,142,142,23965,3017,0,1156,2140,123,468,1492,2596,101,833,371,208,80,786,187,28116,488828
ACSSF,2010e1,al,000,0018,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0018,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363839,0,443,1395,688,302,6435,21612,1110,7265,636,28638,142,317,48968,4965,0,1515,3308,523,704,2480,5658,101,1066,1162,675,156,1435,228,62362,1159550
ACSSF,2010e1,al,000,0018,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183195,0,190,498,430,208,1250,6002,243,2502,96,5789,0,257,9184,954,0,343,994,69,0,490,2407,80,0,290,356,0,277,33,8314,141939
ACSSF,2010e1,al,000,0018,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0018,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
