ACSSF,2010m1,al,000,0058,0000011,4002,1423,324,256,63,335,984,363,801,1296,1037,1882,1828,2730,1724,1445,4606,2094,2196,3148,2521,2376,1523,459,669,2764,399,537,408,538,412,750,185,1089,1491,1418,281,433,407,371,720,2764,1617,843,342,101,574,287,363,1455,999,533,575,551,646,605,332,296,327,359,246,1806,1058,292,535,414,535,467,1588,621,554,1102,879,413,547,133,184,191,477,260,2928,418,573,436,542,562,750,185,1130,1497,1479,312,460,410,388,764,4002,1423,1250,1527,2002,1828,2730,1724,1445,4606,2094,2196,3148,2521,2376,1523,459,669,2764,1338,1089,1491,1418,950,2479,1243,851,1285,1326,830,1279,385,391,720,639,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484,1243,851,1300,1326,842,,,,,,
ACSSF,2010m1,al,000,0058,0000012,4096,2116,383,320,262,816,1284,1083,1121,2481,1604,2490,2901,3870,2887,2006,6759,3731,3478,5352,3659,4508,2984,1264,1190,5461,814,1163,794,966,1003,1631,371,2068,2753,2870,645,1033,850,834,1707,5461,3255,1833,985,297,1016,536,987,2746,1686,772,1623,814,1367,1313,852,495,689,586,726,3423,2191,1012,1041,874,1263,1085,2876,1019,982,1560,1822,1054,1231,511,516,474,791,600,6158,844,1108,881,1068,1049,1623,385,2101,2788,2919,754,1158,854,885,1823,4096,2116,2041,2718,3105,2901,3870,2887,2006,6759,3731,3478,5352,3659,4508,2984,1264,1190,5461,2647,2068,2753,2870,2648,4685,2628,1901,2510,2667,2359,2171,766,498,1193,859,855,,,,,,,,,,,,,,,,,,,,,,,,,815,309,368,276,531,63,4618,2566,1916,2486,2667,2319,707,562,171,238,91,368
ACSSF,2010m1,al,000,0058,0000013,751,627,273,273,273,273,428,769,136,917,729,758,862,819,916,539,2749,1423,1297,2437,1836,2461,1445,490,358,2887,322,737,248,358,452,997,161,1118,1495,1158,234,465,433,586,905,2887,1957,904,519,168,540,70,593,1298,873,230,1007,303,665,965,618,166,531,404,397,1779,1126,314,711,501,630,483,1279,492,587,620,839,698,673,183,369,200,456,385,3286,341,721,319,613,508,997,161,1100,1560,1145,303,463,437,638,919,751,627,909,947,1226,862,819,916,539,2749,1423,1297,2437,1836,2461,1445,490,358,2887,1535,1118,1495,1158,1278,2844,1531,1119,1501,1095,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2821,1520,1119,1508,1095,1273,,,,,,
ACSSF,2010m1,al,000,0058,0000014,521,794,273,273,193,273,119,273,769,610,623,1217,578,940,891,397,2071,1211,1088,1587,1324,1453,774,347,268,1731,270,296,175,473,384,391,273,614,612,909,338,394,86,119,493,1731,960,581,362,273,248,346,122,673,420,249,362,165,351,505,294,98,319,208,178,1276,867,271,225,211,514,335,793,459,417,235,291,313,525,81,82,273,356,367,1905,276,310,175,478,417,391,273,662,612,909,375,401,133,131,594,521,794,218,991,1275,578,940,891,397,2071,1211,1088,1587,1324,1453,774,347,268,1731,784,614,612,909,686,1550,642,446,578,819,609,706,265,333,125,378,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519,615,446,578,819,609,,,,,,
ACSSF,2010m1,al,000,0058,0000015,444,426,273,273,218,84,127,74,60,548,314,742,705,921,520,568,1862,729,900,1709,1140,1230,699,416,241,,,,,,,,,,,,,,,,,1448,802,490,78,273,460,155,136,570,374,214,253,314,158,262,141,111,225,34,113,952,528,273,317,340,319,192,693,158,279,450,485,150,299,273,273,259,155,139,,,,,,,,,,,,,,,,,444,426,251,559,790,705,921,520,568,1862,729,900,1709,1140,1230,699,416,241,1448,435,540,1003,788,392,1429,430,540,1003,761,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429,430,540,1003,761,322,,,,,,
ACSSF,2010m1,al,000,0058,0000016,745,454,30,273,49,41,75,258,341,661,503,668,861,639,1002,464,1497,591,682,1323,800,831,694,144,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,454,284,688,863,861,639,1002,464,1497,591,682,1323,800,831,694,144,157,1139,712,301,325,796,454,1022,712,301,324,647,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,712,301,312,647,441,,,,,,
ACSSF,2010m1,al,000,0058,0000017,813,122,273,273,273,273,245,114,273,176,189,512,583,527,928,436,1460,1131,969,1590,1137,1334,881,482,319,1710,422,379,79,127,354,468,273,672,762,736,193,228,414,122,295,1710,1078,623,483,205,356,273,132,847,500,185,453,200,361,332,311,119,186,168,65,1065,644,200,119,449,455,193,883,164,374,336,508,385,435,165,240,273,320,116,1845,421,382,121,202,354,468,273,682,762,757,203,435,414,122,314,813,122,265,176,572,583,527,928,436,1460,1131,969,1590,1137,1334,881,482,319,1710,873,672,762,736,661,1491,823,673,755,699,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448,754,673,755,699,605,,,,,,
ACSSF,2010m1,al,000,0058,0000018,754,353,273,273,424,64,273,273,315,288,293,1132,531,1170,1155,625,2113,1238,1149,2063,1179,1289,761,395,54,1468,268,240,150,201,360,223,273,475,487,643,200,543,296,184,508,1468,986,707,33,91,330,279,424,625,292,320,165,92,480,341,260,273,170,84,122,946,464,120,139,105,322,296,717,305,278,326,380,363,424,282,146,81,253,187,1693,289,240,182,209,435,233,273,470,526,646,377,564,296,184,508,754,353,431,430,1200,531,1170,1155,625,2113,1238,1149,2063,1179,1289,761,395,54,1468,563,475,487,643,810,1397,528,456,393,640,759,632,185,189,284,94,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397,528,456,393,640,759,,,,,,
ACSSF,2010m1,al,000,0058,0000019,309,180,38,273,28,273,174,117,211,291,247,252,385,611,497,254,1387,763,610,894,808,691,545,185,222,965,125,326,225,247,144,179,34,318,652,370,174,283,148,170,227,965,657,392,188,179,309,56,131,496,356,81,362,58,308,191,90,34,99,61,137,619,450,242,131,233,170,189,488,253,233,164,299,172,213,36,44,131,146,127,1055,145,375,228,252,164,179,34,324,664,411,181,296,179,170,232,309,180,214,351,332,385,611,497,254,1387,763,610,894,808,691,545,185,222,965,591,318,652,370,517,915,599,310,597,375,451,327,148,106,209,76,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,593,310,596,375,448,,,,,,
ACSSF,2010m1,al,000,0058,0000020,492,1073,273,26,292,273,416,248,196,1252,910,1455,1427,1912,1950,1778,4359,1784,2207,4901,3228,4520,3018,1393,1198,5201,1034,1415,1200,1043,1364,1361,236,1628,2944,2094,1054,1457,1209,865,1232,5201,2860,2046,1336,899,1321,518,921,2244,1523,600,1403,740,1140,1141,793,311,760,562,566,3553,2457,1392,806,1458,1108,1388,2135,1148,1089,1055,1289,1111,1386,459,711,446,739,659,6210,1100,1488,1274,1044,1482,1481,234,1689,3058,2144,1050,1561,1326,981,1243,492,1073,449,1250,1607,1427,1912,1950,1778,4359,1784,2207,4901,3228,4520,3018,1393,1198,5201,2919,1628,2944,2094,2449,4189,2213,1385,2473,1639,2340,2704,1319,860,1419,1190,1085,,,,,,,671,620,423,650,315,275,,,,,,,,,,,,,,,,,,,4177,2199,1424,2462,1669,2349,,,,,,
