ACSSF,2010m1,al,000,0122,0000012,9376,2414,2726,5048,1909,4310,3156,1250,2672,2877,4868,3666,2870,3258,5596,1001,1127,1784,485,1073,1123,801,1680,1712,3811,1248,1122,1409,4586,381,135,703,331,829,311,96,605,1653,2584,3193,1778,2030,6315,567,781,1461,1400,3763,1078,791,2181,1400,1948,1372,895,1366,3769,1930,2705,1443,474,864,992,428,601,538,693,270,1096,515,6024,912,947,4270,948,1590,2034,128,247,1594,972,235,697,771
ACSSF,2010m1,al,000,0122,0000013,3321,855,1475,1416,730,1649,960,522,1442,1881,2223,1756,1225,1584,2768,475,587,833,243,465,546,450,837,900,2019,746,334,527,2888,273,125,231,212,230,273,34,479,938,1229,1513,994,1385,2479,255,231,480,529,1428,344,206,961,987,597,638,191,340,1590,713,1360,348,171,503,255,76,403,258,250,134,506,222,1747,273,129,981,143,622,719,273,273,979,207,168,352,484
ACSSF,2010m1,al,000,0122,0000014,2574,381,529,1595,409,1436,671,559,691,1072,1474,1186,919,1022,1635,375,308,538,128,442,164,400,454,477,1094,528,442,437,1324,273,273,267,273,101,129,90,273,430,413,860,569,376,2020,273,67,349,250,1287,341,359,497,420,743,479,223,399,1000,273,419,572,120,158,288,86,119,459,116,273,399,530,1894,119,179,1409,241,286,510,273,210,540,140,273,360,381
ACSSF,2010m1,al,000,0122,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0122,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0122,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0122,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0122,0000019,1528,320,694,639,491,779,502,261,495,576,994,720,581,492,980,191,205,240,121,169,173,143,266,375,731,228,345,246,994,42,99,32,273,150,119,27,23,304,456,685,303,389,1170,24,106,250,433,747,229,97,307,258,442,322,149,214,671,237,593,192,97,187,293,149,140,158,38,142,216,102,872,163,117,499,242,156,337,101,273,182,139,105,173,138
ACSSF,2010m1,al,000,0122,0000020,5724,623,2445,2406,1489,3223,2100,1453,2716,2929,4254,2919,2051,2074,4585,249,1200,1423,657,1140,914,965,1719,2350,3302,1197,878,1095,3940,94,27,369,224,420,241,205,267,1358,2227,2234,1363,1126,4569,194,438,1137,1111,2743,846,1052,2038,1241,1509,1590,936,817,2655,488,2045,674,292,594,515,528,410,145,425,267,975,384,3355,210,389,1912,745,874,1538,143,108,814,688,336,513,319
ACSSF,2010m1,al,000,0122,0000021,1871,654,1075,1072,734,1409,839,350,613,800,1315,988,1197,398,1566,569,613,385,338,487,391,186,421,489,1138,205,332,262,1430,273,87,394,116,110,319,273,273,579,603,899,708,180,1695,273,260,648,633,1284,102,248,451,262,489,232,682,218,1015,311,773,226,273,224,216,273,37,273,190,286,192,273,1165,273,352,721,118,229,563,106,273,253,310,112,235,273
ACSSF,2010m1,al,000,0122,0000022,2474,430,905,1522,392,1453,860,487,1059,1139,1759,1535,1181,1081,2198,198,204,428,121,315,373,405,890,786,1539,449,312,489,2041,96,273,316,273,295,138,273,172,460,982,1201,609,625,1698,273,268,256,266,1070,229,261,585,577,605,540,534,694,1278,242,858,567,241,302,19,168,60,232,228,24,734,273,1767,281,178,1271,49,571,589,273,273,183,319,329,172,18
ACSSF,2010m1,al,000,0122,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0122,0000024,4009,460,1752,1850,1186,2056,1208,1294,1473,2955,2467,2227,1573,1539,3660,411,681,1468,178,531,294,759,776,2423,2311,850,766,1271,2425,101,153,324,273,148,76,273,282,1104,1291,1478,950,749,3235,273,497,777,639,1841,519,1014,1271,1020,899,901,462,482,1982,124,1826,406,273,298,310,397,34,147,388,273,639,357,2313,90,308,1236,961,574,1033,115,165,473,315,540,494,508
ACSSF,2010m1,al,000,0122,0000025,2160,393,1015,1912,866,1291,529,587,584,836,1558,708,615,1186,1831,112,91,645,91,213,177,101,405,502,1261,116,258,549,1201,273,273,241,273,185,273,273,228,534,550,589,333,907,1450,273,107,188,608,1200,338,397,368,297,408,207,174,295,1061,344,1012,372,178,110,273,266,273,79,87,83,384,225,1981,147,151,1720,495,504,398,112,127,175,184,273,152,240
ACSSF,2010m1,al,000,0122,0000026,4788,788,1809,2516,1357,2797,1756,861,1572,2193,2806,2551,1578,1234,3891,251,698,1095,283,976,375,752,759,1591,2448,718,635,683,2746,220,273,239,273,618,169,350,422,977,1399,2084,786,835,3442,159,685,690,982,2282,818,313,1152,1190,970,954,928,483,2108,491,1357,755,494,545,458,304,302,343,350,302,581,199,3102,423,717,2133,816,989,1246,81,244,732,415,334,540,193
