ACSSF,2010m1,al,000,0020,0000001,23388,153,105,273,20517,2281,142,82,268,1763,260,748,179,639,364,293,273,120,836,121,213,651,1729,234,838,861,132,268,332,273,499,521,482,2930,408,10912,110,3315,661,3188,913,6474,273,1492,83,623,244,807,9780,527,4254,156,507,173,273,273,80,465,1155,176,2264,525,588,1422,886,4189,3772,503,286,262,212,273,4149,273,761,273,583,273,754,273,273,273,186,1542,273,307,4107,325,1096,1029,1938,469,1281,2272,167,282,273,165,179,273,408,1550,225,584,1269,273,301,20597,23388,20517,2281,1729,499,482,2930,10912,3315,3188,913,6474,1492,623,9780,4254,507,1155,2264,525,1422,4189,3772,262,4149,1096,1029,469,1281,2272,21085
ACSSF,2010m1,al,000,0020,0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21091,13751,1793,1311,422,381,1243,7820,2491,1934,539,4274,1369,589,6930,2858,488,728,1643,163,973,3227,2633,249,4303,1119,471,391,1143,2251,15554
ACSSF,2010m1,al,000,0020,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21910,16002,1429,1135,290,290,2866,6620,2195,2343,666,4903,563,185,6646,3421,148,855,1587,505,865,2585,3239,75,2147,675,994,273,584,237,19374
ACSSF,2010m1,al,000,0020,0000004,22494,153,105,273,19353,2317,142,82,268,1763,260,748,179,599,364,293,273,120,778,121,212,651,1585,234,838,837,273,268,332,273,499,521,473,2737,408,10814,110,3196,661,3032,892,6073,273,1458,83,614,244,807,9629,527,4209,156,507,173,273,273,26,465,1113,176,2200,525,588,1422,841,4083,3516,503,286,262,205,273,4209,273,761,273,583,273,754,273,273,273,186,1542,273,307,4140,325,1100,1029,1935,469,1345,2271,167,282,273,165,179,273,389,1533,225,584,1269,273,301,19823,22494,19353,2317,1585,499,473,2737,10814,3196,3032,892,6073,1458,614,9629,4209,507,1113,2200,525,1422,4083,3516,262,4209,1100,1029,469,1345,2271,20394
ACSSF,2010m1,al,000,0020,0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19372,16303,2242,1431,161,419,2475,9338,3137,2950,914,5176,1323,474,7819,3887,481,806,2141,497,1308,3678,3033,121,3665,1105,968,430,1114,2250,16759
ACSSF,2010m1,al,000,0020,0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10882,7444,1817,834,91,241,855,5265,1652,1228,436,3533,1369,211,3505,1711,434,438,837,163,568,2030,1915,121,3346,952,193,342,550,1689,11528
ACSSF,2010m1,al,000,0020,0000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15634,13241,1274,1127,133,332,2403,7318,2800,2507,825,4689,602,423,6628,3421,140,574,1972,470,1073,3170,2692,273,1653,629,1009,235,1020,1487,14494
ACSSF,2010m1,al,000,0020,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11985,10252,567,671,472,251,1133,4648,1453,1165,228,3057,599,378,3976,1820,189,748,751,241,501,2348,1824,228,1800,554,412,212,531,240,8626
ACSSF,2010m1,al,000,0020,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9351,5967,566,390,165,129,464,1952,1088,700,109,2107,584,366,2704,697,273,148,352,273,49,1090,776,213,1754,269,409,212,225,174,7332
ACSSF,2010m1,al,000,0020,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11401,7643,30,543,457,215,1080,4194,1054,952,196,2313,107,92,3195,1775,189,749,675,241,478,1989,1683,75,1279,483,72,28,451,191,9020
ACSSF,2010m1,al,000,0020,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7759,5421,247,641,273,81,828,2701,444,705,141,1545,199,77,3022,731,273,220,355,273,273,873,1174,273,1112,349,273,273,261,110,7067
ACSSF,2010m1,al,000,0020,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13061,11391,613,854,472,269,1447,5316,1603,1326,243,3427,618,391,4786,1915,189,795,779,241,501,2468,2113,228,2050,747,412,212,510,271,10190
ACSSF,2010m1,al,000,0020,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5484,5023,273,280,408,167,1138,2364,1074,591,171,1279,211,273,1413,1776,98,548,291,160,273,1233,837,228,722,445,409,107,192,273,4533
ACSSF,2010m1,al,000,0020,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0020,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0020,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0020,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0020,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0020,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806,1952,34,172,273,273,53,751,285,146,53,694,85,112,950,225,273,80,67,25,223,445,201,273,94,46,273,273,103,79,2554
ACSSF,2010m1,al,000,0020,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8340,4041,895,716,120,203,604,3833,1090,874,168,2452,549,378,2708,1572,273,353,655,273,783,1887,1600,97,2374,428,382,323,552,1034,7087
ACSSF,2010m1,al,000,0020,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0020,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4497,2765,49,250,55,24,154,2227,497,411,214,1018,272,273,1326,528,273,120,1466,96,139,614,643,273,1524,143,273,33,209,273,3573
ACSSF,2010m1,al,000,0020,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
