ACSSF,2010m1,al,000,0072,0000001,13886,7108,4341,3739,1792,2228,2874,2775,6351,2704,2489,1119,1074,1827,1643,5415,5367,2450,2457,4069,2613,3316,2286,1792,789,1229,1360,1675,2733,1173,987,519,468,746,657,2361,2029,704,553,1785,1135,4725,3662,2299,744,1406,1709,2904,2558,1595,1485,667,452,1287,936,2386,2040,743,834,1621,1527,12369,11172,7704,3546,3184,6442,8303,6432,3793,2389,918,732,2029,2897,4878,3903,1480,1191,3293,3284,13886,6757,3459,2303,2675,1529,621,6103,2581,1353,1976,816,406,4952,2583,4580,2625,778,12901,12086,8787,6971,3365,781,7336,4463,3748,2451,715,86,6410,4222,4774,1489,306,13886,7108,4341,6351,2704,5415,3316,2286,2733,1173,2361,4725,3662,2558,1595,2386,12369,11172,6432,3793,4878,13886,6757,3459,2303,3048,6103,2581,1353,2215,4952,2583,5021,12901,12086,8787,7483,7336,4463,3748,2580,6410,4222,4738
ACSSF,2010m1,al,000,0072,0000002,9733,5143,3061,2616,1128,1305,2014,1937,4793,2021,1610,781,692,1154,1120,4201,4298,2126,1856,3725,2117,2695,1688,1224,564,764,864,963,1879,837,729,359,119,657,428,1710,1580,572,466,1393,734,2987,2072,1600,594,926,1148,1701,2072,1253,1215,558,426,978,610,1887,1563,555,540,1372,1136,8001,7164,5191,2477,2391,4621,6076,4466,2564,1661,643,460,1515,1768,3571,2567,1263,766,1990,2793,9733,4772,2558,1431,1991,1137,537,4358,1879,1076,1165,518,406,3855,1977,3511,2043,737,9197,8275,7335,5218,2574,532,5075,2895,2306,1788,368,86,4704,3480,3435,1197,273,9733,5143,3061,4793,2021,4201,2695,1688,1879,837,1710,2987,2072,2072,1253,1887,8001,7164,4466,2564,3571,9733,4772,2558,1431,2334,4358,1879,1076,1306,3855,1977,4002,9197,8275,7335,5357,5075,2895,2306,1885,4704,3480,3361
ACSSF,2010m1,al,000,0072,0000003,8910,5100,3511,3020,1341,1636,2326,2096,3986,1781,1668,836,689,1240,1217,3497,3268,1340,1506,2574,1599,2453,2000,1615,590,908,1124,1534,1668,873,736,431,465,385,459,1259,934,491,342,852,741,3588,2874,1634,446,1028,1401,2224,1675,1064,805,524,131,725,657,1356,1185,454,571,969,777,8382,8163,4954,2611,2407,4227,6317,4183,2715,1741,696,552,1368,1967,3253,2514,853,771,2087,2185,8910,4802,2694,1822,1633,1200,269,3774,1563,774,1380,487,273,3145,1674,2587,1318,285,7659,7714,6107,5298,2137,511,5462,3379,2545,1679,669,273,4510,2840,2910,850,306,8910,5100,3511,3986,1781,3497,2453,2000,1668,873,1259,3588,2874,1675,1064,1356,8382,8163,4183,2715,3253,8910,4802,2694,1822,1999,3774,1563,774,1509,3145,1674,2819,7659,7714,6107,5551,5462,3379,2545,1758,4510,2840,3101
ACSSF,2010m1,al,000,0072,0000004,12705,6163,3912,3726,1522,1991,2656,2307,5800,2530,2324,1011,1018,1673,1547,5086,4979,2388,2084,3945,2385,3011,2064,1560,742,1200,1244,1529,2328,1065,921,379,460,763,518,2090,1799,679,485,1549,1049,4039,3056,2072,712,1381,1463,2482,2482,1545,1474,657,452,1239,903,2287,1892,668,846,1553,1412,10898,10318,7347,3468,3054,6012,7710,5738,3663,2271,961,723,1973,2790,4346,3578,1417,1145,3114,3099,12705,6021,2926,1910,2416,1416,609,5557,2429,1281,1868,708,406,4550,2427,4211,2371,756,12126,11443,8241,6458,3453,759,6824,4007,3552,2169,682,86,6069,4202,4272,1429,306,12705,6163,3912,5800,2530,5086,3011,2064,2328,1065,2090,4039,3056,2482,1545,2287,10898,10318,5738,3663,4346,12705,6021,2926,1910,2906,5557,2429,1281,2097,4550,2427,4598,12126,11443,8241,7284,6824,4007,3552,2241,6069,4202,4401
ACSSF,2010m1,al,000,0072,0000005,11215,5420,3483,3085,1333,1619,2124,2164,5122,2370,2184,801,814,1601,1241,4259,4171,2136,1877,3383,2276,2597,1785,1385,704,845,1205,1331,2016,893,765,324,173,675,430,1834,1610,557,481,1373,1003,3505,2668,1839,574,1162,1423,2006,2223,1481,1427,681,452,1178,841,1937,1759,637,761,1423,1184,9939,9488,6828,2945,2711,5461,7478,5331,3311,2061,797,649,1703,2419,3931,3024,1251,999,2513,2899,11215,5239,2823,1745,2152,1204,490,4873,2214,1170,1771,670,146,3826,2333,3513,1995,722,10914,10067,7769,6338,3038,702,6442,3823,3001,2147,557,86,5318,3497,3840,1332,306,11215,5420,3483,5122,2370,4259,2597,1785,2016,893,1834,3505,2668,2223,1481,1937,9939,9488,5331,3311,3931,11215,5239,2823,1745,2586,4873,2214,1170,1929,3826,2333,3845,10914,10067,7769,6818,6442,3823,3001,2318,5318,3497,3987
ACSSF,2010m1,al,000,0072,0000006,5722,3796,1789,1453,719,809,1029,1251,3427,1216,1092,499,458,858,709,3003,2759,1767,1498,2179,1632,1779,1000,760,343,305,621,590,1408,482,428,172,82,367,221,1265,1169,536,452,1010,772,2091,1473,1303,328,944,916,879,1445,719,637,79,219,563,499,1425,1210,373,422,1080,812,5751,4986,3264,1631,1780,2775,4004,3202,1944,1195,459,330,1126,1371,2529,1702,864,761,1406,1969,5722,3631,1613,1097,952,681,355,3271,1147,740,840,303,146,2824,1588,2495,1457,712,6152,5275,4209,3512,1754,523,4115,2112,1500,1442,162,273,3654,2784,2608,801,273,5722,3796,1789,3427,1216,3003,1779,1000,1408,482,1265,2091,1473,1445,719,1425,5751,4986,3202,1944,2529,5722,3631,1613,1097,1225,3271,1147,740,856,2824,1588,2813,6152,5275,4209,3593,4115,2112,1500,1452,3654,2784,2703
ACSSF,2010m1,al,000,0072,0000007,8156,4795,3070,2788,1146,1352,1850,1908,4032,1708,1450,571,582,1071,888,3536,3233,1447,1249,2631,1427,2119,1626,1381,601,809,1107,1137,1385,751,623,275,151,558,362,1282,1074,357,178,939,673,2812,2246,1300,415,799,1216,1859,1736,1236,1195,673,399,857,641,1399,1224,508,630,985,768,7648,7763,5158,2445,1994,4364,6357,3979,2466,1515,607,548,1263,1850,3172,2458,998,653,2109,2183,8156,4361,2399,1524,1940,997,348,3657,1545,823,1254,531,273,3084,1679,2436,1231,211,7739,8144,6375,4861,2342,420,5015,2919,2432,1468,523,86,3860,2570,2431,955,306,8156,4795,3070,4032,1708,3536,2119,1626,1385,751,1282,2812,2246,1736,1236,1399,7648,7763,3979,2466,3172,8156,4361,2399,1524,2224,3657,1545,823,1373,3084,1679,2683,7739,8144,6375,5476,5015,2919,2432,1565,3860,2570,2746
ACSSF,2010m1,al,000,0072,0000008,5329,3547,2259,2031,724,976,1516,1160,3179,1495,989,722,515,589,906,2817,2439,946,1207,1759,945,1708,1332,1061,284,818,721,792,1033,590,548,165,425,332,239,814,748,378,144,645,518,2124,1824,1089,408,658,744,1378,1089,530,434,318,273,317,279,947,703,196,260,680,648,4273,4483,2991,1600,1167,2494,3591,2576,1833,1210,458,224,1057,1293,1910,1505,662,443,1385,1273,5329,3193,1523,802,1152,615,310,2773,1164,571,939,237,371,2496,1141,1882,945,106,4682,4869,3716,2958,1704,189,3289,2043,1722,983,465,273,2598,1821,1946,592,273,5329,3547,2259,3179,1495,2817,1708,1332,1033,590,814,2124,1824,1089,530,947,4273,4483,2576,1833,1910,5329,3193,1523,802,1284,2773,1164,571,971,2496,1141,2023,4682,4869,3716,3172,3289,2043,1722,1020,2598,1821,1924
ACSSF,2010m1,al,000,0072,0000009,3773,2076,1098,893,275,530,745,680,1843,729,593,311,403,324,414,1661,1587,647,648,1250,464,750,717,558,173,308,346,325,328,158,130,130,273,273,94,270,224,273,66,214,138,1010,877,707,213,352,544,550,709,216,273,273,273,273,216,686,532,273,240,508,413,3357,3128,1865,981,725,1423,2580,1251,864,689,128,167,671,653,973,882,323,187,822,642,3773,1835,961,496,767,392,82,1634,685,429,329,273,371,1498,634,1321,447,106,3396,3327,2675,1617,837,65,1650,921,773,707,162,273,1459,902,1200,340,273,3773,2076,1098,1843,729,1661,750,717,328,158,270,1010,877,709,216,686,3357,3128,1251,864,973,3773,1835,961,496,844,1634,685,429,495,1498,634,1355,3396,3327,2675,1893,1650,921,773,721,1459,902,1196
ACSSF,2010m1,al,000,0072,0000010,4481,3102,1998,1785,626,819,1262,1001,2646,1292,875,699,360,520,747,2272,1906,770,956,1503,799,1538,1168,946,222,737,642,692,1012,577,538,108,425,332,215,782,725,378,128,624,457,1895,1574,844,336,547,563,1243,908,472,434,318,273,317,183,683,599,196,103,572,412,3798,3759,2534,1194,1014,2225,3046,2289,1462,967,440,120,812,1112,1744,1234,564,415,1071,1103,4481,2633,1301,706,914,485,301,2261,891,311,870,237,273,2053,1020,1610,746,273,4092,4062,3320,2612,1538,174,2705,1813,1612,746,443,273,2182,1612,1489,439,273,4481,3102,1998,2646,1292,2272,1538,1168,1012,577,782,1895,1574,908,472,683,3798,3759,2289,1462,1744,4481,2633,1301,706,1117,2261,891,311,866,2053,1020,1603,4092,4062,3320,2811,2705,1813,1612,872,2182,1612,1475
