ACSSF,2010e1,al,000,0098,0000011,184212,35233,8116,27117,148979,66984,81995,184212,35233,20256,6350,13809,1991,11818,97,14977,2912,4019,1642,2377,8046,148979,38406,26191,12100,2820,9280,115,110573,51731,10058,3100,6958,48784,184212,35233,22439,12794,148979,20737,128242,136898,19103,117795,44137,15591,28546,1252,80,1172,,,,,,,340,198,142,826,212,614,134924,18486,116438,2371,872,1499,127170,27090,9262,2448,3742,2323,2022,301,749,699,50,17828,3633,1001,2302,330,0,14195,5401,7102,1453,239,100080,77922,17171,20218,33871,31303,2568,6662,6096,566,22158,5920,1209,3231,1290,190,16238,4007,9369,2594,268,31174,13902,37629,184212,35233,17687,17546,148979,53818,95161,184212,35233,148979,184212,35233,20256,14977,148979,38406,110573,127170,27090,9262,2448,3742,3072,17828,3633,1001,2302,330,14195,5401,7102,1692,100080,77922,17171,20218,40533,22158,5920,1209,3231,1480,16238,4007,9369,2862
ACSSF,2010e1,al,000,0098,0000012,514028,88773,18746,70027,425255,183088,242167,514028,88773,52819,15931,36146,4938,31208,742,35954,6796,8734,2764,5970,20424,425255,113997,81072,32532,9101,23431,393,311258,149120,25677,8473,17204,136461,514028,88773,55234,33539,425255,51764,373491,399896,48981,350915,102596,37585,65011,2674,397,2277,2076,120,1956,,,,2587,744,1843,4199,946,3253,390679,46848,343831,12056,3156,8900,356008,67607,22727,4382,7916,8207,6630,1577,2222,1754,468,44880,7702,2133,4407,954,208,37178,12989,18065,5304,820,288401,230192,46589,62999,99802,92505,7297,20802,19410,1392,58209,17574,3628,9194,4081,671,40635,8481,22777,8497,880,35143,14069,40846,514028,88773,42964,45809,425255,142056,283199,514028,88773,425255,514028,88773,52819,35954,425255,113997,311258,356008,67607,22727,4382,7916,10429,44880,7702,2133,4407,1162,37178,12989,18065,6124,288401,230192,46589,62999,120604,58209,17574,3628,9194,4752,40635,8481,22777,9377
ACSSF,2010e1,al,000,0098,0000013,68096,5951,1264,4687,62145,26081,36064,68096,5951,3705,1322,2383,599,1784,0,2246,630,349,52,297,1267,62145,16786,12645,3941,979,2962,200,45359,23638,3113,1392,1721,18608,68096,5951,2825,3126,62145,5247,56898,60891,4644,56247,5556,1141,4415,,,,,,,,,,,,,751,121,630,59374,4094,55280,1772,550,1222,48021,4684,1952,224,485,1000,504,496,243,215,28,2732,651,17,409,225,0,2081,579,929,573,0,43337,36283,8512,8918,16025,15460,565,2828,2698,130,7054,2371,245,1310,816,0,4683,608,2534,1541,0,47502,23956,50502,68096,5951,3095,2856,62145,15617,46528,68096,5951,62145,68096,5951,3705,2246,62145,16786,45359,48021,4684,1952,224,485,1243,2732,651,17,409,225,2081,579,929,573,43337,36283,8512,8918,18853,7054,2371,245,1310,816,4683,608,2534,1541
ACSSF,2010e1,al,000,0098,0000014,45862,8766,1886,6880,37096,14894,22202,45862,8766,4279,886,3393,529,2864,0,4487,791,727,52,675,2969,37096,9203,6465,2688,975,1713,50,27893,13289,2316,766,1550,12288,45862,8766,5615,3151,37096,4457,32639,36062,5268,30794,8308,3199,5109,,,,,,,,,,,,,,,,35838,5200,30638,736,140,596,30555,5797,1677,467,1100,110,110,0,0,0,0,4120,581,0,581,0,0,3539,987,1999,510,43,24758,19754,4034,6457,7637,6944,693,1626,1626,0,5004,1741,95,1048,540,58,3263,320,2223,660,60,36675,12761,44405,45862,8766,4475,4291,37096,10489,26607,45862,8766,37096,45862,8766,4279,4487,37096,9203,27893,30555,5797,1677,467,1100,110,4120,581,0,581,0,3539,987,1999,553,24758,19754,4034,6457,9263,5004,1741,95,1048,598,3263,320,2223,720
ACSSF,2010e1,al,000,0098,0000015,29666,4236,586,3650,25430,11539,13891,29666,4236,2614,607,1786,34,1752,221,1622,486,379,89,290,757,25430,7406,6260,1146,178,968,0,18024,8351,2104,604,1500,7569,29666,4236,2713,1523,25430,3389,22041,29006,3830,25176,337,296,41,,,,,,,,,,,,,,,,28448,3691,24757,777,275,502,21119,3258,1093,143,243,629,629,0,78,21,57,2165,123,62,34,27,0,2042,765,631,590,56,17861,14611,2806,3741,6557,5821,736,1507,1222,285,3250,782,237,229,316,0,2468,192,1946,330,0,35786,16513,39930,29666,4236,1830,2406,25430,9175,16255,29666,4236,25430,29666,4236,2614,1622,25430,7406,18024,21119,3258,1093,143,243,707,2165,123,62,34,27,2042,765,631,646,17861,14611,2806,3741,8064,3250,782,237,229,316,2468,192,1946,330
ACSSF,2010e1,al,000,0098,0000016,25738,4120,748,3372,21618,8538,13080,25738,4120,2712,890,1646,330,1316,176,1408,387,128,0,128,893,21618,7805,5791,2014,942,1072,0,13813,7718,1403,428,975,4692,25738,4120,2481,1639,21618,2053,19565,24337,3756,20581,296,128,168,,,,,,,,,,,,,,,,22981,3404,19577,1664,637,1027,19977,3051,1277,151,734,293,265,28,99,88,11,1774,330,52,70,0,208,1444,556,429,459,0,16926,13509,2979,3697,5262,4656,606,1571,1487,84,3417,1370,258,434,381,297,2047,544,904,599,0,35967,14224,40700,25738,4120,2103,2017,21618,6946,14672,25738,4120,21618,25738,4120,2712,1408,21618,7805,13813,19977,3051,1277,151,734,392,1774,330,52,70,208,1444,556,429,459,16926,13509,2979,3697,6833,3417,1370,258,434,678,2047,544,904,599
ACSSF,2010e1,al,000,0098,0000017,28860,2460,347,2113,26400,9224,17176,28860,2460,1871,1099,772,278,494,0,589,147,136,0,136,306,26400,8802,6165,2637,516,2121,0,17598,9387,1538,412,1126,6673,28860,2460,1149,1311,26400,1783,24617,23676,1506,22170,4394,880,3514,,,,,,,,,,,,,,,,23230,1203,22027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52222,24063,57305,28860,2460,954,1506,26400,7279,19121,28860,2460,26400,28860,2460,1871,589,26400,8802,17598,21881,2154,1246,165,249,832,908,278,119,117,42,630,62,321,247,19727,15552,1971,3125,10456,4175,928,307,485,136,3247,583,1365,1299
ACSSF,2010e1,al,000,0098,0000018,39731,5749,1386,4363,33982,14801,19181,39731,5749,2974,1271,1703,0,1703,0,2775,402,890,58,832,1483,33982,8597,5750,2605,776,1829,242,25385,11816,2848,852,1996,10721,39731,5749,3399,2350,33982,3595,30387,33698,3945,29753,5363,1589,3774,,,,,,,,,,,,,,,,33313,3945,29368,,,,27285,4266,1673,456,980,190,175,15,47,47,0,2593,58,58,0,0,0,2535,952,1303,280,0,23019,17566,4347,3764,7661,6746,915,1794,1566,228,5453,1628,67,1040,521,0,3825,719,2052,957,97,35897,14566,39044,39731,5749,3452,2297,33982,10580,23402,39731,5749,33982,39731,5749,2974,2775,33982,8597,25385,27285,4266,1673,456,980,237,2593,58,58,0,0,2535,952,1303,280,23019,17566,4347,3764,9455,5453,1628,67,1040,521,3825,719,2052,1054
ACSSF,2010e1,al,000,0098,0000019,40206,5702,1450,4252,34504,12363,22141,40206,5702,3857,1462,2309,252,2057,86,1845,152,661,112,549,1032,34504,9817,6218,3425,614,2811,174,24687,11612,1584,471,1113,11491,40206,5702,3300,2402,34504,3753,30751,29222,2115,27107,9911,3475,6436,,,,288,96,192,,,,,,,,,,28810,1973,26837,824,163,661,27423,4584,1614,82,677,794,540,254,61,61,0,2970,364,15,245,91,13,2606,727,1404,354,121,22839,17830,2771,3836,9816,9220,596,1407,1392,15,5009,1085,104,717,230,34,3924,652,2427,743,102,38579,16518,44532,40206,5702,2799,2903,34504,9748,24756,40206,5702,34504,40206,5702,3857,1845,34504,9817,24687,27423,4584,1614,82,677,855,2970,364,15,245,104,2606,727,1404,475,22839,17830,2771,3836,11223,5009,1085,104,717,264,3924,652,2427,845
ACSSF,2010e1,al,000,0098,0000020,257219,35819,6660,29159,221400,80683,140717,257219,35819,20300,3863,16354,716,15638,83,15519,2038,4130,377,3753,9351,221400,59718,38930,20678,4732,15946,110,161682,59715,19379,5695,13684,82588,257219,35819,21427,14392,221400,23011,198389,144986,6631,138355,104711,28712,75999,,,,3164,52,3112,,,,,,,1097,272,825,141595,6374,135221,6421,428,5993,165087,26385,5901,1274,1520,2842,2128,714,265,218,47,20484,1093,116,621,226,130,19391,6229,10029,2301,832,138702,98645,14995,25822,48319,45231,3088,9509,8774,735,40057,10427,1558,4863,3322,684,29630,3665,16352,8144,1469,41583,14767,47099,257219,35819,14511,21308,221400,58189,163211,257219,35819,221400,257219,35819,20300,15519,221400,59718,161682,165087,26385,5901,1274,1520,3107,20484,1093,116,621,356,19391,6229,10029,3133,138702,98645,14995,25822,57828,40057,10427,1558,4863,4006,29630,3665,16352,9613
