ACSSF,2010m1,al,000,0113,0000013,2669,3647,6850,4968,9200,32794,13504,12790,16520,109361,30396,75506,118884,30590,4440,95826,33259,38639,10302,.,10019,2544,9548,8112,15130,31633,15007,14200,48860,4268,29740,4014,18310,13500,16077,6974,12332,1722,4295,8532,8983,19412,41628,44656,31878,.,11208,4763,522,17238,2448,7550,8206,8266,4583,2326,37018,.,.,3020,1956,6602,2515,3002,2661,7747,3956,10852,50276,16014,16456,12239,.
ACSSF,2010m1,al,000,0113,0000014,3021,5017,17125,9132,6859,52652,17267,45011,16228,.,5205,45581,.,12602,13194,8142,8142,.,5721,.,8323,1101,10941,5851,3493,.,24299,16905,26643,4575,.,19524,9430,4307,6712,28122,34431,2187,11619,19855,7862,36302,68511,156792,.,.,19065,29915,.,29617,2837,11579,12542,46640,3063,2700,2092,2092,.,6691,10967,7251,3333,6785,2929,11120,.,.,13234,10221,3827,64680,13964
ACSSF,2010m1,al,000,0113,0000015,3319,3219,10055,22640,39052,20210,10970,36186,24546,.,18397,23123,.,18806,5883,21581,34421,42000,10758,.,29120,80084,39651,.,17760,14737,7107,2573,5219,7206,36546,10870,11110,4837,9461,16919,6571,2708,3431,9394,23100,6299,63536,.,.,.,14439,34991,.,12663,16932,10426,13210,11570,3672,12365,.,.,.,2943,5859,7549,2834,11882,2249,28028,22491,30437,.,3451,8123,784,1124
ACSSF,2010m1,al,000,0113,0000016,3673,3469,30383,51163,13119,28220,13454,107623,15716,.,20607,.,.,33328,.,220622,.,.,3876,.,9757,9757,.,4089,16534,.,4203,5189,2932,7647,38217,10437,9807,8517,10905,22786,9802,1996,3829,18483,8523,2404,.,.,.,.,15348,5412,.,19968,63213,15463,5898,3179,3202,7734,17532,.,17532,4288,13674,10166,5352,6319,4910,4373,4373,.,.,1615,1348,6179,821
ACSSF,2010m1,al,000,0113,0000017,1569,5316,8384,35941,42615,15882,18900,22599,30778,.,11729,8015,.,34320,43804,98230,149394,.,16701,30940,4775,3743,34418,12916,35143,1727,2810,6672,6037,8919,6908,7697,9658,6371,17828,14060,22884,3838,4160,5010,5001,20981,37381,37381,.,.,7669,.,40233,5993,22440,6845,7854,11780,4854,7202,102255,.,102255,2402,4103,12733,1603,6642,1639,.,.,.,.,9422,6864,9609,23614
ACSSF,2010m1,al,000,0113,0000018,3966,2444,15465,18196,15773,8447,24501,25839,28958,29750,17183,34722,.,33420,.,9131,31359,6918,4356,.,22362,4699,5283,2294,5322,8188,5092,7860,7032,5249,2395,17175,19904,5570,18511,12607,9398,1642,6625,21076,28660,22557,27658,.,.,.,10845,32098,414,17612,.,5120,10543,8285,2941,2929,.,.,.,3715,14931,6501,4259,3146,2208,13448,386,4791,.,12131,17878,9622,31450
ACSSF,2010m1,al,000,0113,0000019,1385,4411,1997,9018,8430,23954,17107,9271,13433,24879,3003,4281,72367,7520,19408,37710,91349,30572,2826,8053,7817,25558,8297,3916,2573,18666,4315,4544,5428,11802,67093,4662,7467,1951,7542,13264,7426,1377,3470,8533,7118,1968,12850,22272,.,81546,4792,1480,19932,15935,20581,4315,6919,4614,1246,6202,4028,22280,5067,1556,7715,4212,1687,2606,2570,9161,26198,.,2715,9151,10716,9402,3716
ACSSF,2010m1,al,000,0113,0000020,610,1421,2569,5453,6378,8256,8235,20613,4717,22941,5920,27391,9028,7962,7514,18489,30082,40785,2662,13742,3858,12189,10140,2627,3695,5380,1510,8817,2598,3811,58543,5029,9692,3114,4197,3904,3543,1131,1165,5861,3793,4103,8254,9034,27374,52271,4221,7002,15347,4880,7968,2941,5804,2593,1252,2300,9036,14172,21717,1648,2867,2556,1190,1609,2769,10783,.,18449,12670,6597,4867,17634,7511
ACSSF,2010m1,al,000,0113,0000021,1476,4900,8232,13185,12558,47183,29695,67433,8937,24192,8434,28427,267880,7140,14697,34627,43002,38816,6013,.,17839,8555,21962,1924,27303,28069,6157,9756,4430,11001,.,15869,14150,10123,21739,21648,25978,2552,4324,13455,9352,18649,3942,5928,.,.,6743,14490,9773,11635,20915,11841,13700,14666,2644,8253,.,.,.,8265,6639,4900,2263,14864,2856,.,.,.,.,3658,1456,126605,6115
ACSSF,2010m1,al,000,0113,0000022,2003,4261,7855,12939,14401,50049,16690,11983,49855,18168,6952,8813,16990,9080,2570,32905,60721,28655,5317,.,29051,6918,17663,1624,16085,5373,11471,18431,5410,4962,2371,3023,2912,5130,3631,15328,9873,2028,5086,10421,17411,7288,17686,27882,.,17515,6121,22456,21169,4345,26108,12795,4697,13235,3003,8504,41812,24039,23128,6502,14212,3663,3041,3917,3068,.,.,.,.,5138,3647,14739,.
ACSSF,2010m1,al,000,0113,0000023,2685,5671,12006,15227,21569,26260,10859,26727,11073,32560,10869,.,95856,20858,19561,68882,68882,.,2660,.,72393,24637,.,4997,8037,.,10246,20502,11461,6731,.,5630,6848,6837,9292,12231,26771,5989,5649,15567,25807,5279,41224,125172,51137,.,8701,13967,.,7393,.,11491,18433,6903,3413,5244,.,.,.,8049,4951,6529,1798,4989,6934,95380,.,.,.,3678,4091,106724,14242
ACSSF,2010m1,al,000,0113,0000024,2595,3694,4154,11335,14061,13234,3250,7749,9497,46250,4525,40953,46584,5292,20346,32404,41997,16751,8365,2848,7446,10244,15112,1635,10569,7006,1854,7844,7181,3539,21447,4403,9686,3375,6603,5153,7263,1435,3898,12609,8586,10319,17447,7826,15746,29593,8414,5327,53274,9349,11920,3156,5994,5922,1011,6065,16546,18433,44058,1918,1906,2293,2604,3502,1518,21200,.,21434,8538,4637,13247,15672,4151
