ACSSF,2010m1,al,000,0055,0000014,,,,,,,,,,,,,,,,,,,,752,1405,882,481,291,424,378,449,367,530,759,630,539,333,345,486,1211,309,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,752,1405,1014,833,740,1275,1186,,,,,,,
ACSSF,2010m1,al,000,0055,0000015,,,,,,,,,,,,,,,,,,,,431,1375,502,567,481,427,524,260,538,384,522,538,772,503,446,386,1261,328,1402,,,,,,,,,,,,,,,,,,,,,,,,,,,431,1375,735,1027,689,1295,1402,94,217,128,170,263,122,192
ACSSF,2010m1,al,000,0055,0000016,,,,,,,,,,,,,,,,,,,,488,814,294,398,322,706,403,431,514,414,567,500,364,371,243,591,710,265,944,,,,,,,,,,,,,,,,,,,,,,,,,,,488,814,647,579,683,735,944,,,,,,,
ACSSF,2010m1,al,000,0055,0000017,,,,,,,,,,,,,,,,,,,,465,997,453,496,210,354,427,486,311,444,386,157,410,291,242,473,556,329,852,,,,,,,,,,,,,,,,,,,,528,362,138,280,85,273,261,465,997,672,417,272,687,852,,,,,,,
ACSSF,2010m1,al,000,0055,0000018,,,,,,,,,,,,,,,,,,,,519,1209,455,500,508,327,388,461,375,404,418,499,633,342,476,453,1081,224,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,519,1209,553,642,601,1121,1284,295,370,273,320,187,273,208
ACSSF,2010m1,al,000,0055,0000019,,,,,,,,,,,,,,,,,,,,310,682,277,218,289,246,251,272,319,401,205,206,180,255,253,251,432,124,620,,,,,,,,,,,,,,,,,,,,691,482,96,432,112,273,321,310,682,365,378,313,449,620,65,151,101,165,147,153,153
ACSSF,2010m1,al,000,0055,0000020,,,,,,,,,,,,,,,,,,,,1022,2728,1334,941,941,913,916,771,638,975,776,969,899,724,831,789,2704,1509,2538,,,,,,,,,,,,,,,,,,,,1339,857,429,406,386,388,772,1022,2728,1688,1186,980,2424,2538,631,889,1255,708,590,513,749
ACSSF,2010m1,al,000,0055,0000021,,,,,,,,,,,,,,,,,,,,471,1287,524,815,647,587,369,729,454,427,496,628,504,359,371,366,1156,548,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,471,1287,1103,906,572,1104,1170,,,,,,,
ACSSF,2010m1,al,000,0055,0000022,,,,,,,,,,,,,,,,,,,,531,1661,548,444,434,505,491,383,598,631,509,496,418,512,464,480,1533,764,1639,,,,,,,,,,,,,,,,,,,,611,484,56,242,143,396,333,531,1661,722,497,397,1622,1639,108,428,128,159,159,416,438
ACSSF,2010m1,al,000,0055,0000023,,,,,,,,,,,,,,,,,,,,495,995,410,283,381,477,285,512,210,397,566,508,430,401,240,428,770,313,1075,,,,,,,,,,,,,,,,,,,,,,,,,,,495,995,447,574,431,787,1075,228,391,166,419,125,144,326
ACSSF,2010m1,al,000,0055,0000024,,,,,,,,,,,,,,,,,,,,886,2012,788,788,1002,883,808,583,545,700,906,842,604,807,598,701,1414,894,2015,408,651,360,266,214,256,104,236,157,216,245,217,230,130,153,159,366,255,521,1893,1647,543,1165,227,284,1020,886,2012,1144,1041,965,1722,2015,408,651,427,309,248,475,521
ACSSF,2010m1,al,000,0055,0000025,,,,,,,,,,,,,,,,,,,,760,1205,391,479,388,468,502,574,565,470,679,516,452,437,360,443,882,313,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,760,1205,605,877,431,918,1545,292,238,427,687,839,273,364
ACSSF,2010m1,al,000,0055,0000026,,,,,,,,,,,,,,,,,,,,1128,2244,1029,1230,1009,789,824,820,978,893,918,578,674,810,698,806,1957,657,2105,,,,,,,,,,,,,,,,,,,,1138,720,214,421,431,261,764,1128,2244,1446,1406,929,1943,2105,175,599,227,435,457,587,594
ACSSF,2010m1,al,000,0055,0000027,,,,,,,,,,,,,,,,,,,,535,1454,311,349,416,350,383,482,254,503,441,374,414,390,393,316,1245,588,1484,,,,,,,,,,,,,,,,,,,,,,,,,,,535,1454,477,520,620,1432,1484,248,444,356,181,102,199,588
ACSSF,2010m1,al,000,0055,0000028,,,,,,,,,,,,,,,,,,,,502,1258,444,551,522,558,466,446,484,566,668,521,579,433,398,433,1090,378,1342,,,,,,,,,,,,,,,,,,,,737,528,228,308,149,228,449,502,1258,659,776,669,1105,1342,464,1039,341,427,324,559,672
ACSSF,2010m1,al,000,0055,0000029,,,,,,,,,,,,,,,,,,,,1058,1405,373,436,710,545,596,497,943,329,526,275,710,420,280,400,826,209,1419,,,,,,,,,,,,,,,,,,,,,,,,,,,1058,1405,591,1098,882,880,1419,111,180,38,147,61,273,187
ACSSF,2010m1,al,000,0055,0000030,,,,,,,,,,,,,,,,,,,,629,1477,639,748,566,729,739,634,716,704,622,644,558,565,602,514,1319,621,1520,,,,,,,,,,,,,,,,,,,,997,699,273,488,363,73,651,629,1477,908,723,648,1345,1520,193,350,122,307,168,177,372
ACSSF,2010m1,al,000,0055,0000031,,,,,,,,,,,,,,,,,,,,490,1116,360,169,284,170,480,397,688,445,333,322,482,328,323,449,1076,112,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,490,1116,418,541,631,1076,1331,,,,,,,
ACSSF,2010m1,al,000,0055,0000032,,,,,,,,,,,,,,,,,,,,855,2393,463,607,517,403,448,581,584,579,492,538,461,588,639,679,2620,789,2494,,,,,,,,,,,,,,,,,,,,663,647,243,382,324,337,328,855,2393,684,737,995,2564,2494,,,,,,,
ACSSF,2010m1,al,000,0055,0000033,,,,,,,,,,,,,,,,,,,,385,1169,328,391,570,482,458,426,223,502,426,227,287,297,317,286,643,126,948,,,,,,,,,,,,,,,,,,,,,,,,,,,385,1169,464,792,346,646,948,,,,,,,
ACSSF,2010m1,al,000,0055,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3994,1491,467,506,352,1418,3694,,,,,,,
