ACSSF,2010e1,al,000,0090,0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959840,433860,145626,0,145626,3914,26343,32563,46517,21997,14292,288234,192479,95755,60088,19384,8416,5101,1719,1047,525980,171571,0,171571,7736,41565,44367,48608,22800,6495,354409,225587,128822,76250,34210,10201,4972,2593,596,20941,9628,3855,0,3855,240,839,787,559,1032,398,5773,3344,2429,852,637,633,213,12,82,11313,2918,0,2918,5,702,991,839,251,130,8395,4942,3453,2281,891,239,5,0,37
ACSSF,2010e1,al,000,0090,0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672076,298069,105579,0,105579,2665,20737,22780,33209,15697,10491,192490,123486,69004,42894,14841,5513,3361,1532,863,374007,126393,0,126393,5524,29804,34740,35752,16335,4238,247614,151845,95769,57337,25473,6732,3613,2234,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0090,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287764,135791,40047,0,40047,1249,5606,9783,13308,6300,3801,95744,68993,26751,17194,4543,2903,1740,187,184,151973,45178,0,45178,2212,11761,9627,12856,6465,2257,106795,73742,33053,18913,8737,3469,1359,359,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0090,0000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856853,387029,133856,0,133856,3236,23482,28551,44219,20398,13970,253173,164533,88640,56225,17375,7792,4579,1622,1047,469824,158075,0,158075,6765,37217,41517,45288,20958,6330,311749,192200,119549,70180,31677,9641,4959,2496,596,17772,8330,3701,0,3701,240,839,766,559,899,398,4629,2502,2127,767,637,428,213,0,82,9442,2366,0,2366,5,702,575,703,251,130,7076,4448,2628,1767,595,229,0,0,37
ACSSF,2010e1,al,000,0090,0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726035,326554,116958,0,116958,2791,20957,23422,39057,17904,12827,209596,135317,74279,46372,15031,6469,3934,1426,1047,399481,139675,0,139675,5349,31224,36860,40627,19792,5823,259806,158305,101501,58991,28084,7295,4197,2376,558,13911,6465,2937,0,2937,95,604,490,486,864,398,3528,1945,1583,659,301,380,161,0,82,7446,1863,0,1863,0,576,405,558,194,130,5583,3447,2136,1413,516,207,0,0,0
ACSSF,2010e1,al,000,0090,0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432263,193765,68439,0,68439,1508,13899,15693,22274,9032,6033,125326,79300,46026,28279,9981,3773,2163,1005,825,238498,80127,0,80127,3164,17527,23036,23503,10371,2526,158371,94821,63550,38075,15906,4701,2732,1787,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0090,0000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293772,132789,48519,0,48519,1283,7058,7729,16783,8872,6794,84270,56017,28253,18093,5050,2696,1771,421,222,160983,59548,0,59548,2185,13697,13824,17124,9421,3297,101435,63484,37951,20916,12178,2594,1465,589,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0090,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130818,60475,16898,0,16898,445,2525,5129,5162,2494,1143,43577,29216,14361,9853,2344,1323,645,196,0,70343,18400,0,18400,1416,5993,4657,4661,1166,507,51943,33895,18048,11189,3593,2346,762,120,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0090,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54313,23602,7289,0,7289,237,1229,2526,1896,881,520,16313,10745,5568,4063,589,676,126,114,0,30711,7129,0,7129,513,2616,2035,1585,248,132,23582,15079,8503,5239,2266,731,147,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0090,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76505,36873,9609,0,9609,208,1296,2603,3266,1613,623,27264,18471,8793,5790,1755,647,519,82,0,39632,11271,0,11271,903,3377,2622,3076,918,375,28361,18816,9545,5950,1327,1615,615,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
