ACSSF,2010m1,al,000,0028,0000011,4487,1690,2643,3035,3370,2871,2708,2441,1786,2133,1784,1670,7418,1843,3120,2551,3451,2647,3061,2450,1604,1755,1855,1792,6377,1141,2626,1903,1993,2194,2070,1346,869,1096,1498,1146,707,273,560,35,273,210,279,103,273,273,54,273,1841,273,362,658,512,1333,610,144,273,67,282,273,0.8,1.2,1.3,16.0,1.5,4487,3125,4198,7418,4701,5178,6377,4084,3579,707,583,365,1841,1427,793,3585,5629,5225,695,921,4836,5183,3016,273,277,,,,,,,,,,,,,,,,,,,,,,,,,,3001,5664,5277,659,600,1739,869,880,102,1211,4487,1690,2643,3035,3078,2708,1875,1784,1670,7418,1843,3120,2551,3747,3061,2546,1855,1792,6377,1141,2626,1903,3133,2070,1781,1498,1146,707,273,560,35,210,279,103,54,273,1841,273,362,658,1375,610,167,282,273,4487,3125,4198,7418,4701,5178,6377,4084,3579,707,583,365,1841
ACSSF,2010m1,al,000,0028,0000012,3290,2350,2808,3865,4064,3569,3479,3370,2908,3267,1804,1849,11858,2645,4076,3744,4828,4433,5081,3061,2616,2740,2791,2537,11683,1730,4062,3359,3058,3689,3708,2383,1580,1814,2467,1821,1455,273,712,195,524,521,633,357,228,101,98,256,4490,242,1990,1838,1587,1886,1349,607,262,79,564,530,0.3,0.6,0.8,4.6,2.5,3290,3857,4409,11858,7281,8918,11683,6677,7800,1455,1148,841,4490,3365,2206,4043,9948,10001,1247,4509,3985,5674,4112,325,354,1370,1009,703,70,273,1888,542,642,150,1200,,,,,,3723,1247,1226,320,2726,2489,1915,1343,145,505,2030,9755,9445,1170,2455,1799,1800,2723,500,2929,3290,2350,2808,3865,4627,3479,1980,1804,1849,11858,2645,4076,3744,6295,5081,3384,2791,2537,11683,1730,4062,3359,4769,3708,2993,2467,1821,1455,273,712,195,735,633,430,98,256,4490,242,1990,1838,2260,1349,692,564,530,3290,3857,4409,11858,7281,8918,11683,6677,7800,1455,1148,841,4490
ACSSF,2010m1,al,000,0028,0000013,0,521,756,698,867,1228,1195,1452,1209,1215,555,214,4859,1020,1987,1343,1399,1697,1975,1059,906,960,1207,947,5186,851,2273,1172,1688,1557,1775,1248,1063,889,1049,1013,616,273,279,35,178,273,391,249,273,273,85,273,2653,273,1252,501,949,648,819,100,112,273,292,430,0.4,2.1,2.4,8.4,5.1,0,1065,1065,4859,3021,2980,5186,2982,3390,616,535,339,2653,1658,1438,1327,4682,5127,591,2624,,,,,,,,,,,,,,,,,,,,,,,,,,882,741,523,124,273,495,4511,4667,564,1981,0,1003,1923,177,1588,0,521,756,698,1448,1195,531,555,214,4859,1020,1987,1343,2280,1975,1549,1207,947,5186,851,2273,1172,2275,1775,1449,1049,1013,616,273,279,35,343,391,249,85,273,2653,273,1252,501,1172,819,149,292,430,0,1065,1065,4859,3021,2980,5186,2982,3390,616,535,339,2653
ACSSF,2010m1,al,000,0028,0000014,0,649,574,517,761,726,346,850,663,779,360,398,3237,555,896,1788,1049,1072,889,987,647,656,658,693,3041,240,786,1545,1038,993,854,551,420,447,652,618,618,273,103,477,327,260,79,273,273,273,119,273,1028,273,545,209,548,537,263,206,273,212,138,234,0.8,1.5,4.4,6.9,7.5,0,533,533,3237,1965,2125,3041,1867,1886,618,491,408,1028,439,673,577,2679,2454,465,436,427,1303,1031,465,145,,,,,,,,,,,,,,,,700,447,332,273,993,,,,,,273,2696,2448,400,365,0,595,483,235,914,0,649,574,517,696,346,318,360,398,3237,555,896,1788,1524,889,935,658,693,3041,240,786,1545,1498,854,903,652,618,618,273,103,477,406,79,273,119,273,1028,273,545,209,613,263,298,138,234,0,533,533,3237,1965,2125,3041,1867,1886,618,491,408,1028
ACSSF,2010m1,al,000,0028,0000015,0,381,470,469,439,337,474,819,752,595,39,125,2330,513,1062,872,446,847,818,857,776,547,860,448,2371,302,957,565,551,839,779,586,209,314,836,447,224,273,273,273,273,150,148,273,273,273,273,273,1057,58,353,714,192,359,325,273,113,273,86,273,0.9,1.6,4.7,19.1,5.7,0,495,495,2330,1679,1401,2371,1633,1370,224,148,150,1057,360,810,862,2251,2265,148,1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,2101,2086,148,921,0,543,545,273,659,0,381,470,469,553,474,184,39,125,2330,513,1062,872,1003,818,753,860,448,2371,302,957,565,1065,779,725,836,447,224,273,273,273,150,148,273,273,273,1057,58,353,714,418,325,113,86,273,0,495,495,2330,1679,1401,2371,1633,1370,224,148,150,1057
ACSSF,2010m1,al,000,0028,0000016,0,283,448,860,845,424,244,798,567,604,184,161,2040,536,871,706,908,665,948,751,448,561,549,365,2077,386,834,572,719,688,995,718,414,348,558,408,297,273,273,273,293,273,36,273,273,273,273,273,745,273,402,642,702,500,116,293,20,273,273,273,0.9,2.2,1.8,0.3,2.9,0,785,785,2040,1636,1347,2077,1544,1233,297,293,36,745,603,563,2722,2279,2086,297,1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,2005,2022,297,273,0,617,763,273,745,0,283,448,860,881,244,398,184,161,2040,536,871,706,1232,948,925,549,365,2077,386,834,572,1061,995,920,558,408,297,273,273,273,293,36,273,273,273,745,273,402,642,778,116,291,273,273,0,785,785,2040,1636,1347,2077,1544,1233,297,293,36,745
ACSSF,2010m1,al,000,0028,0000017,0,246,189,668,812,358,441,745,553,727,301,225,2309,458,683,737,857,728,1089,689,383,660,605,418,2467,357,757,668,785,700,952,551,375,513,540,360,330,19,65,273,150,207,200,70,273,273,273,273,637,273,94,745,335,168,17,113,133,113,273,273,0.7,1.4,4.4,12.8,15.1,0,538,538,2309,1473,1623,2467,1413,1860,330,143,283,637,391,396,914,2083,2013,290,776,941,1036,795,70,273,,,,,,,,,,,,,,,,,,,,,,,,,,78,2033,2015,290,241,0,339,715,76,581,0,246,189,668,827,441,163,301,225,2309,458,683,737,1235,1089,750,605,418,2467,357,757,668,1150,952,760,540,360,330,19,65,273,275,200,70,273,273,637,273,94,745,369,17,216,273,273,0,538,538,2309,1473,1623,2467,1413,1860,330,143,283,637
ACSSF,2010m1,al,000,0028,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,3.2,29.4,13.3,0,694,694,2269,1695,1557,2357,1509,1567,274,168,221,731,671,403,183,2135,2208,220,632,428,1218,1110,98,211,,,,,,,,,,,,,,,,,,,,,,,,,,135,2104,2103,220,108,0,273,473,273,643,0,296,312,762,781,469,82,268,276,2269,491,903,760,1316,832,773,620,669,2357,388,862,642,1485,771,737,614,623,274,273,96,122,130,79,168,273,273,731,273,211,264,634,241,61,67,147,0,694,694,2269,1695,1557,2357,1509,1567,274,168,221,731
ACSSF,2010m1,al,000,0028,0000019,0,47,185,235,413,271,188,584,396,438,156,69,1823,388,754,664,624,556,709,509,309,341,460,365,1768,382,754,661,638,602,688,556,229,312,491,370,311,273,95,139,91,109,64,110,273,273,40,273,442,39,165,209,336,234,199,123,78,22,79,82,0.8,0.9,1.7,8.8,7.4,0,245,245,1823,1189,1246,1768,1195,1201,311,209,228,442,294,332,577,1682,1597,260,571,740,1328,1081,101,169,,,,,,146,116,129,65,139,,,,,,607,257,151,273,317,,,,,,23,1662,1616,159,288,0,237,249,208,323,0,47,185,235,310,188,152,156,69,1823,388,754,664,816,709,512,460,365,1768,382,754,661,866,688,563,491,370,311,273,95,139,147,64,110,40,273,442,39,165,209,318,199,117,79,82,0,245,245,1823,1189,1246,1768,1195,1201,311,209,228,442
ACSSF,2010m1,al,000,0028,0000020,0,3,324,461,1228,1019,1110,2682,1823,1961,451,363,7079,836,3045,2479,2357,1930,2031,2462,1787,1715,1607,1255,7191,839,2965,2491,2506,1941,2025,1595,830,870,1595,1250,864,273,429,374,432,322,378,125,114,124,206,273,2254,102,1288,860,1432,1200,1244,478,162,356,434,517,0.3,0.6,1.4,8.1,1.9,0,1211,1211,7079,4372,4423,7191,4415,4310,864,545,619,2254,1724,1344,3573,5893,5294,770,2675,737,4337,4296,505,876,,,,,,961,480,765,157,759,,,,,,3750,1205,403,57,3059,1393,937,658,235,728,142,5784,5372,613,1362,0,1103,892,568,1574,0,3,324,461,1424,1110,545,451,363,7079,836,3045,2479,3110,2031,2077,1607,1255,7191,839,2965,2491,3036,2025,1990,1595,1250,864,273,429,374,515,378,181,206,273,2254,102,1288,860,1711,1244,596,434,517,0,1211,1211,7079,4372,4423,7191,4415,4310,864,545,619,2254
ACSSF,2010m1,al,000,0028,0000021,0,355,422,727,658,469,489,823,684,775,275,294,3717,355,1525,971,909,1274,975,679,542,722,789,552,3683,382,1465,1195,899,1133,886,581,515,297,759,548,494,273,273,399,273,135,254,273,273,273,273,273,719,302,302,460,354,232,185,273,273,273,123,273,1.0,1.9,7.0,48.4,13.0,0,364,364,3717,2121,2132,3683,2096,2189,494,200,347,719,490,414,666,3564,3552,278,379,704,790,420,273,225,,,,,,,,,,,,,,,,,,,,,,,,,,20,3542,3552,278,174,,,,,,0,355,422,727,734,489,270,275,294,3717,355,1525,971,1744,975,770,789,552,3683,382,1465,1195,1621,886,762,759,548,494,273,273,399,135,254,273,273,273,719,302,302,460,390,185,273,123,273,0,364,364,3717,2121,2132,3683,2096,2189,494,200,347,719
ACSSF,2010m1,al,000,0028,0000022,0,323,323,616,679,461,156,984,812,792,211,189,3544,863,1725,1607,1081,1020,954,920,552,432,563,590,3463,880,1610,1438,1159,991,953,730,562,692,530,544,697,273,258,392,174,348,246,190,273,273,15,273,1655,121,431,515,961,672,220,202,273,68,122,78,0.4,1.8,1.6,18.1,2.5,0,370,370,3544,2338,2267,3463,2364,2204,697,401,508,1655,983,875,503,3171,3229,675,1250,488,1631,1431,142,973,,,,,,362,221,375,192,399,,,,,,,,,,,,,,,,273,3214,3221,521,704,0,184,713,411,706,0,323,323,616,601,156,95,211,189,3544,863,1725,1607,1463,954,918,563,590,3463,880,1610,1438,1472,953,870,530,544,697,273,258,392,392,246,190,15,273,1655,121,431,515,1198,220,192,122,78,0,370,370,3544,2338,2267,3463,2364,2204,697,401,508,1655
