ACSSF,2010e1,al,000,0116,0000001,36897,51535,56803,60228,52373,66367,62509,73050,57036,44911,40931,60446,45595,40213,48408,57429,33488,21962,21482,39854,35709,42679,16145,21575,19756,30847,33170,29825,35720,25429,31943,40543,31531,31868,35814,26475,36897,41888,63490,68760,69933,66611,69098,65929,75139,59268,49246,43699,75846,50741,41071,72021,96825,48525,30124,20840,41012,36686,43068,16347,26919,30576,40242,43583,33400,36103,26296,32069,40841,35287,36829,36479,27767,31370,45029,47123,47981,45840,60496,60058,66167,53774,42026,39782,42310,43142,36840,44456,52085,32356,18741,21516,35257,30100,39665,16069,16796,18351,27822,25681,28726,27156,20552,26621,29746,24416,24439,26962,21560,1382634,775054,248460,117122,90166,26956,61862,24728,32214,4920,47930,11733,7028,20799,8370,21546,17248,4298,83948,2722,29688,13851,15837,16561,30090,4887,121550,77866,43684,143489,8335,73065,62089,177607,95245,49939,32423,607580,246678,85305,51996,33309,16533,8743,5756,2034,79494,13069,6640,53060,6725,65346,41341,24005,92651,24094,6120,2967,3153,25444,16693,20300,212991,58819,154172,7095,1615,2573,2907,48165,35629,5199,7337
ACSSF,2010e1,al,000,0116,0000002,36595,51901,57333,60125,54736,67525,62303,76150,55360,45100,42209,51743,46068,40059,49388,59360,33899,20895,21187,37062,30375,43736,16297,18958,20708,31085,33145,30298,32094,19750,30513,38307,30230,30735,33560,25203,36595,41862,64542,70138,68892,70907,70156,66927,75684,55908,50358,46239,70376,50827,42369,66318,90144,42182,25216,18958,37407,31364,43998,16354,23802,31022,39768,46886,31652,32344,16290,30774,39352,31820,35042,35095,24045,31714,44943,47499,47618,47392,59200,52140,76823,53254,41922,40534,42004,43795,34941,45216,54144,33054,17994,21491,30863,24510,39450,16274,15862,19241,28706,26086,29942,28435,22219,12778,30719,24895,22660,27270,26986,730231,398287,142472,65038,47871,17167,34792,14093,17880,2819,29115,6413,4881,12188,5633,13527,11207,2320,45226,1868,14161,6649,7512,12415,13886,2896,69162,43554,25608,58510,1004,32707,24799,82917,43370,22169,17378,331944,135411,49317,29549,19768,9377,5255,2513,1609,45667,8992,4208,28184,4283,31050,19198,11852,56357,13081,3419,1663,1756,16680,11605,11572,115100,32465,82635,3757,387,1464,1906,21319,14964,2764,3591
ACSSF,2010e1,al,000,0116,0000003,37210,51071,55955,60357,50770,65313,62793,67334,62167,44540,37292,71955,45187,40525,47297,55426,32878,23977,21688,42049,43877,40920,15841,26512,18761,30557,33197,29176,37079,25953,35113,41592,32613,32650,36601,28792,37210,41910,62269,66946,70392,60121,67156,65231,72470,70109,47851,38073,101655,50658,38979,77427,101572,55120,34639,34833,44124,47179,41046,16331,31901,30338,40474,41449,37570,37360,26805,35053,41748,37128,38603,37435,31386,30958,45098,46749,48181,42495,60877,61644,53946,54704,42209,35577,47412,42595,42288,42748,51115,32041,19798,21531,35965,31632,40053,15691,20315,17206,27187,25012,27750,22959,16707,36689,27575,24033,25449,25303,19461,652403,376767,105988,52084,42295,9789,27070,10635,14334,2101,18815,5320,2147,8611,2737,8019,6041,1978,38722,854,15527,7202,8325,4146,16204,1991,52388,34312,18076,84979,7331,40358,37290,94690,51875,27770,15045,275636,111267,35988,22447,13541,7156,3488,3243,425,33827,4077,2432,24876,2442,34296,22143,12153,36294,11013,2701,1304,1397,8764,5088,8728,97891,26354,71537,3338,1228,1109,1001,26846,20665,2435,3746
ACSSF,2010e1,al,000,0116,0000004,37255,51782,57257,60828,52501,67145,63094,74966,57116,44767,41196,61353,45381,40328,49510,58718,33364,22142,21831,40062,35604,43283,16205,21489,19830,31014,33609,30036,36009,22227,32309,40880,31702,32307,36226,25859,37255,42226,64987,70258,70681,66752,70115,66147,75779,58293,49464,44601,80073,50943,41025,70916,93822,47930,30186,20564,41056,36408,43580,16562,26969,30454,40201,43736,33350,36392,24524,32456,41205,35494,37383,36828,27016,31645,45204,47464,48039,46733,60794,60448,71215,54788,41839,39728,42172,42646,37265,45505,52809,32390,19068,21905,35817,30553,40266,16075,16913,18546,28019,25762,28924,27779,17134,23380,29928,25146,25223,28963,20747,1262975,705651,234098,109171,83550,25621,59091,24324,30369,4398,45115,10626,6705,19598,8186,20721,16795,3926,78024,2668,28039,13009,15030,15802,27016,4499,115016,73248,41768,125779,5273,64778,55728,152734,82196,42604,27934,557324,229652,79673,48071,31602,15743,8480,5383,1880,73576,12275,6334,48475,6492,60660,38749,21911,85121,20840,5810,2817,2993,23260,15805,19406,194686,53435,141251,6403,1313,2254,2836,41462,30764,4545,6153
ACSSF,2010e1,al,000,0116,0000005,38683,52306,58506,61290,53526,69893,65069,76461,56499,45070,41444,60874,45497,41155,49494,59528,33740,22198,21941,40923,36129,44783,16348,21011,20444,31391,35240,30283,36895,21606,35002,41045,32574,35401,35838,26712,38683,44377,65416,70347,70821,66332,71988,67424,77371,58186,49719,45104,80174,50140,42337,69969,91794,48437,29638,21204,41917,36958,44790,16603,26576,27240,41024,46140,34133,37389,25346,35354,41400,36081,39679,36307,27565,32242,45781,50222,50422,49665,61407,60765,73152,53703,41900,39757,42204,42657,40072,45373,53899,32496,19305,22002,36539,30703,42470,16246,17143,19053,28532,26367,29362,22274,14823,13036,28891,26073,25971,31148,23543,1026448,572782,198859,92176,70205,21971,52140,21563,26748,3829,37252,8915,5648,15649,7040,17291,14025,3266,61044,2291,21775,10481,11294,13346,20049,3583,95530,61335,34195,97932,4014,50748,43170,119417,63706,33523,22188,453666,190831,67227,40427,26800,14021,7424,4861,1736,60257,10279,5770,38409,5799,49326,31009,18317,68273,16842,5145,2640,2505,18248,14089,13949,160919,42388,118531,4446,838,1676,1932,29197,20525,4114,4558
ACSSF,2010e1,al,000,0116,0000006,36377,52284,60593,60669,60390,65323,58730,78796,50739,45933,42251,56170,47726,40744,49649,60714,31447,21247,22429,36603,28741,43357,16109,18408,21097,30782,35551,28966,30389,17016,27327,35163,30235,33282,30687,24488,36377,41347,65563,72272,71399,75669,68914,61640,79452,52809,49146,46308,71443,49614,41391,83283,101615,45375,24585,20857,37413,31916,44390,15046,22427,29566,37304,46604,30656,30681,16559,28024,35881,31094,36794,31086,22781,31665,46060,50176,47897,51250,52063,53309,51981,42212,42765,41020,42417,46170,40208,43869,53698,30190,19166,22804,24913,22790,38381,16432,16141,20381,27954,27468,28098,27928,.,9395,29158,26375,25643,26536,29128,374878,203589,77755,33926,25240,8686,17330,6541,8523,2266,17893,3391,3111,8221,3170,8606,7301,1305,25775,915,8172,3390,4782,7253,7956,1479,32124,19552,12572,27251,496,16119,10636,40684,18484,12011,10189,171289,72286,26566,16420,10146,4894,2546,1293,1055,25879,5012,2072,16100,2695,14947,9542,5405,31887,8308,1819,905,914,9137,6453,6170,54814,15193,39621,2599,102,967,1530,9703,7103,1128,1472
ACSSF,2010e1,al,000,0116,0000007,40112,52320,56916,61691,51723,71562,67231,75761,72532,44146,39758,65569,44065,41712,49386,58344,35038,23444,21430,44713,41554,45799,16529,22598,19859,31726,35086,30808,40157,22221,38223,42096,35806,36140,38793,30156,40112,45972,65317,66920,70614,56965,72925,69641,76424,74718,50138,43579,96344,50689,44500,67035,81048,50398,32211,26100,45727,48207,45212,17445,30052,26039,41875,45889,37741,40430,26280,38540,42172,38552,40379,39136,31956,32665,45639,50252,51084,45793,64961,61857,74207,57268,41263,36781,42036,41766,37400,45762,53948,33875,19428,21381,38158,35361,51431,16087,19050,17950,28790,25706,29923,16819,14462,26060,28039,25824,26128,35880,20286,651570,369193,121104,58250,44965,13285,34810,15022,18225,1563,19359,5524,2537,7428,3870,8685,6724,1961,35269,1376,13603,7091,6512,6093,12093,2104,63406,41783,21623,70681,3518,34629,32534,78733,45222,21512,11999,282377,118545,40661,24007,16654,9127,4878,3568,681,34378,5267,3698,22309,3104,34379,21467,12912,36386,8534,3326,1735,1591,9111,7636,7779,106105,27195,78910,1847,736,709,402,19494,13422,2986,3086
ACSSF,2010e1,al,000,0116,0000008,32620,48167,51739,53850,50160,55669,48894,56838,81473,43541,39751,65570,44844,36465,49686,54503,31939,21986,21549,36135,30819,39265,15410,24534,18750,29131,30306,28350,32208,23368,30483,40407,28500,27597,40008,21655,32620,37489,61328,68776,69176,68600,57798,49552,60381,80104,48053,39842,74852,55562,37566,76048,100898,31886,31000,16581,37474,31041,40276,16161,30314,40264,33506,35422,31589,32182,23929,30381,40596,32116,32316,40512,23476,27857,42361,40986,40805,41184,46847,47788,41984,92534,41434,39385,41792,42617,34950,46049,51706,31944,18158,21676,32217,19694,33663,15264,15184,17753,26227,22609,27091,32595,21926,36717,32689,21832,22424,18988,17129,236527,132869,35239,16995,13345,3650,6951,2761,3621,569,7863,1711,1057,3949,1146,3430,2770,660,16980,377,6264,2528,3736,2456,6967,916,19486,11913,7573,27847,1259,14030,12558,33317,18490,9081,5746,103658,38821,12446,7644,4802,1722,1056,522,144,13319,1996,564,10066,693,11334,7740,3594,16848,3998,665,177,488,5012,1716,5457,33767,11047,22720,1957,475,578,904,12265,10239,431,1595
ACSSF,2010e1,al,000,0116,0000009,32373,51482,66023,66147,59983,60541,59848,60828,.,45334,39659,70068,47615,36140,51052,65715,32138,22037,23162,43559,35094,44497,18617,20537,20571,29251,31298,27862,32023,.,27111,36885,25861,26090,35637,20360,32373,39733,71273,76992,74172,89583,60861,61585,60995,.,51274,39695,72585,54568,36980,100601,126303,14551,30237,15571,43206,35094,44144,22097,22298,40533,35420,48034,29730,31940,.,27111,37325,28678,29134,36637,21380,28734,41847,40025,40548,36817,41572,45483,.,.,42205,37404,41132,45451,34420,46306,52240,32233,18540,23437,62219,.,62219,15907,15195,18894,26098,22788,27042,32614,.,.,32614,20632,21064,21987,16403,76335,41740,13356,6693,5094,1599,1961,794,1090,77,3012,601,374,1415,622,1690,1521,169,4186,108,1448,681,767,612,1645,373,6710,4126,2584,7824,52,3434,4338,9664,5127,2453,2084,34595,12967,3775,2223,1552,385,319,66,0,5035,635,164,3908,328,3772,2442,1330,5227,1052,87,0,87,1778,640,1670,12104,3891,8213,288,0,0,288,4009,3082,124,803
ACSSF,2010e1,al,000,0116,0000010,32849,46705,48770,49302,48035,51481,46272,53836,82664,42825,39858,47225,43657,37527,47596,52257,31250,21968,21181,32261,30711,35359,14485,26842,18003,29084,29763,28593,32325,23123,31154,41260,30265,28890,40495,23293,32849,37083,55338,60963,65147,54625,52297,40934,56808,81250,47123,40272,87388,55944,37849,65714,77391,50154,31187,17288,32396,30921,36976,12756,32775,32008,32866,32975,32546,32319,23684,31012,41518,35121,34466,41056,27764,27510,42599,41438,41072,41659,47804,48926,42245,92534,41181,39481,45287,41684,35785,45928,51547,30268,17956,21199,31367,19694,32820,15004,15154,17260,26292,22467,27119,32478,21926,36717,40034,23008,24455,15313,18299,160192,91129,21883,10302,8251,2051,4990,1967,2531,492,4851,1110,683,2534,524,1740,1249,491,12794,269,4816,1847,2969,1844,5322,543,12776,7787,4989,20023,1207,10596,8220,23653,13363,6628,3662,69063,25854,8671,5421,3250,1337,737,456,144,8284,1361,400,6158,365,7562,5298,2264,11621,2946,578,177,401,3234,1076,3787,21663,7156,14507,1669,475,578,616,8256,7157,307,792
