ACSSF,2010e1,al,000,0037,0000011,168097,25066,17973,36659,28438,24569,17165,5587,12640,141315,20009,14405,30507,23941,22047,14518,5055,10833,16890,2372,2430,4803,2709,1639,1837,382,718,192,0,97,0,44,51,0,0,0,2756,1417,162,361,296,131,106,21,262,2927,855,324,367,324,178,487,19,373,4017,413,555,621,1124,523,217,110,454,25952,26511,22033,14968,9618,20876,27384,167316,14029,19160,134127,141315,11272,13811,116232,16921,1304,4531,11086,192,0,0,192,1944,364,142,1438,2927,714,246,1967,4017,375,430,3212,168097,25066,17973,36659,28438,24569,17165,5587,12640,141315,20009,14405,30507,23941,22047,14518,5055,10833,16890,2372,2430,4803,2709,1639,1837,382,718,192,0,97,0,44,51,0,0,0,5683,2272,486,728,620,309,593,40,635,4017,413,555,621,1124,523,217,110,454,167316,14029,19160,134127,141315,11272,13811,116232,16921,1304,4531,11086,192,0,0,192,4871,1078,388,3405,4017,375,430,3212
ACSSF,2010e1,al,000,0037,0000012,507857,82296,48240,111025,83215,78460,47168,16832,40621,421833,63132,38295,93065,69834,67476,40483,14582,34966,56158,11427,6394,12342,9106,8739,4012,1848,2290,546,88,222,19,102,115,0,0,0,7169,3409,691,1129,721,265,353,21,580,6624,1251,1001,1656,994,201,624,151,746,15527,2989,1637,2814,2458,1664,1696,230,2039,26056,26708,22132,14526,10782,20523,25826,506151,44477,45654,416020,421645,34708,33535,353402,56117,6444,9300,40373,546,0,0,546,5836,1033,903,3900,6624,1249,484,4891,15383,1043,1432,12908,507857,82296,48240,111025,83215,78460,47168,16832,40621,421833,63132,38295,93065,69834,67476,40483,14582,34966,56158,11427,6394,12342,9106,8739,4012,1848,2290,546,88,222,19,102,115,0,0,0,13793,4660,1692,2785,1715,466,977,172,1326,15527,2989,1637,2814,2458,1664,1696,230,2039,506151,44477,45654,416020,421645,34708,33535,353402,56117,6444,9300,40373,546,0,0,546,12460,2282,1387,8791,15383,1043,1432,12908
ACSSF,2010e1,al,000,0037,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27004,28424,21947,.,15918,70707,26661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75938,11229,7514,16368,8885,10899,7548,4081,9414,62295,8586,6058,13338,7338,9145,6427,3211,8192,8965,1933,1000,1695,1127,1393,620,716,481,88,88,0,0,0,0,0,0,0,1548,392,98,505,15,0,70,69,399,3042,230,358,830,405,361,431,85,342,75938,4343,5106,66489,62295,3288,3416,55591,8965,953,1153,6859,88,0,0,88,1548,102,279,1167,3042,0,258,2784
ACSSF,2010e1,al,000,0037,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28309,27317,40033,18333,29249,55015,6385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0037,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25958,24957,32107,.,26619,30845,50349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0037,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23702,25081,25560,.,13702,17868,17585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0037,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31234,31585,27613,24259,2499,30507,50733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0037,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27138,27864,23335,.,12281,60833,21807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0037,0000019,45017,7429,4324,8281,7239,7841,4785,1235,3883,39705,5919,3414,7376,6719,7313,4233,1101,3630,3379,577,699,692,313,410,460,52,176,113,38,22,23,30,0,0,0,0,364,290,56,18,0,0,0,0,0,453,243,37,68,0,0,16,26,63,1003,362,96,104,177,118,76,56,14,27586,29234,19893,14602,5725,9579,17364,45017,4056,4258,36703,39705,3356,3571,32778,3379,269,557,2553,113,34,0,79,364,166,78,120,453,210,37,206,1003,21,15,967,45017,7429,4324,8281,7239,7841,4785,1235,3883,39705,5919,3414,7376,6719,7313,4233,1101,3630,3379,577,699,692,313,410,460,52,176,113,38,22,23,30,0,0,0,0,817,533,93,86,0,0,16,26,63,1003,362,96,104,177,118,76,56,14,45017,4056,4258,36703,39705,3356,3571,32778,3379,269,557,2553,113,34,0,79,817,376,115,326,1003,21,15,967
ACSSF,2010e1,al,000,0037,0000020,285329,41583,26155,48685,40603,48836,31154,12762,35551,239467,30043,19109,39408,36032,43364,28171,11664,31676,30704,6767,5565,6794,3803,3730,1724,799,1522,2573,1149,440,779,50,155,0,0,0,3418,1601,425,611,314,63,131,55,218,1122,205,0,298,0,487,0,0,132,8045,1818,616,795,404,1037,1128,244,2003,31140,32503,18394,11206,10865,35564,40081,283815,20695,21185,241935,239051,14798,14430,209823,30704,3939,4883,21882,2573,654,1064,855,2497,653,345,1499,1122,47,0,1075,7868,604,463,6801,285329,41583,26155,48685,40603,48836,31154,12762,35551,239467,30043,19109,39408,36032,43364,28171,11664,31676,30704,6767,5565,6794,3803,3730,1724,799,1522,2573,1149,440,779,50,155,0,0,0,4540,1806,425,909,314,550,131,55,350,8045,1818,616,795,404,1037,1128,244,2003,283815,20695,21185,241935,239051,14798,14430,209823,30704,3939,4883,21882,2573,654,1064,855,3619,700,345,2574,7868,604,463,6801
