ACSSF,2010m1,al,000,0115,0000001,8589,8306,4719,3848,1058,1169,1384,794,1241,276,2491,2697,1072,1671,1982,1530,1415,2329,1677,1636,863,780,524,889,229,1276,244,1058,665,534,404,311,239,4856,1666,1604,581,1412,718,392,930,4209,997,3496,1390,3307,1037,749,608,1774,1242,740,462,810,3783,3058,517,1262,2682,239,927,2546,4877,2447,2060,438,1436,1515,184,273,153,77,929,946,2926,1086,1662,1476,916,741,1806,621,219,1863,295,2310,617,1222,273,1464,1334,8247,4004,2443,953,1934,1523,1404,1019,1231,6439,1672,628,2197,1978,2242,2362,1813,3122,2727,1571,648,313,526,73,924,351,322,837,36,216,73,257,314,58,963,440,303,751,4251,3484,1134,1283,1309,646,538,1216,370,413,2045,1386,271,121,238,575,1011,259,536,1768,1570,673
ACSSF,2010m1,al,000,0115,0000002,7671,5702,3288,2783,792,990,861,561,960,116,1839,1920,805,1266,1451,1147,1019,1654,1353,1344,851,493,445,775,213,827,145,744,321,543,395,305,193,3607,1369,1305,449,1091,640,221,783,2905,813,2415,864,2117,668,542,453,1399,1072,637,429,672,2854,1929,356,851,1750,154,679,1944,3961,1990,1708,274,1005,1119,106,273,128,273,654,747,2283,926,1224,1288,825,592,1682,575,184,1831,128,1771,479,1065,273,1139,921,5324,2985,1719,525,1633,1120,1117,738,925,4314,1319,430,1642,1581,1906,1790,1486,2434,1962,1158,347,313,147,273,855,172,273,798,273,216,73,139,227,273,728,415,287,538,2555,2023,562,955,854,434,363,749,181,339,1084,1022,169,98,238,404,730,168,501,1045,809,672
ACSSF,2010m1,al,000,0115,0000003,7231,5298,3443,2689,737,591,1184,542,676,257,1926,1965,768,1062,1291,1088,853,1441,916,914,352,596,291,473,130,937,170,770,547,255,162,65,187,2727,970,909,331,754,281,326,576,2507,541,2217,1026,1964,724,458,436,1057,684,545,156,373,2859,2452,353,681,2220,154,661,1735,2482,1614,1204,352,1096,872,149,273,84,77,600,510,1582,483,1158,717,448,442,1104,335,120,1038,265,1580,337,769,273,952,928,5365,2489,1410,665,1153,1057,913,646,772,4279,891,507,1546,1125,1407,1294,1408,2398,1557,920,498,273,479,73,565,239,322,213,36,273,273,208,208,58,518,138,108,480,3323,2768,973,921,1059,465,405,843,300,207,1558,927,222,67,273,422,778,200,180,1231,1250,172
ACSSF,2010m1,al,000,0115,0000004,8539,7969,4543,3811,1028,1169,1402,641,1241,256,2422,2643,1050,1649,1933,1505,1403,2280,1636,1598,863,779,521,856,212,1164,244,1024,504,540,407,311,198,4640,1612,1534,572,1388,717,385,914,3995,935,3280,1389,3157,1013,736,525,1679,1261,742,462,809,3613,2954,517,1238,2607,239,911,2454,4961,2285,1824,438,1368,1525,184,273,131,77,927,957,2848,1051,1483,1448,916,709,1782,621,219,1819,295,2286,617,1222,273,1485,1241,8006,3846,2277,808,1937,1429,1391,953,1256,6370,1676,608,2013,1899,2252,2376,1847,2953,2690,1571,518,273,518,273,932,173,322,836,36,216,73,167,307,58,951,440,293,761,3909,3295,989,1230,1267,597,538,1103,214,413,2037,1378,271,121,238,548,990,199,536,1604,1429,606
ACSSF,2010m1,al,000,0115,0000005,7347,7106,4262,3437,910,1146,1350,644,1206,118,2213,2595,1080,1547,1733,1436,1160,2116,1558,1528,860,710,508,772,212,1125,243,1022,396,540,383,311,188,4500,1521,1421,557,1283,713,276,880,3587,773,3087,1313,2872,786,733,523,1316,1294,726,460,784,3246,2653,465,1210,2314,221,797,2284,4324,2208,1854,409,1149,1423,137,273,131,77,850,909,2509,1033,1228,1038,870,612,1771,594,219,1822,295,1921,510,1052,273,1286,887,7228,3196,1979,739,1655,1334,1168,841,1124,6042,1621,469,1873,1852,2065,2208,1594,2669,2467,1261,536,273,536,273,898,173,273,818,273,216,73,167,172,58,734,331,193,619,2924,2407,735,1063,706,575,380,741,273,358,1389,1304,271,121,238,461,993,199,536,1418,1108,603
ACSSF,2010m1,al,000,0115,0000006,5962,4439,2089,1968,565,756,842,543,690,273,1394,1396,609,926,1188,1076,595,1373,952,938,526,387,414,445,142,652,109,567,220,435,279,290,130,2864,1057,1004,317,722,587,273,414,2048,698,1389,487,1270,517,536,376,1131,938,532,434,569,2036,1357,323,542,1133,210,452,1400,3127,1483,1322,238,662,747,106,273,128,273,524,541,1775,835,860,903,631,367,1479,488,26,1463,87,1350,479,723,273,754,717,3580,1806,1101,548,768,738,667,523,864,3030,967,213,997,1157,1295,944,1205,1758,1351,1048,116,273,116,273,826,101,273,781,273,216,73,273,168,273,639,324,185,542,1719,1383,464,584,388,410,363,392,273,337,805,633,273,273,213,154,384,79,357,696,424,512
ACSSF,2010m1,al,000,0115,0000007,7540,6079,3570,2613,749,804,1032,336,916,118,1815,2270,925,1194,1507,1217,955,1414,1112,1073,637,627,324,527,182,925,190,823,341,332,260,160,170,3270,1187,1063,435,966,345,276,747,2676,326,2562,1202,2250,571,391,373,701,852,561,145,543,2861,2433,312,978,2163,74,689,1743,3288,1481,1166,345,936,1015,85,273,25,77,618,718,1831,703,913,751,562,518,1649,459,219,1535,282,1574,166,821,273,1035,681,5610,2731,1562,436,1380,1165,928,647,781,4824,1155,430,1438,1495,1600,1861,1222,2309,1956,659,516,273,516,273,353,114,273,310,273,273,273,167,54,58,313,72,52,281,2519,1977,538,894,598,444,125,640,273,110,1139,1134,271,121,98,436,965,181,380,1111,960,371
ACSSF,2010m1,al,000,0115,0000008,4303,3231,1836,1441,525,354,614,253,304,230,1063,1069,344,575,834,547,696,664,485,485,99,286,163,325,273,341,38,220,254,147,143,273,31,1872,728,714,127,374,82,272,246,1735,525,1285,466,998,575,21,168,914,350,240,60,247,1774,1293,225,285,1148,91,455,1076,2255,1030,666,148,753,320,133,273,273,273,230,164,1410,132,1009,835,370,267,685,205,273,685,273,1126,302,732,273,628,772,3168,1893,865,202,1128,565,610,377,370,2401,513,440,1142,491,887,729,822,1203,1100,774,362,273,362,273,432,273,322,120,36,273,273,273,239,273,513,309,211,349,1946,1818,673,585,1028,173,388,709,214,183,986,323,52,273,273,300,105,273,273,861,860,99
ACSSF,2010m1,al,000,0115,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0115,0000010,3760,2243,1353,1148,448,194,461,202,252,230,921,916,297,458,778,448,626,581,413,413,99,228,163,304,273,321,38,187,254,147,143,273,31,1297,710,685,77,328,273,272,187,1174,324,933,318,718,530,21,17,800,238,186,59,124,1364,1110,91,259,1012,91,284,769,2105,808,596,148,503,293,133,273,273,273,195,164,1177,94,872,740,283,225,594,205,273,576,273,1112,196,778,273,584,569,2522,1438,683,181,949,407,358,346,331,1879,411,383,875,399,643,429,733,830,936,724,362,273,362,273,432,273,322,120,36,273,273,273,239,273,422,280,38,330,1673,1645,622,494,965,176,388,549,97,183,823,282,52,273,273,270,61,273,273,520,513,94
