ACSSF,2010m1,al,000,0032,0000011,6041,9747,9356,8487,9590,7877,4678,2665,3873,3302,2687,2355,2370,839,2367,408,389,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4416,7655,7380,2803,1665,2270,2851,832,2519,5415,484,4416,7655,7380,2897,2897,273,6649,4011,4704,3646,2550,47,548,2207,1203,484,248,273,408,,,,,,,,,,,,,,,,,,,,,,,,,4416,7655,7380,2803,1665,2270,2851,5415,484,4416,7655,7380,2897,6649,4011,4704,3646,2550,484,248,408
ACSSF,2010m1,al,000,0032,0000012,6285,16299,15664,14353,14924,13189,9314,5939,8025,6008,3577,4926,4668,2273,4027,978,839,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3115,11411,10433,8215,4418,6992,4173,1175,3923,6438,4413,4440,1042,912,4416,7655,7380,2803,1665,2270,2851,832,2519,5415,484,3683,13937,13298,5143,5146,145,11587,7778,8376,6246,5052,983,2031,4298,1669,1022,248,171,1000,,,,,,,,,,,,,3115,11411,10433,8215,4418,6992,4173,6438,4413,4440,1042,912,4416,7655,7380,2803,1665,2270,2851,5415,484,3683,13937,13298,5143,11587,7778,8376,6246,5052,1022,248,1014
ACSSF,2010m1,al,000,0032,0000013,1746,6175,5956,4510,5317,4517,4104,2223,3701,2397,1258,1993,2800,1328,2604,656,632,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986,4524,4521,4189,2806,3868,1386,425,1310,3274,2740,2673,760,656,,,,,,,,,,,,986,4524,4521,2476,2476,273,4239,3373,3195,2370,2803,712,1853,2631,422,656,273,273,656,,,,,,,,,,,,,986,4524,4521,4189,2806,3868,1386,3274,2740,2673,760,656,,,,,,,,,,986,4524,4521,2476,4239,3373,3195,2370,2803,656,273,656
ACSSF,2010m1,al,000,0032,0000014,2530,4543,4676,3914,4054,4335,2899,1424,2730,2051,1265,1662,878,201,883,251,273,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,3765,3811,3004,2294,1568,2245,351,2219,1442,567,1153,855,251,,,,,,,,,,,,,,,,,,,,,,,,,,559,3765,3811,1436,1436,273,3789,2760,3141,2169,1633,137,594,1361,273,251,273,273,251,559,3765,3811,3004,2294,1568,2245,351,2219,1442,855,251,,,,,,,,,,,,,,,,,,,,,,559,3765,3811,1436,3789,2760,3141,2169,1633,251,273,251
ACSSF,2010m1,al,000,0032,0000015,1173,3595,3445,2968,3524,2261,2728,1413,2558,1219,259,1186,347,253,236,99,273,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,2870,2897,2697,1596,2158,112,273,112,1276,258,1206,223,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,2870,2897,2697,1596,2158,112,1276,258,1206,223,99,,,,,,,,,,488,2870,2897,1191,2706,2439,1287,1224,359,99,273,99
ACSSF,2010m1,al,000,0032,0000016,704,2883,2834,3102,3424,2484,2652,2112,1699,1033,657,563,794,401,688,96,96,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,3051,3005,2652,799,2655,517,128,499,930,631,634,522,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,3051,3005,2652,799,2655,517,930,631,634,522,96,,,,,,,,,,285,3051,3005,916,2774,2426,1333,1036,797,96,273,96
ACSSF,2010m1,al,000,0032,0000017,3226,3642,3158,3444,3656,2688,1536,1005,1465,1212,910,1044,1146,227,1109,249,273,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,2556,2542,2070,1046,1702,1438,793,1083,623,229,481,391,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,2556,2542,2070,1046,1702,1438,793,1083,623,391,249,,,,,,,,,,,,,,,,,,,,,,266,2556,2542,789,2483,1441,2003,1854,1149,249,273,249
ACSSF,2010m1,al,000,0032,0000018,1221,3571,3510,3709,4117,2716,3490,2124,2380,1830,1227,1324,527,473,265,273,273,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,3752,3796,3465,1494,3302,1529,522,1432,1018,382,973,514,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,3752,3796,3465,1494,3302,1529,522,1432,1018,514,273,,,,,,,,,,,,,,,,,,,,,,743,3752,3796,2631,3010,2208,1935,1815,527,273,273,273
ACSSF,2010m1,al,000,0032,0000019,1254,2370,2468,2260,2410,2393,1462,666,1375,787,454,755,1303,428,1170,222,122,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,2173,2169,1688,1241,1104,1122,589,886,689,357,534,579,222,,,,,,,,,,,,,,,,,,,,,,,,,,328,2173,2169,1165,1165,273,1895,837,1564,992,1322,77,213,1328,107,222,87,273,208,328,2173,2169,1688,1241,1104,1122,589,886,689,579,222,,,,,,,,,,,,,,,,,,,,,,328,2173,2169,1165,1895,837,1564,992,1322,222,87,208
ACSSF,2010m1,al,000,0032,0000020,3698,11279,10676,8742,11154,10238,7820,3976,7287,3472,1905,2656,3634,1558,3508,645,342,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506,9011,8757,8359,6428,6327,3984,3328,1958,1599,1177,1118,853,732,,,,,,,,,,,,,,,,,,,,,,,,,,1506,9011,8757,6285,6234,368,7926,5723,4787,3429,3647,2606,1170,1804,919,732,273,273,732,1506,9011,8757,8359,6428,6327,3984,3328,1958,1599,853,732,,,,,,,,,,,,,,,,,,,,,,1506,9011,8757,6285,7926,5723,4787,3429,3647,732,273,732
