ACSSF,2010e1,al,000,0077,0000011,470064,28395,6166,0,0,0,6166,6011,0,0,0,6011,4336,0,0,0,4336,2263,0,0,0,2263,9619,113,0,113,9506,84542,14906,1634,181,543,1047,260,105,13272,15333,3079,157,672,2282,420,495,12254,13647,1074,123,0,679,233,133,12573,8071,693,0,82,611,0,0,7378,32585,1058,215,222,592,195,109,31527,357127,27459,7268,1375,1902,2888,4323,1113,3173,20191,49281,19971,4500,5024,7899,13856,5666,10247,29310,52790,16994,4549,3094,6806,10997,4252,7754,35796,36123,10710,3252,2742,3189,7298,2426,5304,25413,191474,34106,11215,7439,9499,20979,6996,13260,157368,473258,113277,7651,7524,1811,6400,127,105626,99667,52187,52309,5959,284011,54340,43966,21690,29636,10374,229671,170768,147486,29853,58903,75970,35120,35120,19930,34974,0,40850,40850,26885,39942,0,23440,17610,22367,15046,23991,28766,19491,470064,48531,8902,39629,70625,23050,47575,70773,18068,52705,46457,11403,35054,233678,35277,198401
ACSSF,2010e1,al,000,0077,0000012,1324134,84762,15866,57,57,0,15809,15255,339,339,0,14916,13378,0,0,0,13378,8451,0,0,0,8451,31812,169,56,113,31643,235344,36270,4323,181,846,3398,409,287,31947,40040,5354,322,978,4204,718,942,34686,35383,3253,231,332,2775,459,528,32130,22514,1262,62,267,933,26,26,21252,101137,3626,354,577,2233,610,632,97511,1004028,74897,19406,3353,4138,8409,11494,3215,8404,55491,114974,42197,8846,8942,17234,29338,9706,19263,72777,127801,39762,11772,8570,15551,25093,9814,17369,88039,105624,30002,8895,5995,10070,20194,6584,12853,75622,580732,99345,32959,19298,27684,59326,20263,37794,481387,1334009,322812,18609,18004,4670,14688,605,304203,284506,157380,137271,19697,806116,137472,111782,59366,72227,25690,668644,502773,451678,70873,165871,205081,93651,93651,57931,93407,0,111430,111230,74614,109297,200,22879,17039,21130,14773,23557,28427,20127,1324134,127033,23786,103247,170269,47890,122379,176562,43015,133547,136589,31264,105325,713681,103140,610541
ACSSF,2010e1,al,000,0077,0000013,180461,10717,976,57,57,0,919,1598,0,0,0,1598,1516,0,0,0,1516,1624,0,0,0,1624,5003,56,56,0,4947,31148,2888,254,0,0,254,0,0,2634,2629,214,0,81,133,133,133,2415,4704,1093,0,167,1093,0,167,3611,3065,124,62,62,0,0,0,2941,17862,211,0,0,145,0,66,17651,138596,5882,1856,486,459,267,1370,186,775,4026,9637,2321,516,622,657,1482,327,760,7316,12031,2304,662,492,832,1210,370,756,9727,13982,2961,631,674,934,1979,886,1489,11021,97064,14844,5803,2226,4520,9088,3946,6536,82220,180735,42139,2009,1836,513,1488,173,40130,34564,24947,10540,5566,108979,13178,10271,6156,6280,2907,95801,72299,68321,7563,23502,29617,11108,11108,8324,11049,0,18509,18509,11864,18179,0,24423,16495,17694,9320,24995,34613,20663,180461,9746,2167,7579,13864,2535,11329,18251,3397,14854,18671,3085,15586,119929,15111,104818
ACSSF,2010e1,al,000,0077,0000014,116466,7381,722,0,0,0,722,1505,47,47,0,1458,965,56,56,0,909,628,0,0,0,628,3561,0,0,0,3561,19466,4319,130,0,73,57,0,0,4189,2591,477,0,0,477,439,439,2114,3277,46,0,46,0,0,0,3231,1607,33,0,0,0,33,0,1574,7672,148,0,0,101,47,0,7524,89619,9784,1646,367,131,456,1000,462,470,8138,10161,3967,1379,948,2247,2389,676,2477,6194,11997,4793,1734,1774,2791,3350,2147,2889,7204,7140,2181,449,719,622,1551,597,692,4959,50537,7771,1971,1686,2537,4802,1887,3217,42766,117641,26961,937,910,181,783,27,26024,25084,14089,13637,940,74048,12787,10360,5000,7857,2427,61261,48151,42665,8240,13110,16632,7571,7571,5553,7474,0,9061,9061,7181,8977,0,23333,16547,17237,14911,24557,32280,17650,116466,14825,1776,13049,14257,4491,9766,16239,4895,11344,9375,2214,7161,61770,7919,53851
ACSSF,2010e1,al,000,0077,0000015,79677,4817,890,0,0,0,890,516,0,0,0,516,560,0,0,0,560,330,0,0,0,330,2521,0,0,0,2521,14075,1505,170,0,0,170,0,125,1335,2632,14,0,0,14,0,0,2618,1467,38,0,0,38,38,0,1429,1373,0,0,0,0,0,0,1373,7098,256,0,62,256,0,0,6842,60785,5672,1333,548,258,704,875,219,525,4339,5633,2320,576,491,1084,1630,492,802,3313,7465,2700,1137,739,1299,1771,954,1176,4765,6499,1810,457,232,572,1404,472,636,4689,35516,6973,2102,955,1765,4700,1773,3627,28543,79992,19207,478,478,62,416,0,18729,18026,11130,7561,703,48160,8690,6674,3507,4503,2016,39470,29703,27165,3335,9767,12625,6446,6446,3868,6446,0,6179,6179,4229,6016,0,21113,8550,14435,7931,21863,23750,20697,79677,8067,1503,6564,8781,2334,6447,9492,2738,6754,8202,1810,6392,45135,7229,37906
ACSSF,2010e1,al,000,0077,0000016,70453,4842,177,0,0,0,177,999,217,217,0,782,599,0,0,0,599,242,0,0,0,242,2825,0,0,0,2825,13391,1964,234,0,234,57,57,57,1730,2469,0,0,0,0,0,0,2469,3036,105,0,45,60,0,0,2931,903,0,0,0,0,0,0,903,5019,119,0,35,84,0,0,4900,52220,2445,759,78,19,533,621,471,613,1686,5734,2349,312,269,775,1798,534,839,3385,7514,2006,472,343,643,1384,400,948,5508,6537,2253,1136,320,867,1518,461,1183,4284,29990,3840,1719,179,794,2084,544,768,26150,70764,18544,675,675,224,451,0,17869,17246,8742,9037,623,42707,7282,5841,3517,3105,1441,35425,25940,24036,2717,9485,9513,3925,3925,2086,3925,0,5588,5588,3932,5507,0,21781,20080,34561,18552,22026,26383,19656,70453,4586,993,3593,9202,2566,6636,11149,2111,9038,7682,2253,5429,37834,3959,33875
ACSSF,2010e1,al,000,0077,0000017,71747,4871,73,0,0,0,73,718,0,0,0,718,435,0,0,0,435,818,0,0,0,818,2827,0,0,0,2827,13318,576,0,0,0,0,0,0,576,1340,170,0,41,92,37,0,1170,1280,44,0,0,44,0,0,1236,1111,0,0,0,0,0,0,1111,9011,470,0,0,425,45,45,8541,53558,1981,440,182,14,198,386,100,250,1541,3235,1118,316,358,666,732,201,425,2117,3292,980,261,272,380,445,218,317,2312,4847,1055,603,78,267,874,136,180,3792,40203,5426,1942,1009,2168,2887,688,1196,34777,71895,18337,684,344,194,200,340,17653,17011,12817,4728,642,44723,5400,4190,3061,1777,1210,39323,33664,33021,1961,5659,8835,3619,3619,2516,3619,0,5216,5216,4243,5177,0,28764,29776,50594,14569,28658,38821,22277,71747,2630,440,2190,5293,1288,4005,5007,1024,3983,6776,1055,5721,52041,5896,46145
ACSSF,2010e1,al,000,0077,0000018,103120,5518,741,0,0,0,741,1250,0,0,0,1250,874,0,0,0,874,682,0,0,0,682,1971,0,0,0,1971,17739,1227,30,0,30,0,0,0,1197,3230,66,0,0,66,0,0,3164,3794,136,0,66,0,70,70,3658,1476,203,0,81,135,149,149,1273,8012,650,18,66,415,0,151,7362,79863,4454,1563,422,157,802,993,483,729,2891,7717,2315,401,453,650,1716,391,1008,5402,10549,3453,651,804,1675,2440,468,1685,7096,10440,3327,1147,528,1695,2149,882,1496,7113,46703,7930,3361,1417,3089,4431,1779,3417,38773,103672,23809,1085,1019,501,734,66,22724,20781,11649,10399,1943,63565,11662,9466,4472,6460,2196,51903,37992,33861,5648,13911,16298,6926,6926,4480,6926,0,9372,9361,6926,9185,11,22596,20774,28650,16361,23061,29214,16669,103120,6422,1593,4829,12197,2381,9816,15217,3589,11628,12598,3530,9068,56686,8580,48106
ACSSF,2010e1,al,000,0077,0000019,98817,6627,909,0,0,0,909,1201,0,0,0,1201,1297,0,0,0,1297,670,0,0,0,670,2550,22,22,22,2528,17240,2533,157,0,22,147,0,71,2376,2246,451,0,8,443,0,0,1795,2729,339,101,126,238,46,46,2390,1724,48,0,0,39,0,0,1676,8008,299,26,56,261,56,41,7709,74950,4329,848,163,90,484,518,77,292,3481,6680,1900,425,477,995,1134,388,762,4780,9812,2963,901,729,1056,2481,857,1323,6849,7203,1738,421,419,445,1219,407,668,5465,46926,7217,2610,881,2443,4437,1484,2554,39709,99301,24351,1423,1423,389,1090,0,22928,21552,11558,10584,1376,60915,7972,6816,3691,4369,1156,52943,40763,37457,4374,12180,14035,6694,6647,4079,6635,47,7341,7341,5521,7301,0,25587,15109,22005,11708,26061,31700,21314,98817,7771,1005,6766,10127,2351,7776,13838,3302,10536,9597,1786,7811,57484,7538,49946
ACSSF,2010e1,al,000,0077,0000020,644634,43183,6365,0,0,0,6365,7121,127,127,0,6994,5528,46,46,46,5482,3503,0,0,0,3503,20666,235,235,0,20431,109023,12172,1016,0,188,801,148,301,11156,17630,2003,0,513,1536,271,323,15627,13372,1210,107,129,894,271,116,12162,9173,114,0,0,54,0,0,9059,56676,2360,281,135,1879,190,408,54316,492428,31038,6844,1506,1589,2685,3863,873,3186,24194,45390,13409,2859,2796,6041,8580,2723,6059,31981,50865,15033,2747,3029,5665,10354,3540,7058,35832,46768,12825,3073,2105,5710,8262,3273,6867,33943,318367,41227,11448,5530,13987,24234,8555,17054,277140,649986,153513,7111,6980,2763,4605,131,146402,137232,84148,56871,9170,412756,54017,43120,22956,27375,10897,358739,287307,260717,34221,71432,83717,35321,35321,22109,34895,0,48396,48206,32431,46945,190,26880,18089,17302,18491,27850,32036,24276,644634,49575,7860,41715,70141,15539,54602,69765,16289,53476,59444,12939,46505,395709,43822,351887
