ACSSF,2010m1,al,000,0051,0000011,4246,6495,6663,849,6727,6816,1607,1938,1939,291,2786,2786,54,4109,4148,377,4314,6516,4282,2720,2298,1846,3573,3671,2699,2233,1514,2878,6727,3834,3709,3544,918,2531,3828,2891,2769,1018,2845,1938,1142,965,899,430,571,1323,921,877,451,1218,2786,1367,591,591,273,1225,2296,846,859,122,2122,4109,2631,1924,1714,927,1323,2326,1503,1597,742,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0051,0000012,3574,8831,9030,2381,12318,11988,2857,3695,3720,384,4548,4535,394,7713,7652,805,3899,9029,6027,4156,3884,2917,4762,4683,3884,3863,2092,3283,12318,6434,5988,5842,1710,3513,7154,5562,5348,1603,4336,3694,2230,1662,1590,513,1330,2453,1599,1532,627,1764,4548,2130,1070,1071,259,1725,3538,1605,1613,319,3140,7713,4524,3649,3468,1224,2449,4827,3541,3279,1658,3330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0051,0000013,493,3063,3081,1071,5155,4863,1552,1087,1087,273,1520,1514,154,3056,3059,610,899,3192,1966,1621,1481,971,1326,1769,1682,1551,893,1386,5155,2806,2544,2379,744,1130,2928,1991,2026,598,1906,1087,554,545,545,273,127,876,865,859,105,264,1520,698,274,274,273,682,1360,701,695,199,1187,3056,1772,1584,1455,526,671,1857,1460,1321,686,1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0051,0000014,271,2228,2187,332,3522,3372,774,1144,1075,327,1134,1118,240,2352,2333,127,558,2243,1444,1398,1244,778,1405,1566,1098,1069,734,1413,3522,2050,1781,1695,237,1199,1984,1518,1341,647,1302,1144,590,462,462,273,469,1015,874,650,521,530,1134,500,222,212,60,452,959,439,439,273,851,2352,1368,961,843,450,980,1400,1003,960,338,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0051,0000015,594,2043,2075,761,3140,3014,415,880,855,255,1217,1186,180,1583,1583,273,691,2206,1500,1243,949,857,1219,1080,717,596,632,996,3140,1781,1502,1438,438,1059,1688,1412,1341,441,1054,880,660,456,453,41,418,641,555,534,148,391,1217,518,339,274,204,418,1003,575,561,139,743,1583,1053,766,739,163,731,1188,958,870,227,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0051,0000016,642,1720,1380,750,2879,2700,727,1012,1012,273,1114,1114,273,1159,1159,273,641,1741,1215,1145,926,734,549,1202,1029,907,289,564,2879,1511,1184,1212,706,999,1644,1192,1186,340,1320,1010,651,375,358,98,659,551,170,168,30,533,1114,287,137,137,273,261,993,684,702,132,833,1159,640,552,554,183,427,845,592,534,251,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0051,0000017,245,1600,1597,74,3068,2866,628,582,582,273,1192,1192,273,1472,1473,118,493,1671,1161,902,811,302,1195,998,1125,874,418,1054,3068,1664,1669,1669,144,814,1890,2104,2041,353,1214,582,420,349,337,80,317,354,359,358,33,185,1192,630,418,418,273,419,727,303,303,273,708,1472,851,620,573,294,608,1195,767,750,259,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0051,0000018,249,1864,1899,791,3451,3420,262,919,919,273,1267,1256,200,1878,1885,183,563,1873,1510,1387,1638,694,1035,1124,1056,947,512,948,3451,2016,1790,1716,727,955,1960,1645,1519,503,1476,919,359,348,311,189,128,787,448,347,303,727,1267,400,168,168,273,394,1099,506,495,132,1032,1878,1337,1067,1045,289,801,1231,879,842,354,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0051,0000019,111,1249,1199,236,2292,2229,418,540,538,65,686,686,51,1329,1314,206,265,1302,844,633,525,333,599,795,728,753,275,529,2292,1210,1091,1061,131,755,1334,1020,1035,179,930,540,337,291,291,273,168,464,406,385,111,219,686,245,106,107,22,219,615,250,250,31,586,1329,680,597,517,194,452,937,671,637,178,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0051,0000020,780,5511,5152,2200,8315,7881,2263,2033,1904,774,3292,3207,606,5522,5352,787,1365,5851,3322,3603,3194,1814,2853,3380,3495,3381,1449,2903,8315,4250,4267,4188,1286,2102,4504,3541,3491,1065,3118,2033,1561,1410,1332,393,729,1335,1155,1118,583,738,3292,1548,694,586,387,1215,2506,1319,1183,489,1877,5522,3137,2402,2366,664,1822,3601,3124,2810,1045,2121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
