ACSSF,2010m1,al,000,0158,0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526,2113,1547,1343,1907,1494,1331,1893,943,1492,2112,878,2048,1984,1024,1610,1119,836,779,650,572,499,141,141,273,547,232,601,4371,2007,2029,262,2696,2627,612,1525,1118,1138,1202,965,739,1083,965,587,1270,842,783,925,912,301,618,618,273,572,572,273,2527,2906,3245,1810,2949,4140,3664,2276,4714,4434,2633,5192,5180,2270,5498,5008,1648,4799,4463,732,2719,2573,1100,1214,361,1289,1283,160,2377,1961,1955,1332,2062,2702,2547,2229,1805,2080,3268,2209,3367,2728,1650,2328,1837,1512,1143,1006,876,588,609,609,75,948,724,601,,,,,,,,,,,6526,2838,2113,1878,4406,1763,3954,563,277,601,4371,3631,3571,629,2579,2203,1711,837,837,273,2527,577,4596,4625,2326,10753,10291,1402,1477,378,2377,1785,3292,2967,2053,4051,4142,1121,1028,637
ACSSF,2010m1,al,000,0158,0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5157,1971,1285,1343,1430,998,1158,1360,535,1187,1797,689,1743,1303,523,1260,1030,740,794,558,423,405,125,125,273,546,201,601,3595,1805,1844,224,1925,1827,561,1265,895,1023,837,670,500,910,897,345,668,551,500,596,551,266,376,376,273,445,445,273,17860,4264,4290,1259,7609,7940,2143,4376,4732,3191,5774,5546,3915,5221,4937,2588,5796,5296,3146,5190,5184,1987,3682,3730,321,2918,2918,273,7029,2035,1841,1262,2345,2330,2048,2215,1326,1860,3354,1868,3296,2357,1209,2045,1520,1175,978,839,689,438,457,452,75,832,522,601,,,,,,,,,,,5157,2443,1666,1776,3554,1547,3243,561,238,601,3595,2705,2643,607,1953,1684,1453,573,573,273,17860,7991,8616,3089,11770,11932,7407,5030,5079,321,7029,3167,3083,2491,5011,3547,4561,994,760,637
ACSSF,2010m1,al,000,0158,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4411,1041,1041,273,1296,1069,757,1560,843,998,1275,441,1167,1452,909,1069,451,384,189,441,329,293,63,63,273,179,179,273,3722,1190,1171,192,2024,2001,290,893,744,476,886,641,609,710,419,525,1164,766,646,803,798,160,536,536,273,378,378,273,18166,3962,4275,1289,7800,7222,2584,5131,5104,3288,6008,5311,3891,5174,5963,4362,5890,5693,3557,5292,5090,2920,3537,3538,183,2895,2900,160,7630,1982,1984,305,2682,2649,1483,2130,1351,1533,2371,886,2065,1975,1313,1278,1355,857,1142,832,706,421,501,501,273,437,437,273,,,,,,,,,,,4411,1700,1487,757,3132,1464,2265,189,189,273,3722,2635,2580,371,2312,1511,1371,656,656,273,18166,8000,7928,2841,11882,12012,8161,4877,4836,242,7630,3589,3709,1470,4906,2840,3655,639,639,273
ACSSF,2010m1,al,000,0158,0000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6351,2110,1547,1343,1828,1487,1281,1893,943,1492,2115,872,2051,1827,1024,1459,1107,843,778,639,553,499,132,132,273,547,232,601,4282,1991,2011,263,2566,2512,612,1526,1132,1130,1175,966,681,1065,965,539,1267,866,751,848,845,277,572,572,273,559,559,273,4472,3038,3392,1767,3110,4371,3616,1704,4611,4406,2107,5358,4918,2109,5006,4334,1748,4815,4548,1329,2963,2547,1454,1562,361,1870,1883,160,1827,1878,1936,1332,1931,2559,2522,2143,1727,2023,3288,2170,3308,2389,1634,2070,1781,1430,1127,975,865,558,608,608,75,919,693,601,,,,,,,,,,,6351,2793,2104,1850,4282,1752,3848,564,268,601,4282,3325,3275,629,2597,2192,1725,788,788,273,4472,1739,4685,4587,3349,10954,10586,2642,2739,378,1827,1606,3316,2942,1721,3893,3965,1046,948,637
ACSSF,2010m1,al,000,0158,0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5663,1773,1345,1051,1721,1440,1220,1534,491,1417,1869,745,1772,1597,958,1281,1075,778,791,646,528,382,59,59,273,547,232,601,3950,1788,1773,177,2117,2159,505,1479,1087,1095,1068,794,709,1049,955,507,1041,760,561,753,732,214,512,512,273,528,528,273,3489,2546,2813,1580,2616,3610,2961,1205,3991,3639,1671,4656,4319,1690,4283,3650,1424,4319,4069,962,2311,2140,1165,1223,331,1773,1780,160,1779,1703,1788,1169,1584,2030,1960,1696,1311,1801,2902,1774,2931,2259,1519,1947,1479,1201,1055,933,798,438,518,517,75,897,640,601,,,,,,,,,,,5663,2463,2011,1695,3797,1743,3341,548,243,601,3950,2888,2859,484,2471,1944,1572,726,726,273,3489,1431,3857,3808,2514,10118,9350,2361,2402,351,1779,1493,2745,2317,1522,3489,3600,1037,837,637
ACSSF,2010m1,al,000,0158,0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4125,1561,1109,918,1241,890,781,1190,386,1101,1470,545,1463,785,463,759,745,664,489,376,376,273,273,273,273,203,201,19,2806,1459,1460,95,1397,1387,415,1151,690,948,738,593,368,647,602,257,529,502,334,465,465,117,303,303,273,359,359,273,10231,2545,2486,791,4620,4533,1049,3867,3951,2346,4401,3925,2332,3591,3402,1587,4188,3895,2069,4293,4221,917,2985,2984,90,2844,2844,273,4171,1419,1261,1087,1711,1818,1309,1353,1139,1183,2328,1157,2343,1391,798,1422,1107,806,655,613,541,264,399,391,75,512,511,19,,,,,,,,,,,4125,1969,1406,1287,2579,1320,2455,203,201,19,2806,2304,2278,424,1652,1273,1053,473,473,273,10231,4863,4903,1554,8499,8873,4582,4110,4115,90,4171,2014,2252,1721,2901,2387,3218,641,634,75
ACSSF,2010m1,al,000,0158,0000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3922,801,750,501,1379,1035,901,1079,286,981,1496,539,1349,1316,846,1024,685,339,583,522,359,382,59,59,273,618,179,601,3536,1350,1353,159,1733,1743,251,1014,879,631,753,613,556,802,676,452,1036,771,502,485,485,181,480,480,273,371,371,273,10247,2815,3047,1421,4252,4323,2550,3811,3923,2735,4571,4967,3744,3592,4755,3712,4262,5618,3444,4363,4316,2135,3260,3302,317,2757,2768,160,4890,1732,1648,529,2200,1795,1455,1768,861,1519,2454,1129,2243,1724,1237,1376,1186,784,973,782,702,391,384,384,273,678,327,601,,,,,,,,,,,3922,1661,1361,1018,2742,1093,2468,617,189,601,3536,2451,2468,290,2093,1478,1309,596,596,273,10247,4631,4816,3134,8643,10325,8008,4162,4203,339,4890,2546,2452,1577,3121,2349,3123,742,481,601
ACSSF,2010m1,al,000,0158,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3538,1170,971,684,593,328,490,1325,851,591,1003,359,973,714,335,589,392,342,176,380,241,311,120,120,273,273,273,273,2277,951,942,206,1589,1516,397,632,577,219,541,512,213,326,294,135,616,432,494,450,421,186,366,366,273,157,157,273,3260,1450,1662,914,1383,2416,1911,1245,2012,2176,1734,2617,2245,1331,2727,2409,1312,2648,2414,1041,1892,1648,833,872,170,916,916,273,690,1141,869,618,1105,1415,1348,1199,913,1032,1681,896,1619,1090,638,1079,1039,691,823,610,476,399,336,336,273,298,298,273,,,,,,,,,,,3538,1405,1079,718,2568,1119,1861,120,120,273,2277,2006,1910,446,995,849,688,410,410,273,3260,983,2825,2428,2645,5432,5095,1328,1362,170,690,664,1408,1463,975,1510,1653,467,467,273
ACSSF,2010m1,al,000,0158,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8083,1991,1973,468,3017,2979,1116,1842,1604,784,2268,2076,1433,2836,2689,992,2548,2232,1559,2638,2761,865,1945,1945,273,1586,1586,273,4187,1112,916,542,1535,983,1410,1069,290,1059,1546,651,1524,1089,362,932,689,469,358,380,380,273,67,67,273,297,297,273,,,,,,,,,,,,,,,,,,,,,1100,836,780,427,532,473,350,278,278,273,8083,3598,3540,1347,5792,5731,2426,2605,2605,273,4187,2174,1537,1483,2383,960,2252,307,307,273
ACSSF,2010m1,al,000,0158,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201,820,822,133,1518,1497,129,619,549,230,484,468,191,276,268,69,442,268,418,442,417,111,242,242,273,136,136,273,8399,2257,2186,819,3060,3207,1421,2035,2089,2187,2835,2614,2106,2878,3058,2289,2488,2832,1881,2806,2799,1497,2118,2151,170,1633,1633,273,4200,1099,1087,297,1686,1548,607,1164,847,746,1304,616,1145,995,621,779,958,452,881,509,302,399,329,329,273,101,101,273,,,,,,,,,,,3223,1213,987,464,2310,1015,1689,120,120,273,2201,1850,1833,225,920,763,577,288,288,273,8399,3548,3829,1875,5965,6187,4590,2819,2823,170,4200,2194,2070,622,2393,1335,2065,361,361,273
