ACSSF,2010e1,al,000,0122,0000001,1978825,38237,139886,270156,55155,242965,98189,33680,113437,180415,423565,165400,101656,116084,630546,10001,22114,52820,6822,22968,14773,14631,45783,85128,265204,23483,22300,44519,332024,1391,675,6056,800,8411,2962,873,4271,37964,87682,111900,34446,34593,498720,2101,9060,29802,29009,174272,20316,12781,59548,39513,55302,24737,16393,25886,207577,19385,98811,22056,4190,9695,11984,4180,2717,3682,5249,1741,17865,6022,309958,5359,9226,159422,14334,27619,48154,1215,1118,14128,10128,3539,10652,5064
ACSSF,2010e1,al,000,0122,0000002,1059686,9702,62710,120932,26443,131579,46368,21814,66264,111298,239132,107843,56787,58814,361930,2082,10475,27292,3433,13145,7742,9487,29175,54515,152407,15082,13115,23980,190632,443,177,1586,573,4039,1415,703,1904,22691,49558,71496,20111,15936,277177,450,4546,14068,14731,96332,9553,8534,32543,24311,30700,17515,9720,14174,87549,4528,44892,8190,1433,4541,4714,2181,1792,1542,2100,1063,7981,2592,142398,2199,2620,69796,6273,13522,22944,909,850,8239,4367,2687,5860,2132
ACSSF,2010e1,al,000,0122,0000003,919139,28535,77176,149224,28712,111386,51821,11866,47173,69117,184433,57557,44869,57270,268616,7919,11639,25528,3389,9823,7031,5144,16608,30613,112797,8401,9185,20539,141392,948,498,4470,227,4372,1547,170,2367,15273,38124,40404,14335,18657,221543,1651,4514,15734,14278,77940,10763,4247,27005,15202,24602,7222,6673,11712,120028,14857,53919,13866,2757,5154,7270,1999,925,2140,3149,678,9884,3430,167560,3160,6606,89626,8061,14097,25210,306,268,5889,5761,852,4792,2932
ACSSF,2010e1,al,000,0122,0000004,1808611,28978,125900,233965,51983,221887,86067,32443,106841,173035,389710,155325,94347,108130,589237,8076,20606,48774,6554,20898,12935,14143,43332,82700,246566,21720,20414,42519,306545,1100,641,4814,777,7624,2801,873,4064,35511,79441,104749,32108,32042,460427,1328,8467,26905,27163,160583,17910,12227,55741,38326,49967,23697,15257,22856,184023,14753,88856,17733,4029,8669,10928,4028,2599,3559,4768,1620,16648,5833,268379,3721,7330,135739,13460,24113,41493,1172,1105,12939,8968,3539,9920,4880
ACSSF,2010e1,al,000,0122,0000005,1464254,20563,99444,176858,42720,178957,69485,27790,89491,147879,319790,128136,76476,86665,493985,5318,17410,40311,5374,17750,10801,12057,36470,73821,202548,19288,17114,35723,242934,842,569,3603,446,5708,2432,803,3031,28472,63830,84474,24823,23901,381058,854,6752,20560,22577,130142,14640,10617,47275,33047,42655,19659,13385,18895,139513,10446,68264,13053,3286,6676,7862,3210,1874,2513,3700,1421,12537,4671,206764,3103,6449,99331,11037,18681,33750,1103,841,10026,7057,3294,8617,3475
ACSSF,2010e1,al,000,0122,0000006,551584,4100,30256,54642,12591,65187,23121,10905,30673,59343,135391,61322,29825,34228,196124,912,5181,14218,1376,7559,3244,4365,12267,29819,85274,10147,6707,15055,106724,243,128,824,303,2311,628,620,1078,11198,29079,40888,10558,8866,135288,183,2448,5774,6645,45964,3882,3859,16264,12605,17109,7911,5042,7602,41832,1773,21071,2580,652,2528,2604,1338,706,608,1385,589,4536,1462,71616,989,1428,31246,3615,6825,12763,723,358,5113,2544,1787,2982,1243
ACSSF,2010e1,al,000,0122,0000007,912670,16463,69188,122216,30129,113770,46364,16885,58818,88536,184399,66814,46651,52437,297861,4406,12229,26093,3998,10191,7557,7692,24203,44002,117274,9141,10407,20668,136210,599,441,2779,143,3397,1804,183,1953,17274,34751,43586,14265,15035,245770,671,4304,14786,15932,84178,10758,6758,31011,20442,25546,11748,8343,11293,97681,8673,47193,10473,2634,4148,5258,1872,1168,1905,2315,832,8001,3209,135148,2114,5021,68085,7422,11856,20987,380,483,4913,4513,1507,5635,2232
ACSSF,2010e1,al,000,0122,0000008,344357,8415,26456,57107,9263,42930,16582,4653,17350,25156,69920,27189,17871,21465,95252,2758,3196,8463,1180,3148,2134,2086,6862,8879,44018,2432,3300,6796,63611,258,72,1211,331,1916,369,70,1033,7039,15611,20275,7285,8141,79369,474,1715,6345,4586,30441,3270,1610,8466,5279,7312,4038,1872,3961,44510,4307,20592,4680,743,1993,3066,818,725,1046,1068,199,4111,1162,61615,618,881,36408,2423,5432,7743,69,264,2913,1911,245,1303,1405
ACSSF,2010e1,al,000,0122,0000009,111985,2076,7182,18287,2961,13943,4295,1453,5918,9525,24671,9334,5792,6548,34070,581,1050,3047,239,1022,561,870,2843,3752,16060,815,1037,2193,19762,95,0,65,159,393,92,0,306,1979,5263,6728,2230,2452,28135,50,460,2272,1939,10917,676,494,2396,2446,2886,1542,671,1386,11715,825,5576,1630,0,335,965,89,296,288,105,66,1239,301,18303,525,96,11273,624,1276,2001,0,77,1060,357,183,615,216
ACSSF,2010e1,al,000,0122,0000010,232372,6339,19274,38820,6302,28987,12287,3200,11432,15631,45249,17855,12079,14917,61182,2177,2146,5416,941,2126,1573,1216,4019,5127,27958,1617,2263,4603,43849,163,72,1146,172,1523,277,70,727,5060,10348,13547,5055,5689,51234,424,1255,4073,2647,19524,2594,1116,6070,2833,4426,2496,1201,2575,32795,3482,15016,3050,743,1658,2101,729,429,758,963,133,2872,861,43312,93,785,25135,1799,4156,5742,69,187,1853,1554,62,688,1189
