ACSSF,2010e1,al,000,0022,0000001,4785298,160,232,73,660698,9057,342,113,328,5206,206,943,322,1165,479,400,63,370,4130,75,924,951,14951,421,1633,3551,69,367,1377,0,3720,2078,3377,49685,932,418961,64,39744,1208,91804,8038,338979,0,9601,63,4936,306,1551,467002,609,81993,212,1788,638,60,136,58,1405,14013,181,32003,3913,1740,8843,3704,75353,97784,599,1206,1713,443,0,35881,0,679,0,800,0,1801,0,90,58,209,1072,206,194,30336,549,16228,4910,2424,2723,17082,8609,563,228,40,176,152,528,486,4457,428,366,1393,33,781,1970790,920323,4785298,3864975,3132615,732360,920323,74003,846320,4785298,660698,9057,14951,3720,3377,49685,418961,39744,91804,8038,338979,9601,4936,467002,81993,1788,14013,32003,3913,8843,75353,97784,1713,35881,16228,4910,2723,17082,8609,2002144,920323,4785298,3864975,3132615,732360,920323
ACSSF,2010e1,al,000,0022,0000002,2507522,160,177,73,271641,5806,89,113,90,3503,206,943,16,550,296,240,63,203,2187,75,459,724,8577,109,1089,1901,0,367,648,0,2327,1325,1816,23753,439,220519,64,24006,768,54608,4148,172279,0,6190,47,3393,75,1083,219510,609,45944,130,1293,534,60,136,58,981,8801,0,16910,1290,591,5334,2877,42505,52005,502,450,1167,380,0,23677,0,679,0,800,0,708,0,90,58,167,1072,0,194,19473,549,9829,2018,1925,1481,10162,7089,166,228,40,176,152,259,433,3879,133,366,1271,33,397,1178073,399747,2507522,2107775,1729073,378702,399747,30595,369152,2507522,271641,5806,8577,2327,1816,23753,220519,24006,54608,4148,172279,6190,3393,219510,45944,1293,8801,16910,1290,5334,42505,52005,1167,23677,9829,2018,1481,10162,7089,1198184,399747,2507522,2107775,1729073,378702,399747
ACSSF,2010e1,al,000,0022,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2277776,1757200,1403542,353658,520576,43408,477168,2277776,389057,3251,6374,1393,1561,25932,198442,15738,37196,3890,166700,3411,1543,247492,36049,495,5212,15093,2623,3509,32848,45779,546,12204,6399,2892,1242,6920,1520,803960,520576,2277776,1757200,1403542,353658,520576
ACSSF,2010e1,al,000,0022,0000004,4300537,160,232,73,580387,8917,342,113,328,5206,206,943,322,1025,479,400,63,370,4015,75,856,951,13063,421,1528,3296,0,367,1377,0,3720,2078,3168,44150,932,385932,64,38767,1208,87872,7760,316514,0,9208,63,4470,306,1551,421494,530,78083,212,1788,638,60,136,15,1405,13644,181,30362,3838,1740,8332,3429,70493,91253,599,539,1713,434,0,33315,0,679,0,800,0,1801,0,90,58,209,1072,206,194,27770,549,15366,4910,2250,2703,15811,8412,563,228,40,176,152,528,392,4354,428,366,1393,33,781,1754951,821537,4300537,3479000,2800669,678331,821537,66905,754632,4300537,580387,8917,13063,3720,3168,44150,385932,38767,87872,7760,316514,9208,4470,421494,78083,1788,13644,30362,3838,8332,70493,91253,1713,33315,15366,4910,2703,15811,8412,1784789,821537,4300537,3479000,2800669,678331,821537
ACSSF,2010e1,al,000,0022,0000005,3421459,160,177,73,440057,8083,89,113,328,4990,206,943,322,660,479,334,63,327,3122,75,702,525,10441,226,1456,2726,0,367,1121,0,2112,1754,2497,35831,902,309754,0,31040,1208,70040,6425,243445,0,8173,63,3749,164,1477,319689,489,63943,154,1169,582,60,136,15,1249,10018,105,23696,2879,1225,7233,2285,54790,74875,492,539,1379,434,0,22891,0,679,0,800,0,1761,0,90,58,209,1072,206,194,17386,549,12279,3927,1251,2373,13641,7648,409,228,0,136,152,386,392,3999,428,366,1393,0,489,1456031,621497,3421459,2799962,2271891,528071,621497,39419,582078,3421459,440057,8083,10441,2112,2497,35831,309754,31040,70040,6425,243445,8173,3749,319689,63943,1169,10018,23696,2879,7233,54790,74875,1379,22891,12279,3927,2373,13641,7648,1479287,621497,3421459,2799962,2271891,528071,621497
ACSSF,2010e1,al,000,0022,0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297427,1121026,943472,177554,176401,9510,166891,1297427,110818,4456,4862,1095,844,9660,103870,10969,27104,1307,78780,3579,2038,93505,22475,686,4081,7670,844,2183,20455,25913,887,14243,5719,719,1191,5079,4841,705284,176401,1297427,1121026,943472,177554,176401
ACSSF,2010e1,al,000,0022,0000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124032,1678936,1328419,350517,445096,29909,415187,2124032,329239,3627,5579,1017,1653,26171,205884,20071,42936,5118,164665,4594,1711,226184,41468,483,5937,16026,2035,5050,34335,48962,492,8648,6560,3208,1182,8562,2807,774003,445096,2124032,1678936,1328419,350517,445096
ACSSF,2010e1,al,000,0022,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879078,679038,528778,150260,200040,27486,172554,879078,140330,834,2622,1608,671,8319,76178,7727,17832,1335,73069,1035,721,101805,14140,619,3626,6666,959,1099,15703,16378,334,10424,3087,983,330,2170,764,305502,200040,879078,679038,528778,150260,200040
ACSSF,2010e1,al,000,0022,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288513,227527,179004,48523,60986,9845,51141,288513,43625,343,810,411,143,2696,23006,3685,6190,631,26081,730,452,31430,4777,347,688,1972,402,172,4218,5165,185,4721,1216,721,233,618,467,105100,60986,288513,227527,179004,48523,60986
ACSSF,2010e1,al,000,0022,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590565,451511,349774,101737,139054,17641,121413,590565,96705,491,1812,1197,528,5623,53172,4042,11642,704,46988,305,269,70375,9363,272,2938,4694,557,927,11485,11213,149,5703,1871,262,97,1552,297,200402,139054,590565,451511,349774,101737,139054
