,Geography,Geographic_Area_Name,Total,Total_Male,Total_Male_Under_5_years,Total_Male_5_to_9_years,Total_Male_10_to_14_years,Total_Male_15_to_17_years,Total_Male_18_and_19_years,Total_Male_20_years,Total_Male_21_years,Total_Male_22_to_24_years,Total_Male_25_to_29_years,Total_Male_30_to_34_years,Total_Male_35_to_39_years,Total_Male_40_to_44_years,Total_Male_45_to_49_years,Total_Male_50_to_54_years,Total_Male_55_to_59_years,Total_Male_60_and_61_years,Total_Male_62_to_64_years,Total_Male_65_and_66_years,Total_Male_67_to_69_years,Total_Male_70_to_74_years,Total_Male_75_to_79_years,Total_Male_80_to_84_years,Total_Male_85_years_and_over,Total_Female,Total_Female_Under_5_years,Total_Female_5_to_9_years,Total_Female_10_to_14_years,Total_Female_15_to_17_years,Total_Female_18_and_19_years,Total_Female_20_years,Total_Female_21_years,Total_Female_22_to_24_years,Total_Female_25_to_29_years,Total_Female_30_to_34_years,Total_Female_35_to_39_years,Total_Female_40_to_44_years,Total_Female_45_to_49_years,Total_Female_50_to_54_years,Total_Female_55_to_59_years,Total_Female_60_and_61_years,Total_Female_62_to_64_years,Total_Female_65_and_66_years,Total_Female_67_to_69_years,Total_Female_70_to_74_years,Total_Female_75_to_79_years,Total_Female_80_to_84_years,Total_Female_85_years_and_over
16,0500000US01103,"Morgan County, Alabama",119679,58883,3595,3911,3732,2913,1586,601,411,2540,3286,2778,3217,3695,4394,4650,4097,1397,2574,1060,1807,2369,2114,1263,893,60796,3760,2919,3137,3015,1223,516,722,2636,3049,2646,4168,4256,4435,3813,3742,1985,2604,1344,2724,2747,2229,1585,1541
17,0500000US01115,"St. Clair County, Alabama",89512,43256,2289,2169,3440,1910,1140,324,474,1060,3439,3478,2717,2753,2599,3231,2761,1084,2004,1573,1067,1388,1068,568,720,46256,2716,3464,2223,1965,712,999,726,1040,2426,3093,2924,2910,2907,2965,4619,900,1632,1373,1776,1678,1193,1696,319
18,0500000US01117,"Shelby County, Alabama",217702,105158,5672,6602,8542,4354,2445,1304,1250,3884,6036,7056,7533,7559,6925,6843,7455,2584,3244,2389,2651,5272,2315,2018,1225,112544,6016,6662,7664,4737,2711,1479,1022,4137,6356,7839,7350,7477,7986,7400,8069,2667,3604,2529,3854,5342,2978,3154,1511
19,0500000US01121,"Talladega County, Alabama",79978,39620,2672,1966,3356,1828,1078,1221,505,550,2489,2797,2195,1955,2799,2322,2546,877,1882,562,1264,1960,684,1681,431,40358,1904,1673,2248,1368,1451,387,420,1830,2325,1888,2210,3276,2748,2609,2686,1062,2244,1889,1538,1483,1180,1388,551
20,0500000US01125,"Tuscaloosa County, Alabama",209355,100902,5864,4738,7605,4014,6214,2430,3639,4518,8578,6532,6445,5255,6053,5122,5266,2450,3599,1604,2906,3765,2546,889,870,108453,6416,7248,4273,3837,8193,3139,2172,3466,8282,6845,5923,7518,6622,5940,6448,2492,3366,1758,3819,3987,3295,1843,1571
21,0500000US01127,"Walker County, Alabama",63521,31486,2067,2031,2142,1521,594,613,296,798,2090,1569,2082,1181,1896,2745,1831,1261,1460,570,1102,1582,897,686,472,32035,1507,1499,2069,1355,431,283,278,1460,1819,1581,1828,2085,2023,2105,2614,873,1522,618,1158,2013,961,813,1140
22,0500000US02020,"Anchorage Municipality, Alaska",288000,144557,8778,11758,8241,5739,4619,1384,2721,6973,12139,12698,10030,9004,7928,9550,9682,3574,4812,2363,3261,4718,1827,1737,1021,143443,10950,9144,10332,4255,3612,1465,1190,6378,12634,12260,10373,8421,7803,8603,8827,3313,5994,2445,2939,5831,3850,1838,986
23,0500000US02090,"Fairbanks North Star Borough, Alaska",96849,53163,3426,3722,3693,1936,1997,1541,1614,3220,5311,3993,2818,3141,2891,2703,2235,1376,1601,1296,1610,1531,900,371,237,43686,3303,3261,2337,1326,1173,184,1176,1660,3836,3046,3452,3248,3131,2133,2977,840,1598,888,1299,1098,957,415,348
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",108317,56434,4034,4361,4298,2291,1452,959,590,2141,3492,4050,4258,2925,3772,3601,3668,1433,2338,1265,1921,1491,1032,796,266,51883,3221,4261,3734,2387,1420,679,406,1658,3456,3701,3155,3799,3109,3267,3761,1098,1945,1027,2217,1422,785,642,733
25,0500000US04001,"Apache County, Arizona",71887,36435,2654,2349,3405,1723,1300,534,293,1333,2466,2385,2018,1755,1814,2587,1793,837,1756,527,951,1882,1208,406,459,35452,1904,2789,2684,1592,1016,637,554,865,2508,1957,1529,1851,1885,2000,3112,797,1602,967,832,1951,1232,705,483
