,Geography,Geographic_Area_Name,Total,Total_Male,Total_Male_Under_5_years,Total_Male_5_to_9_years,Total_Male_10_to_14_years,Total_Male_15_to_17_years,Total_Male_18_and_19_years,Total_Male_20_years,Total_Male_21_years,Total_Male_22_to_24_years,Total_Male_25_to_29_years,Total_Male_30_to_34_years,Total_Male_35_to_39_years,Total_Male_40_to_44_years,Total_Male_45_to_49_years,Total_Male_50_to_54_years,Total_Male_55_to_59_years,Total_Male_60_and_61_years,Total_Male_62_to_64_years,Total_Male_65_and_66_years,Total_Male_67_to_69_years,Total_Male_70_to_74_years,Total_Male_75_to_79_years,Total_Male_80_to_84_years,Total_Male_85_years_and_over,Total_Female,Total_Female_Under_5_years,Total_Female_5_to_9_years,Total_Female_10_to_14_years,Total_Female_15_to_17_years,Total_Female_18_and_19_years,Total_Female_20_years,Total_Female_21_years,Total_Female_22_to_24_years,Total_Female_25_to_29_years,Total_Female_30_to_34_years,Total_Female_35_to_39_years,Total_Female_40_to_44_years,Total_Female_45_to_49_years,Total_Female_50_to_54_years,Total_Female_55_to_59_years,Total_Female_60_and_61_years,Total_Female_62_to_64_years,Total_Female_65_and_66_years,Total_Female_67_to_69_years,Total_Female_70_to_74_years,Total_Female_75_to_79_years,Total_Female_80_to_84_years,Total_Female_85_years_and_over
181,0500000US13223,"Paulding County, Georgia",168667,82055,5422,3960,8590,4870,2500,1519,1001,2548,5055,4253,6181,6594,7559,5115,4748,2583,2090,1135,1755,2316,1517,558,186,86612,5087,5613,6719,3602,970,979,1141,3748,5300,5591,6329,6981,7390,6391,6215,2024,2116,1758,2101,2703,1209,1471,1174
182,0500000US13245,"Richmond County, Georgia",202518,97708,6871,8033,4624,4023,3713,1764,1264,5485,9249,6878,5514,5673,5665,5200,4314,3493,3824,1068,2574,4197,2592,957,733,104810,6495,4690,7513,3714,3330,1742,1325,4244,8877,7965,6579,5508,5949,5935,6765,2725,3873,2347,3034,5183,2556,2206,2255
183,0500000US13247,"Rockdale County, Georgia",90896,43515,2427,3484,3569,2224,1556,1530,717,1162,2531,1585,2523,2290,3190,2642,2949,1677,1256,1380,1130,1469,1092,877,255,47381,2146,1986,4276,1851,1201,1446,80,1017,3246,2650,3751,3184,3045,3302,3236,1892,1474,1195,1560,2060,834,852,1097
184,0500000US13255,"Spalding County, Georgia",66703,33233,2472,4358,995,1650,577,1078,204,1392,1647,1764,1507,2115,1679,2137,2123,1144,1040,357,1236,1287,1136,850,485,33470,1619,2052,1936,560,1005,475,71,780,2575,1982,1747,1797,2982,2416,2438,859,1203,1221,734,1733,1022,1258,1005
185,0500000US13285,"Troup County, Georgia",69922,32564,2254,2263,2270,1434,393,951,567,1251,2845,2803,1495,1977,1608,1736,2151,563,1383,1312,518,1252,986,298,254,37358,2214,2434,2402,1342,1043,500,281,1538,3494,2438,2409,2068,2092,2195,2662,1295,924,989,775,2109,770,605,779
186,0500000US13295,"Walker County, Georgia",69761,35392,2564,2320,2032,1758,661,497,272,1632,2224,1924,1898,2385,2173,2081,2667,1136,1396,1012,966,1459,1662,401,272,34369,1299,1815,2312,915,815,569,246,924,2249,1908,2573,2132,2286,2098,2178,1068,1770,457,1337,2145,1463,1115,695
187,0500000US13297,"Walton County, Georgia",94593,46090,2742,3150,3734,1869,453,425,184,1816,3665,3288,2850,2855,3524,2994,2989,845,1855,1226,1594,1729,876,590,837,48503,2503,3608,3031,2232,1140,702,427,1229,3190,3288,3158,2259,3989,3139,2897,1412,2041,912,1865,2302,1058,808,1313
188,0500000US13313,"Whitfield County, Georgia",104628,51758,3470,4261,3687,2315,1667,1175,1143,1495,3358,3024,4173,3508,2995,3120,2464,1759,1514,995,995,1912,1180,1455,93,52870,3494,3894,3617,2279,1268,867,736,1819,3091,3272,4027,3398,2968,3533,3335,1405,1547,798,1399,2170,1627,1534,792
189,0500000US15001,"Hawaii County, Hawaii",201513,100034,5809,6235,6551,3928,1941,971,1501,2713,5115,5527,7678,4165,5108,6893,6065,3631,4790,3835,5690,4797,3345,2362,1384,101479,5605,5496,6547,3213,1880,1339,982,2930,5706,4774,7124,6716,5505,5926,5575,2736,6813,4226,4813,4584,4394,1923,2672
190,0500000US15003,"Honolulu County, Hawaii",974563,490069,31097,29547,28615,16628,11720,8010,7988,21790,40795,37036,33987,29884,29331,28329,28693,10680,17448,10687,13087,21513,14306,9146,9752,484494,29005,28126,26359,15497,9710,3975,5962,19828,35109,33442,34341,27403,28905,28515,29793,10399,18760,11514,14949,24546,18534,11406,18416
191,0500000US15007,"Kauai County, Hawaii",72293,34998,1909,2237,1774,1628,877,592,226,867,2058,2217,2520,2617,1754,2165,2324,1169,1319,1542,1077,1561,1280,556,729,37295,2272,2377,2659,862,749,96,292,1421,1946,1814,2466,2337,2296,2383,1479,1539,1785,794,1864,2220,1415,857,1372
192,0500000US15009,"Maui County, Hawaii",167488,82749,4937,4900,5750,3034,1542,498,655,2808,4711,5380,4946,6305,5581,5177,7057,2128,2252,2076,3235,4528,3285,790,1174,84739,4701,5548,4351,2990,1498,481,514,2661,4940,5211,8345,4294,4749,5562,6415,1505,3742,3365,2433,4302,3137,1828,2167
193,0500000US16001,"Ada County, Idaho",481587,242121,13599,15015,17573,11586,6475,1612,3538,9254,18083,18074,17786,17050,15866,15028,14169,5840,8505,5488,5678,9276,4830,3948,3848,239466,13655,12527,18723,9050,5989,3858,2548,7246,16998,16964,15528,17836,15164,14649,12398,8597,9270,5860,6799,10494,7545,4660,3108
194,0500000US16005,"Bannock County, Idaho",87808,45003,3902,3002,3341,2090,1388,505,881,1963,3547,3354,2912,2428,2268,2353,2199,1388,1780,1010,1341,1303,1044,815,189,42805,2878,3148,2393,1746,1275,454,555,1861,3403,2993,2450,3213,2634,2201,2537,827,1605,735,1238,1915,1213,946,585
195,0500000US16019,"Bonneville County, Idaho",119062,60368,4786,5494,5532,2992,1659,431,1057,2353,3903,4429,4296,3049,3263,2952,3084,1359,2579,924,1133,2340,1029,1019,705,58694,4519,4883,5015,2965,1091,716,326,2287,4203,4549,3726,3720,3012,3219,3015,1554,1451,830,2105,1976,1740,1068,724
196,0500000US16027,"Canyon County, Idaho",229849,114534,8289,9044,9580,5454,2380,2158,2179,4627,8029,7674,6458,8117,7521,5426,6273,2598,3542,2635,2493,4773,3178,1434,672,115315,8025,9634,8608,5566,2524,2304,1419,4284,7913,7803,8666,5746,6618,6048,6873,1879,3938,2266,2964,5555,3777,1206,1699
197,0500000US16055,"Kootenai County, Idaho",165697,82636,5055,6664,5307,3371,1909,1624,511,2262,5040,4812,5042,4923,4833,5299,5372,2065,3377,1526,3142,4409,3028,1775,1290,83061,4483,5068,4566,3303,1672,1174,689,2478,5145,5621,5701,4719,4778,5227,5502,2907,3116,2194,4146,3678,2771,2249,1874
198,0500000US16083,"Twin Falls County, Idaho",86878,42092,3246,3422,3020,1724,882,118,515,2490,2795,2497,3629,2005,2040,2594,2696,452,1596,610,1458,1700,1391,878,334,44786,3293,4740,3287,1873,1320,137,385,1917,2706,3424,3640,1254,2173,2456,2380,914,1264,801,1279,2086,1622,905,930
199,0500000US17001,"Adams County, Illinois",65435,31754,1797,2103,2116,1089,639,425,200,1099,2032,1784,2218,1601,1735,2043,1995,1089,1695,654,613,1903,1724,636,564,33681,2231,2263,1820,1014,530,314,187,1462,1893,2170,2214,2127,1674,1967,2213,1078,1306,793,1126,1642,1282,992,1383
200,0500000US17019,"Champaign County, Illinois",209689,104037,5687,5469,6075,3023,8804,4499,4130,8127,7583,7127,7790,3810,5142,4451,5496,2313,2438,1326,2402,3938,1548,1399,1460,105652,5141,4802,5656,3438,7212,3597,3462,8686,7533,6624,6736,4463,5953,4943,5557,2688,3349,1346,3368,4043,2713,1749,2593
201,0500000US17031,"Cook County, Illinois",5150233,2501262,158667,151490,162584,93996,60593,28783,29192,102525,214834,206279,185605,161986,159158,153602,154674,56208,91959,50988,61865,88763,57158,37865,32488,2648971,151564,143651,159311,91454,60658,29880,31070,104451,216633,203979,182111,170319,165168,159865,165505,70148,96200,61249,75965,106711,78927,55467,68685
202,0500000US17037,"DeKalb County, Illinois",104897,51778,2267,3769,3527,1904,2885,1584,1606,4274,3313,2897,3158,2739,2924,3306,2911,1077,1473,1454,850,1452,1471,337,600,53119,3588,1710,3929,1774,2511,2057,2167,3814,3584,2756,3109,2816,2531,3148,3317,1087,1686,1356,1244,1573,1246,1082,1034
203,0500000US17043,"DuPage County, Illinois",922921,454208,27557,27805,31454,19824,11462,6012,5464,16957,29276,29758,32189,28670,29065,30159,31915,13962,16533,10373,12134,18927,11867,7062,5783,468713,26230,28136,28462,18110,11059,5555,4348,17517,28138,29032,28962,31173,30336,31781,34719,13700,18705,11705,17382,17302,16014,8922,11425
204,0500000US17089,"Kane County, Illinois",532403,264991,16912,16869,21374,12669,8082,3308,2690,10923,15773,16056,18300,16900,18843,18429,17459,7435,8766,5529,8226,7898,6530,3867,2153,267412,16050,15769,20880,12456,6495,3914,2849,9676,16194,14980,18125,17080,19051,17830,17376,6704,10246,6876,7615,9688,7298,6112,4148
205,0500000US17091,"Kankakee County, Illinois",109862,54135,3329,3785,2811,2193,1786,1377,970,2566,3465,3000,3575,2738,3487,3341,4385,1176,1574,1082,1505,2361,1383,1369,877,55727,3005,3422,3921,1859,2373,789,1168,2279,2582,3267,3677,3241,3367,3262,4205,1570,1601,1435,1518,2505,1793,1218,1670
206,0500000US17093,"Kendall County, Illinois",128990,60997,3788,4592,5088,2518,957,1281,511,2467,4870,3621,4271,5017,4523,5370,3457,437,1797,1326,1219,1876,1632,139,240,67993,4482,6266,4830,4464,2434,179,456,1765,4090,4585,3398,6409,5616,4652,3205,1125,1732,2320,1122,1736,1237,1109,781
207,0500000US17097,"Lake County, Illinois",696535,348490,20131,22879,25255,16689,12112,5425,5428,15454,21281,19272,23674,19711,23010,23914,25121,11159,10841,8044,10387,11168,7754,5334,4447,348045,19506,22809,23410,15446,11331,4042,3863,12972,19084,18688,22703,21001,23697,24655,24874,10689,13082,8419,11264,12394,8616,6386,9114
208,0500000US17099,"LaSalle County, Illinois",108669,55126,3421,3313,3135,2383,1114,524,365,2227,3793,3139,3850,3409,3282,3539,3996,1213,2793,1121,1847,2811,1498,873,1480,53543,2568,3752,2412,1941,882,755,459,1787,3172,3196,3477,2727,3296,3548,4698,1200,2021,1082,1988,2906,2013,1507,2156
209,0500000US17111,"McHenry County, Illinois",307774,153410,8393,9935,11114,6863,3369,2410,2145,5480,9093,9305,10018,9410,10118,11681,13112,3523,5623,3885,5115,5302,4027,1463,2026,154364,8240,10967,9213,6701,3440,1149,1816,5659,8332,8401,10819,8930,10940,11509,12830,4683,5906,4129,3620,6582,4693,2790,3015
210,0500000US17113,"McLean County, Illinois",171517,82357,4309,5683,5209,2735,3816,3243,4414,3251,5032,5273,4437,5876,4812,4525,4955,1969,2221,1619,2050,3165,1978,926,859,89160,4904,5212,4852,3545,5285,4061,2598,3855,5349,5442,4564,6684,4595,5074,5319,2066,2908,1974,2474,2679,1987,2225,1508
211,0500000US17115,"Macon County, Illinois",104009,49704,2511,4066,3499,1716,1675,243,564,1677,3191,3313,2746,2919,2714,2710,3427,1278,2254,1255,1633,2605,1422,1209,1077,54305,2566,3648,2844,2113,1624,444,630,1902,3466,3229,3782,2582,2581,3076,4509,1440,1895,1779,2028,2584,2054,1528,2001
212,0500000US17119,"Madison County, Illinois",262966,128120,7722,8011,8600,4885,3168,1425,2170,3527,9016,8199,7419,8314,8312,8415,9745,3711,5543,2424,4453,5136,3647,2090,2188,134846,7034,8236,7537,5104,3024,1396,1963,4298,8541,9068,7070,8816,8750,8631,8959,3962,5996,2923,5144,6875,5355,2803,3361
213,0500000US17143,"Peoria County, Illinois",179179,85397,5680,4690,6680,3470,2398,1141,1165,3258,6329,5385,5915,5094,4755,5116,5073,1596,4051,1620,3199,3833,2947,1026,976,93782,6875,6425,5136,3280,2457,1121,1843,2825,6212,5683,4592,6093,5852,5396,5531,2541,3901,1659,3697,4669,3438,1645,2911
214,0500000US17161,"Rock Island County, Illinois",141879,69145,4124,4045,4939,2342,2014,1157,840,2603,4124,4122,4481,4114,4302,4262,4250,2316,2931,2087,2445,2641,2002,1784,1220,72734,4179,3970,4795,3146,1982,520,904,2698,4433,3873,4729,3880,3944,4097,5277,2325,2520,2185,2568,3364,2786,2287,2272
215,0500000US17163,"St. Clair County, Illinois",259686,125009,8499,7090,10214,5437,3067,1115,1639,4932,8618,8609,9005,6493,7278,7705,8811,3343,5221,3342,3338,4642,2948,1551,2112,134677,7664,7273,9279,5111,2354,1503,1224,4680,8918,8833,9111,7964,8924,8330,10022,3483,5935,3123,3117,7132,4587,3336,2774
216,0500000US17167,"Sangamon County, Illinois",194672,93163,5735,6760,5378,3833,2581,1120,1551,2384,6106,5707,5682,6016,5572,6128,6569,2720,3934,2438,3483,3465,2509,2284,1208,101509,5411,5020,7052,3742,2583,1211,573,3160,6501,6358,5735,6552,6245,6353,7423,3208,3718,2671,3642,5350,3174,3588,2239
217,0500000US17179,"Tazewell County, Illinois",131803,65268,3800,4233,4565,3210,1488,446,701,2306,3963,3734,3431,5258,3873,4054,4678,1647,2351,1601,2432,2978,2653,685,1181,66535,3589,4270,4091,2702,1246,322,598,2177,3746,3730,3767,4382,4107,4045,4248,2242,2751,1771,2528,3525,2800,1903,1995
218,0500000US17183,"Vermilion County, Illinois",75758,37290,2707,3007,1941,1161,1042,310,281,1234,2307,2629,2697,1854,2270,1965,2650,1200,1579,947,1044,1728,1315,662,760,38468,2397,2278,2797,1471,1092,657,391,1156,1928,2156,1898,1986,2113,2240,3223,1013,1521,1206,1319,2073,1517,1021,1015
219,0500000US17197,"Will County, Illinois",690743,342702,20058,22370,26658,16820,10065,5434,4149,13205,21707,20450,22142,23699,25259,24913,22289,9628,12040,6299,8288,12380,7533,3678,3638,348041,19785,20919,26137,16082,8302,5425,3995,12060,20887,19881,21353,25737,25880,25150,24161,9147,11503,5511,11158,13381,10615,5141,5831
220,0500000US17199,"Williamson County, Illinois",66597,32920,2050,2116,2156,1176,575,101,56,1415,2035,2681,2189,2404,2100,1917,1827,914,1440,846,775,1943,1200,672,332,33677,1853,1869,1916,1318,432,732,111,1365,1852,2086,2317,1991,1964,1876,2109,1212,1264,403,1432,2354,1733,723,765
221,0500000US17201,"Winnebago County, Illinois",282572,138060,8956,9007,9993,5782,3410,1041,2028,6182,8355,8097,8730,7630,9090,8334,10147,3572,5180,3191,4997,5705,4956,2022,1655,144512,8459,9427,8395,5656,3115,1862,1883,4496,9693,8221,9369,8536,8310,9061,10063,4332,5529,3866,5704,6314,5257,2657,4307
222,0500000US18003,"Allen County, Indiana",379299,185157,13522,13335,14279,7891,4048,1754,2992,8455,14003,11264,13371,10657,11256,11182,11272,4643,6065,3922,5642,6603,4024,3404,1573,194142,12939,14396,12521,7928,4217,2306,2387,8337,14002,12844,12225,11833,11324,11219,10697,5328,8045,4612,5934,7519,6171,3592,3766
223,0500000US18005,"Bartholomew County, Indiana",83779,41894,2443,2601,3679,1907,814,560,147,1496,3986,2893,2799,2621,3000,2516,2654,786,1087,804,1256,1412,1192,572,669,41885,2383,2180,2823,1972,663,1077,90,1523,3009,2691,2112,3315,2473,2230,1995,1316,2012,848,1842,1922,1082,1284,1043
224,0500000US18011,"Boone County, Indiana",67843,33522,2052,2463,3643,1409,524,50,525,1326,1893,2051,2299,2516,2113,2270,2203,1038,1024,437,987,1140,596,588,375,34321,1869,1387,3330,1682,479,0,74,2023,1785,1877,2621,2669,2198,2360,2194,931,1549,832,807,1240,1039,730,645
225,0500000US18019,"Clark County, Indiana",118302,56446,4174,3161,3650,1790,1828,765,763,1914,3830,3943,3487,4175,3874,3771,4482,991,1709,1319,1692,2387,1236,1112,393,61856,3514,4366,3560,2179,1225,181,704,2427,4147,3800,4049,5019,3739,3454,4191,2092,1747,1894,2111,3258,2259,1028,912
226,0500000US18035,"Delaware County, Indiana",114135,55356,2877,2731,2784,2377,3381,785,1919,4359,3482,2827,2792,2760,2885,3468,3460,1649,1879,1248,1746,2138,2046,895,868,58779,2480,3103,2380,1638,3632,2520,2458,2980,3178,3462,2046,3395,3174,3671,3057,1251,2990,1378,2360,2170,2293,1486,1677
227,0500000US18039,"Elkhart County, Indiana",206341,101937,7221,7121,9426,5662,2475,1703,836,4203,7142,6531,5400,6434,6159,6569,6023,1806,3434,2368,3045,3012,2914,1047,1406,104404,6981,5087,10697,4474,3005,623,1223,4527,6351,6633,4946,6666,6791,5660,6500,2466,4080,2297,2726,4478,2712,1627,3854
228,0500000US18043,"Floyd County, Indiana",78522,38508,2449,2063,3526,1413,550,488,284,2291,2518,2398,2637,2132,2344,2278,2962,1123,1576,883,1097,1635,716,612,533,40014,2150,2721,2560,1311,890,72,496,1669,2638,2266,3281,1811,2371,2567,2600,1261,1863,932,1786,1722,835,881,1331
229,0500000US18053,"Grant County, Indiana",65769,32080,2066,1882,2344,1204,714,348,636,2152,2110,1795,1202,1820,1714,2006,1748,986,1789,1036,1079,1247,1053,484,665,33689,1712,1765,1490,1002,1528,1281,833,830,1783,2157,1534,1771,1823,2220,2363,1193,1355,1140,881,1667,1099,1197,1065
230,0500000US18057,"Hamilton County, Indiana",338011,166169,11747,12220,14940,8059,3710,1554,2079,6141,7917,10339,14715,9510,12261,12636,10534,3109,5226,3623,4337,4354,3268,1539,2351,171842,9413,11612,13850,8152,3696,705,911,7565,8567,11425,13958,12162,12957,12079,9681,4383,5548,4715,4115,5885,3423,2553,4487
231,0500000US18059,"Hancock County, Indiana",78168,38287,2325,2506,2758,1498,1397,105,151,1468,2436,2382,2465,2281,2409,3041,3279,633,1044,369,1529,1540,1173,583,915,39881,2417,1829,2697,1435,722,722,473,1191,2355,3195,2012,2758,2648,2948,2855,730,1676,637,1556,1809,1314,1240,662
232,0500000US18063,"Hendricks County, Indiana",170311,83952,4547,5166,7621,3398,2208,1866,483,2757,4991,6593,5135,6529,6614,5215,5402,1638,2675,1800,1953,3613,1829,1139,780,86359,5028,6576,6481,3345,1630,877,894,2302,4730,6473,3649,8197,5701,6484,6008,1354,3265,1505,3290,2961,1803,2064,1742
233,0500000US18067,"Howard County, Indiana",82544,40318,2418,2558,2807,1917,1001,452,251,1515,2968,2297,2218,2188,2264,2384,3329,1211,1692,1015,969,2035,1384,683,762,42226,2584,2290,2932,1772,869,159,343,1283,2784,2397,2150,2813,2642,2611,3004,1085,1659,1353,1231,2215,1924,831,1295
234,0500000US18081,"Johnson County, Indiana",158167,77328,4410,5469,5409,3637,2162,1071,1858,2218,5160,5407,4903,5069,5740,4612,5023,1658,3068,1359,2165,3102,1755,1208,865,80839,5790,4892,5717,3099,1584,1617,869,2629,5307,4579,4789,5456,5651,5433,5902,1724,2535,1276,2438,3788,2814,1959,991
235,0500000US18085,"Kosciusko County, Indiana",79456,40048,2719,2045,3645,1400,1092,637,230,1291,2756,2742,2369,2427,2488,2392,2555,1320,1759,800,1115,1949,1075,767,475,39408,2519,2378,2667,1478,1104,308,530,1440,2544,2828,1193,2910,2449,2274,2615,1408,1421,773,1799,1591,1542,1100,537
236,0500000US18089,"Lake County, Indiana",485493,234605,14299,14551,17956,10558,6121,2452,2025,10201,15313,14369,14989,14815,14747,14679,15521,6323,9828,5487,8070,8840,5544,4227,3690,250888,14086,12676,18281,10041,5857,2471,2101,9915,15596,14834,14352,17173,15914,15441,18463,7223,9928,6158,7283,12445,7936,7050,5664
237,0500000US18091,"LaPorte County, Indiana",109888,57617,3304,3481,3278,2892,1091,847,361,3306,3725,3765,3698,3849,3805,3544,3908,1434,2513,1150,1655,2834,1863,933,381,52271,2759,3142,2740,1805,916,604,449,1621,3369,2899,2847,3022,3404,3846,3085,1314,3577,1367,1850,2821,2015,1543,1276
238,0500000US18095,"Madison County, Indiana",129569,65183,3510,3854,4744,2593,1750,600,278,2967,4213,4267,4101,3627,5310,4201,4313,1340,2936,1396,1669,3179,2588,982,765,64386,3545,3620,3823,2039,1428,631,993,2412,3654,4329,4332,3042,4234,3977,4763,1013,2521,1826,2199,3700,2210,1759,2336
239,0500000US18097,"Marion County, Indiana",964582,465816,35996,33967,32668,19080,11678,7842,6159,18472,42360,37501,34185,26598,26621,25923,27706,13108,13587,9446,9602,14756,9450,4296,4815,498766,33482,32495,31432,17489,11833,6864,6141,21406,44698,40021,34795,29114,28786,27963,34416,12367,13788,10766,11796,18358,11964,6669,12123
240,0500000US18105,"Monroe County, Indiana",148431,74017,3547,3334,3120,2016,8390,3869,2991,5573,5868,4390,4666,2949,3605,3318,3270,2060,2174,768,1879,2907,1526,652,1145,74414,3207,3298,2773,1901,7173,3785,2333,6516,5489,4210,5013,3073,3289,3768,4163,1181,2338,1254,1792,3012,1663,1528,1655
241,0500000US18109,"Morgan County, Indiana",70489,35018,1907,1522,3132,1658,812,173,582,1350,2265,1899,2263,1844,2284,2552,3091,875,1375,609,1441,1390,1020,387,587,35471,1976,1527,2567,1520,695,654,555,859,1954,1840,1894,2706,2485,2489,3268,730,1241,1021,1273,1573,1092,539,1013
242,0500000US18127,"Porter County, Indiana",170389,84459,4733,4808,6101,3534,2230,881,2406,2562,5257,5181,5170,6015,5534,5231,6369,2380,3115,1946,2213,4247,2302,1123,1121,85930,4438,4367,5527,3564,2152,1514,1464,2987,4689,5296,6297,5223,5930,4827,5038,3131,3957,1753,3265,4088,3034,1579,1810
243,0500000US18141,"St. Joseph County, Indiana",271826,132996,9311,9422,8889,5755,4064,2735,3111,4463,9506,8537,8565,6535,7991,8088,7908,3267,5754,2233,3949,5444,3009,2425,2035,138830,7704,7882,9271,5251,5447,2225,2612,5208,9826,8772,8441,7426,8102,8198,8983,3513,5619,3065,3984,6399,3912,3223,3767
244,0500000US18157,"Tippecanoe County, Indiana",195732,100645,5584,5836,5893,3337,7724,4214,5343,9253,7905,6596,4945,5625,4662,4191,3904,2631,3124,1986,1562,2527,1922,1065,816,95087,5239,5356,6124,2958,6970,3155,3602,6541,7523,5947,5844,4434,4501,4711,4148,2355,3087,1701,2291,3035,2379,1993,1193
245,0500000US18163,"Vanderburgh County, Indiana",181451,87269,5719,5434,5560,2820,2507,1537,965,3729,6435,6011,5011,6110,4856,5023,5829,3134,3360,2652,2466,3117,2095,1560,1339,94182,5146,4692,6576,3249,2980,2044,1522,2704,6359,6350,4486,6640,5161,4946,5718,3475,3949,1889,3220,5057,3175,2580,2264
246,0500000US18167,"Vigo County, Indiana",107038,54156,3008,2793,3117,2127,2192,1058,1306,3671,4576,3334,3453,2815,3097,3517,2910,1398,2371,1026,1711,1825,1630,591,630,52882,3046,3205,2535,1656,2308,1285,1241,2860,3610,2481,3061,2374,3195,3012,3523,1103,1887,1612,1760,2322,1964,1322,1520
247,0500000US18177,"Wayne County, Indiana",65884,31565,2323,2079,1666,1322,753,575,386,975,2136,1776,2256,1316,2000,2059,2136,932,1516,556,893,1742,1162,626,380,34319,1936,2278,2008,1242,1185,642,561,819,1726,1736,2002,2013,1869,1996,2690,1210,1044,818,1064,2063,1319,1192,906
248,0500000US19013,"Black Hawk County, Iowa",131228,64716,4403,5016,3126,2149,2140,1404,2034,3793,4747,4241,3781,3944,3273,3191,3498,1600,2584,877,1648,3373,1806,1064,1024,66512,3662,3647,3891,2446,2736,2323,1737,3066,4417,3325,3999,3481,3642,3373,3694,1900,2755,1515,2037,3126,1573,2363,1804
249,0500000US19049,"Dallas County, Iowa",93453,45216,3177,4043,2748,1740,823,884,1137,944,3702,3258,4915,2795,2904,2916,2311,875,1184,823,1065,1073,946,500,453,48237,3304,4051,3700,2178,1194,485,49,1862,2982,3758,5674,2393,2729,2736,2482,1069,1142,828,1016,1834,960,863,948
250,0500000US19061,"Dubuque County, Iowa",97311,48855,2944,3110,3158,2371,1385,742,750,2068,3102,3108,2917,2582,2416,3065,3292,1748,2247,1182,1427,2154,1338,1040,709,48456,2833,2395,3439,1816,1592,506,1263,1867,2890,2624,2793,2447,2392,2968,3058,1705,1897,1676,1304,2084,2203,1449,1255
251,0500000US19103,"Johnson County, Iowa",151140,74961,4200,4562,4495,2292,3882,2449,3337,5953,6078,5173,4702,4623,3961,3991,3500,1171,2176,907,2106,2376,1120,1032,875,76179,4197,3514,4233,2510,3926,2693,3722,6014,5941,4565,4283,4715,3973,3901,4455,923,2647,1222,2048,2536,1736,1017,1408
252,0500000US19113,"Linn County, Iowa",226706,111201,7236,8081,7014,4400,2807,1189,1400,4883,7975,7512,8157,6059,7736,6906,6830,2860,4045,2989,3357,3196,2501,1575,2493,115505,6833,7507,7028,4238,2755,1879,1234,4350,7766,7906,6198,7792,7260,7172,7852,4102,3215,2749,3917,4508,3748,2697,2799
253,0500000US19153,"Polk County, Iowa",490161,241971,17594,18338,15912,10071,6108,2528,2876,9848,19104,17617,17515,17449,15855,14143,15127,5363,7640,4497,5549,8336,4708,3011,2782,248190,16618,18170,14806,9588,5810,2396,2426,10398,19489,18079,16771,17473,14584,14368,16089,6058,7257,6209,6696,8420,6284,5211,4990
254,0500000US19155,"Pottawattamie County, Iowa",93206,46218,2997,3966,2710,2010,1210,441,714,1399,2753,2620,3152,2806,2860,2795,2945,1667,1588,1217,1615,2044,1136,985,588,46988,2557,2868,2862,1674,1205,918,402,1378,2752,2756,3093,2678,2493,3265,3615,1192,2147,1956,1034,1977,1396,1444,1326
255,0500000US19163,"Scott County, Iowa",172943,85216,5191,6362,5878,3455,2196,548,372,3815,5499,5769,6694,4761,5412,5340,5793,3043,2367,1039,2753,4169,2515,1089,1156,87727,5486,5342,5992,3011,2052,960,779,3328,5635,5504,5304,5862,5193,5677,5858,2569,3491,2302,2622,3759,2720,1692,2589
256,0500000US19169,"Story County, Iowa",97117,50878,2157,2566,1613,1209,4009,3164,2337,5509,5852,3123,3314,2111,1911,1906,2017,935,1275,688,1801,1130,732,771,748,46239,1981,2412,2251,1130,5105,1733,2510,2573,4131,2771,2155,2058,2261,2028,2550,605,1400,851,1070,1588,690,1047,1339
257,0500000US19193,"Woodbury County, Iowa",103107,52000,3700,3870,4266,2096,1355,812,858,2139,3330,3491,4947,1842,2698,2900,3741,1099,1859,1425,1435,1580,1155,793,609,51107,3041,3323,4212,2200,1457,256,697,1938,3166,3724,3248,3540,2958,2311,3804,1014,1754,1472,1980,1351,1308,1210,1143
258,0500000US20015,"Butler County, Kansas",66911,33786,2355,2873,2379,1356,970,157,743,1158,1697,2123,2992,2024,1946,1980,1851,1232,1269,646,794,1402,610,520,709,33125,1656,2652,2609,1487,906,227,282,1009,1492,1819,2204,2469,1822,1943,2085,1007,1406,1045,640,1612,962,728,1063
259,0500000US20045,"Douglas County, Kansas",122259,59682,3095,2981,3146,1676,2932,2182,2192,6345,4898,3526,3632,4124,3357,2614,3141,1188,1635,1163,1100,2438,1101,739,477,62577,2410,5331,1889,2225,3547,2681,2235,5054,5163,3748,3089,3391,2719,2569,3501,1035,2892,1435,1933,2221,1363,1197,949
260,0500000US20091,"Johnson County, Kansas",602401,295214,18934,18714,22992,12730,6739,2459,3168,12304,20231,21098,22605,19871,19402,18270,18057,7646,9911,5183,7735,12552,6402,3147,5064,307187,18639,19884,20303,12731,6835,2799,2244,11602,19955,20786,24319,18523,19708,19002,19822,8539,11101,6671,9753,12569,9397,4693,7312
261,0500000US20103,"Leavenworth County, Kansas",81758,43759,2581,2927,2857,1467,950,821,1014,2000,2572,3106,3079,3158,2913,3237,2946,1054,1601,977,1266,1177,925,863,268,37999,2680,2430,2836,1477,1040,549,577,953,2091,2532,1833,2944,2295,2149,2696,805,1590,767,1643,1461,1295,848,508
